,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,valid-loss,latency
0,0.8975859377394638,0.0005205661407317534,Mish,off,3.0,2.0,2.0,0.0,3.0,2.0,10.758514404296875,3.5388946533203125
1,0.011226419633536624,0.0003752461793554686,ReLU,off,0.0,3.0,0.0,0.0,3.0,2.0,13.012245178222656,0.7864791750907898
2,0.40097270179444183,0.0003869136668149353,ReLU,off,2.0,1.0,3.0,0.0,2.0,0.0,10.930107116699219,0.9687554240226746
3,0.21416012066919618,5.9208478132112556e-05,Hardswish,on,1.0,3.0,1.0,3.0,2.0,2.0,12.405181884765625,1.1506376266479492
4,0.6368148850067968,0.000963157535143584,Mish,off,1.0,1.0,3.0,1.0,0.0,1.0,20.926597595214844,1.1169341802597046
5,0.38779984022258096,0.00022348364320724356,ReLU,off,2.0,0.0,0.0,3.0,1.0,1.0,14.126304626464844,0.8031061291694641
6,0.12911233701071123,6.281079898869372e-05,ReLU,on,3.0,2.0,1.0,2.0,1.0,1.0,87.52711296081543,0.9799394607543945
7,0.2747389600515759,0.0008259150785469968,Hardswish,off,1.0,0.0,0.0,0.0,1.0,1.0,17.464553833007812,0.38743382692337036
8,0.17181474519595938,0.0007694874099251701,Mish,off,0.0,3.0,3.0,1.0,2.0,0.0,11.18841552734375,2.438359022140503
9,0.07170474674648153,0.0009407667149755121,ReLU,on,0.0,0.0,2.0,3.0,0.0,1.0,10.239631652832031,0.6823545694351196
10,0.2805181207070529,0.0001516864252515559,Hardswish,off,3.0,3.0,1.0,0.0,1.0,1.0,85.55430126190186,0.6598045229911804
11,0.35015034747449736,0.0009232890227901885,ReLU,off,1.0,1.0,1.0,3.0,3.0,0.0,90.71249580383301,0.6993123888969421
12,0.3627941305690741,0.0005339515314172613,Hardswish,off,2.0,0.0,2.0,0.0,1.0,2.0,10.670196533203125,1.1016284227371216
13,0.7884272427427704,0.0005673844235326084,ReLU,on,2.0,2.0,1.0,2.0,2.0,1.0,21.78801727294922,1.3177697658538818
14,0.542908699356952,0.0006076152583004968,Mish,on,3.0,2.0,3.0,0.0,3.0,2.0,9.865234375,3.4896926879882812
15,0.4601598048634067,0.0008489419682114271,ReLU,on,0.0,0.0,3.0,2.0,0.0,0.0,14.908203125,0.7788720726966858
16,0.5871127595160188,0.0002331008853523248,Hardswish,on,0.0,1.0,1.0,1.0,1.0,1.0,87.79090881347656,0.4098753035068512
17,0.1220406687892539,0.00015990090520887263,ReLU,on,3.0,3.0,0.0,3.0,0.0,3.0,10.873519897460938,0.882140576839447
18,0.5145966809707725,0.00045495654528420306,ReLU,on,1.0,0.0,2.0,3.0,1.0,1.0,11.400222778320312,0.7775787711143494
19,0.045907538657191715,0.0005905528876310829,ReLU,off,0.0,0.0,3.0,1.0,1.0,3.0,12.599388122558594,0.6371313333511353
20,0.9478907143959693,0.0004704487034275271,ReLU,on,0.0,2.0,2.0,1.0,3.0,0.0,12.032562255859375,0.9629834294319153
21,0.9784380324631685,3.075956003206643e-05,ReLU,off,0.0,1.0,1.0,3.0,3.0,2.0,13.7652587890625,0.9362937808036804
22,0.9184509098474467,0.00029859858998662484,Hardswish,on,3.0,2.0,2.0,1.0,3.0,3.0,9.938697814941406,1.2511411905288696
23,0.8525711923779835,0.0002621683934099461,Mish,off,1.0,0.0,3.0,3.0,3.0,0.0,13.820228576660156,2.1642184257507324
24,0.5531752712760126,0.00019831542881423167,Hardswish,on,2.0,1.0,0.0,2.0,2.0,3.0,8.916419982910156,1.1925016641616821
25,0.4829306892531606,0.0003547392626603058,Hardswish,off,3.0,3.0,3.0,0.0,2.0,3.0,11.556556701660156,1.0809470415115356
26,0.758327743735568,0.0007092236934907356,ReLU,off,3.0,1.0,0.0,1.0,3.0,3.0,14.6927490234375,0.840257465839386
27,0.43808618532791826,0.0007519338270518646,ReLU,on,2.0,2.0,1.0,1.0,0.0,2.0,12.72259521484375,1.098419189453125
28,0.6085674120210258,0.0004221580621145653,ReLU,off,2.0,0.0,2.0,2.0,1.0,2.0,10.695320129394531,1.2776153087615967
29,0.7278590875066082,0.00011012694706391439,Mish,off,3.0,3.0,1.0,3.0,2.0,0.0,12.004241943359375,2.9034645557403564
30,0.718952839469679,0.0006387146529186703,ReLU,on,0.0,2.0,2.0,2.0,1.0,2.0,11.457489013671875,1.2739664316177368
31,0.9717309352123893,0.0008578930242772665,ReLU,off,1.0,3.0,2.0,1.0,0.0,0.0,18.56586456298828,0.934130847454071
32,0.2344412087534315,0.000799430038951082,Mish,on,2.0,3.0,1.0,2.0,2.0,3.0,10.218658447265625,3.661123752593994
33,0.6790393457533844,0.0005018227204651078,Mish,off,1.0,1.0,0.0,0.0,3.0,3.0,15.327751159667969,1.4924232959747314
34,0.8102917648563778,0.0006885232937915396,ReLU,off,1.0,2.0,0.0,3.0,2.0,0.0,13.528045654296875,1.0328328609466553
35,0.8427384584235414,0.00010345587962138473,Hardswish,on,2.0,2.0,2.0,1.0,0.0,0.0,9.73126220703125,1.0729328393936157
36,0.3201100421321402,0.0009949241990551538,Mish,on,3.0,0.0,0.0,2.0,0.0,3.0,11.209213256835938,2.4380104541778564
37,0.09068185916074832,0.00030781066371512376,Mish,on,1.0,1.0,3.0,2.0,2.0,1.0,13.09344482421875,2.3540735244750977
38,0.200168581224408,0.0008820094060960847,ReLU,on,2.0,1.0,0.0,2.0,0.0,2.0,9.026847839355469,1.1194329261779785
39,0.652839892592403,0.000677489765410649,Mish,on,0.0,3.0,3.0,0.0,0.0,3.0,12.375885009765625,2.223130464553833
40,0.2778486402273571,0.0008186036771798093,Hardswish,off,1.0,0.0,0.0,0.0,1.0,1.0,16.64501953125,0.38637062907218933
41,0.1005403511571917,0.0005441466376310829,ReLU,off,0.0,0.0,2.0,0.0,0.0,2.0,10.546852111816406,0.7847461104393005
42,0.3461396558523571,0.0006599885648751217,Hardswish,off,0.0,0.0,0.0,0.0,0.0,0.0,28.725868225097656,0.33862537145614624
43,0.7178634584235415,0.00017596564524638474,Hardswish,on,2.0,2.0,2.0,0.0,0.0,0.0,10.10797119140625,1.0782729387283325
44,0.34912738778595087,0.0006534022611641842,Hardswish,off,0.0,0.0,0.0,0.0,0.0,0.0,28.725868225097656,0.33862537145614624
45,0.3483356954822205,0.0008818281316820222,ReLU,on,1.0,0.0,1.0,2.0,0.0,1.0,88.58092308044434,0.673334538936615
46,0.34888349130157587,0.0006539460844063717,Hardswish,off,0.0,0.0,0.0,0.0,0.0,0.0,28.725868225097656,0.33862537145614624
47,0.41229657723907587,0.0005537013334298092,Hardswish,off,1.0,0.0,0.0,0.0,1.0,1.0,15.952171325683594,0.37944087386131287
48,0.3299815137625134,0.0006674208158516842,Hardswish,off,0.0,0.0,0.0,0.0,0.0,0.0,28.537979125976562,0.33616235852241516
