,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
16,Hardswish,0.3866047564128538,1,4,4,2,3,4,on,0.000753250281459,63.61904144287109,-2.492443084716797,21,0.7151944637298584,0.7377433776855469,1686747862.5996351,1686747862.6220574
17,Hardswish,0.3282460692812436,4,2,0,1,2,1,off,0.0003051108201471,86.06827545166016,-1.3909839391708374,22,0.7153677940368652,0.737983226776123,1686747862.599808,1686747862.6223056
18,Hardswish,0.4998670340647081,4,3,4,3,3,3,on,0.0009574154295695,81.41197204589844,-2.190948963165283,23,0.7160468101501465,0.738926887512207,1686747862.6004877,1686747862.623251
19,ReLU,0.2085681233046087,4,3,0,3,0,2,off,0.0001054167773413,83.87751007080078,-1.4266722202301023,24,0.7222709655761719,0.7459793090820312,1686747862.6067126,1686747862.6303017
20,Hardswish,0.6205107281505419,4,1,4,3,4,4,off,0.0004502537592073,65.15226745605469,-2.845991849899292,25,0.7224974632263184,0.745457649230957,1686747862.6069386,1686747862.6297734
21,ReLU,0.93523255821827,1,0,1,1,0,1,on,0.0004856536308001,15.249693870544434,-0.3457271456718445,26,0.722893238067627,0.7460627555847168,1686747862.6073346,1686747862.630381
22,Mish,0.2944737342176199,1,4,4,3,4,0,on,0.0008691581677107,71.2564697265625,-2.7158944606781006,3,0.1160750389099121,0.7022237777709961,1686747862.0005214,1686747862.5864394
23,ReLU,0.0793645359472198,1,0,2,1,4,1,off,5.192630590091764e-05,86.36370086669922,-1.1886240243911743,5,0.1179647445678711,0.7034027576446533,1686747862.002412,1686747862.5876205
24,ReLU,0.2162741961272107,1,1,0,3,1,1,on,0.0002371445522962,85.70116424560547,-0.5938499569892883,6,0.1197898387908935,0.7034578323364258,1686747862.0042367,1686747862.5876844
25,ReLU,0.6003186358246193,0,1,2,2,4,4,on,0.0007014951804105,84.23181915283203,-2.1165990829467773,7,0.121185302734375,0.7074384689331055,1686747862.005633,1686747862.5916555
26,Hardswish,0.3088599782469755,4,3,1,2,2,3,off,3.420008680446672e-05,83.8869400024414,-1.7027604579925537,8,0.1222681999206543,0.7139995098114014,1686747862.006716,1686747862.5982225
27,ReLU,0.9009268057894644,3,3,4,1,0,2,on,0.0003015611336353,88.1671371459961,-1.4646692276000977,9,0.1232657432556152,0.710660457611084,1686747862.007717,1686747862.594872
28,ReLU,0.1148480868061597,0,0,0,3,1,0,on,1e-05,81.28501892089844,-0.4904283285140991,47,0.9940884113311768,1.0174145698547363,1686747862.8785298,1686747862.9016194
29,Mish,0.0686960466119141,4,0,0,3,0,0,off,0.0008252867290376,72.88996124267578,-2.01627254486084,28,0.9055027961730956,0.9279966354370116,1686747862.7899468,1686747862.8123093
30,Mish,0.0368618154970556,3,0,0,4,1,2,off,0.0008284902660583,88.870361328125,-2.234958410263061,29,0.9058480262756348,0.9287998676300048,1686747862.790292,1686747862.8131075
31,Mish,0.1004844917509547,4,0,1,2,0,2,off,0.0007232665774472,86.23117065429688,-2.5642623901367188,30,0.912682056427002,0.9351301193237304,1686747862.797131,1686747862.8194416
32,ReLU,0.6276323193245212,1,1,0,3,1,0,on,2.3434929100514046e-05,84.11298370361328,-0.5383467674255371,31,0.9143149852752686,0.9372270107269288,1686747862.7987592,1686747862.821537
33,Hardswish,0.0831641910658345,2,0,0,4,1,4,off,0.0009197674890434,81.51405334472656,-1.8146942853927608,32,0.9244961738586426,0.9476981163024902,1686747862.808942,1686747862.8320043
34,ReLU,0.028259995641275,4,1,0,3,1,0,on,0.0009551394339751,84.33052062988281,-1.0156776905059814,33,0.9258086681365968,0.948824405670166,1686747862.810253,1686747862.8331218
35,ReLU,0.0227194290822368,3,1,0,3,1,0,on,1e-05,86.78329467773438,-0.6517853140830994,34,0.9290287494659424,0.9522850513458252,1686747862.8134737,1686747862.8365924
36,ReLU,0.8772126836245151,4,0,0,2,1,2,on,0.0001814226602492,89.11862182617188,-1.5427625179290771,35,0.9332320690155028,0.9566864967346193,1686747862.817678,1686747862.8409915
37,ReLU,0.2156642598292994,0,1,0,3,0,2,off,0.0005007622743603,86.45819854736328,-0.7365360856056213,36,0.9347982406616212,0.9578020572662354,1686747862.8192492,1686747862.842106
38,Hardswish,0.8257797202981881,4,0,0,0,0,3,on,8.096471212189779e-05,79.55134582519531,-1.0240545272827148,37,0.9354457855224608,0.9587302207946776,1686747862.8198907,1686747862.8430326
39,ReLU,0.8568314110932369,3,0,0,1,3,1,on,1.851618129031628e-05,87.26777648925781,-0.663089394569397,38,0.939849615097046,0.962594747543335,1686747862.824294,1686747862.8469036
40,ReLU,0.8403000040803341,4,0,0,4,0,2,on,1.1459789188046442e-05,79.42253112792969,-2.041826009750366,39,0.9409277439117432,0.9635157585144044,1686747862.825372,1686747862.84782
41,ReLU,0.8077267376927775,3,0,0,2,3,1,on,1e-05,87.60932159423828,-0.8737541437149048,40,0.960890293121338,0.983104944229126,1686747862.8453314,1686747862.8674314
42,ReLU,0.849106676791318,3,0,0,2,1,1,on,1e-05,85.47265625,-0.8377322554588318,41,0.9667110443115234,0.9889798164367676,1686747862.8511505,1686747862.8733022
43,ReLU,0.8460725660694298,4,0,0,3,2,2,off,8.187452197987524e-05,87.6663818359375,-1.612279176712036,42,0.9668533802032472,0.9888968467712402,1686747862.8512912,1686747862.8732216
44,ReLU,0.0993771957705534,0,1,0,4,1,0,on,0.0001996981993788,80.8347396850586,-0.8108291029930115,43,0.968522310256958,0.991173505783081,1686747862.8529594,1686747862.8754966
45,ReLU,0.7686927582977289,3,0,0,4,0,4,on,9.457776669523054e-05,80.84715270996094,-1.7179969549179075,44,0.9771385192871094,0.9994781017303468,1686747862.8615775,1686747862.8838038
46,ReLU,0.1975080218700389,0,1,0,0,1,1,on,0.0002681883004613,84.96880340576172,-0.3353978097438812,45,0.9809083938598632,1.003399133682251,1686747862.865347,1686747862.8877254
47,Mish,0.001,1,0,0,3,1,1,on,0.0002392863093952,68.0372543334961,-1.111656665802002,46,0.9836125373840332,1.006983518600464,1686747862.868053,1686747862.891303
48,ReLU,0.0597164213357335,0,1,0,0,0,0,on,0.0009097344947567,80.62318420410156,-0.3416891992092132,67,1.272388935089111,1.2952585220336914,1686747863.1568303,1686747863.1794772
49,ReLU,0.3219143009803495,0,1,0,3,1,1,off,0.000870302448063,81.42463684082031,-0.5352153778076172,48,1.163733720779419,1.1860311031341553,1686747863.0481777,1686747863.070343
50,ReLU,0.0722527675504251,0,1,0,3,1,0,on,0.0009027327098626,86.50811767578125,-0.4761542379856109,49,1.166022539138794,1.1883673667907717,1686747863.0504646,1686747863.0726795
51,ReLU,0.887487390066059,1,0,0,3,1,3,on,5.339088432124881e-05,88.09549713134766,-0.7381729483604431,50,1.1719396114349363,1.1940100193023682,1686747863.0563862,1686747863.0783288
52,ReLU,0.5126903540077539,1,0,0,4,0,0,on,1e-05,79.95921325683594,-0.8899054527282715,51,1.1773223876953125,1.1996824741363523,1686747863.0617638,1686747863.083997
53,ReLU,0.2428501401633713,1,0,0,3,4,1,on,0.000329736959464,85.14771270751953,-1.103085160255432,52,1.1865108013153076,1.2094230651855469,1686747863.070953,1686747863.0937312
54,ReLU,0.2521254827708729,1,1,0,3,0,0,on,0.0002489947806855,85.41707611083984,-0.5290307998657227,53,1.1904191970825195,1.213207483291626,1686747863.074861,1686747863.097517
55,ReLU,0.0244122177427925,3,1,4,0,0,0,on,1e-05,83.35192108154297,-1.0121334791183472,54,1.1982688903808594,1.2209720611572266,1686747863.082711,1686747863.1052852
56,ReLU,0.0036340697087456,3,1,1,3,0,0,off,1e-05,77.72930145263672,-0.671355664730072,55,1.2013251781463623,1.2239584922790527,1686747863.0857744,1686747863.108255
57,ReLU,1.0,1,1,1,3,2,0,on,1e-05,16.181697845458984,-0.8227740526199341,56,1.202030897140503,1.2248530387878418,1686747863.0864725,1686747863.109161
58,ReLU,0.001,3,2,0,0,1,0,on,1e-05,78.43163299560547,-0.6861904859542847,57,1.2032833099365234,1.226238250732422,1686747863.087726,1686747863.1105487
59,ReLU,0.7622929005063076,0,0,4,2,1,3,on,2.7104087310277623e-05,86.63201904296875,-1.2968683242797852,58,1.204970359802246,1.227323055267334,1686747863.0894144,1686747863.1116383
60,ReLU,0.8732695324539788,3,1,4,1,3,1,on,1e-05,83.2618179321289,-1.2447712421417236,59,1.206629991531372,1.2289693355560305,1686747863.091072,1686747863.1132865
61,ReLU,0.7954209463762317,0,0,3,3,4,3,on,4.748347099339525e-05,87.67393493652344,-1.376490831375122,60,1.2264182567596436,1.248335599899292,1686747863.110857,1686747863.1326623
62,ReLU,0.8365228962904356,0,4,0,3,3,0,on,1e-05,83.80424499511719,-1.191568374633789,61,1.2335126399993896,1.2556216716766355,1686747863.1179504,1686747863.1399486
63,ReLU,0.6645075363202653,0,1,0,4,1,0,on,1e-05,78.47325897216797,-0.8757531642913818,62,1.233978033065796,1.256157159805298,1686747863.1184216,1686747863.1404772
64,ReLU,0.8601152151705359,4,1,0,1,4,1,on,4.136912177397771e-05,67.14837646484375,-1.801496863365173,63,1.2366020679473877,1.259228229522705,1686747863.12104,1686747863.1435542
65,ReLU,0.8621022192403126,0,0,0,1,4,1,off,1e-05,73.33847045898438,-0.8432555794715881,64,1.2442083358764648,1.2664577960968018,1686747863.1286469,1686747863.1507845
66,Mish,0.7817051329263093,3,0,0,1,2,2,off,7.503095343261742e-05,90.01620483398438,-2.388546228408813,65,1.2492187023162842,1.2715027332305908,1686747863.1336565,1686747863.1558287
67,ReLU,0.0132558390989384,0,3,0,0,3,1,on,0.0004003806932692,86.0098876953125,-0.5745711326599121,66,1.256744146347046,1.279710054397583,1686747863.141183,1686747863.164031
68,ReLU,0.1948304819345465,0,0,2,3,4,0,on,0.0009774054296317,87.97193145751953,-1.344502329826355,87,1.5602712631225586,1.5831902027130127,1686747863.4447124,1686747863.4673977
