p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.6001379481130266,4,2,0,1,2,2,on,0.0002168089963941077,192,93.91840362548828,-1.6680001020431519,-0.674471914768219,69,0.4209129810333252,2643.8684089183807,1688837081.4417512,1688839724.8887496,93.91840362548828,97.23131561279297,0.674471914768219,89.65267944335938,93.30904388427734,264076.0,1.6680001020431519
Hardswish,0.3103890521815672,1,3,1,1,2,1,off,0.0008129303377542385,172,61.34547805786133,-1.2330398559570312,-0.19716498255729675,0,0.3464791774749756,1538.3429081439972,1688837081.3673313,1688838619.3632812,61.34547805786133,80.38704681396484,0.19716498255729675,42.59617614746094,33.295616149902344,153529.84375,1.2330398559570312
ReLU,0.930747967776961,4,1,2,2,3,0,on,3.0942082466451016e-05,122,89.56886291503906,-2.9569437503814697,-0.5784288048744202,1,0.3464844226837158,1275.0396847724917,1688837081.3673334,1688838356.060068,89.56886291503906,94.19876861572266,0.5784288048744202,66.18346405029297,76.20209503173828,127199.546875,2.9569437503814697
Hardswish,0.343063324612263,4,3,1,3,3,3,off,0.00036268422192139386,30,77.55704498291016,-1.5111925601959229,-0.16507859528064728,10,0.35251617431640625,354.1057093143463,1688837081.3733544,1688837435.1260686,77.55704498291016,89.59678649902344,0.16507859528064728,19.21121406555176,73.34275817871094,35087.68359375,1.5111925601959229
ReLU,0.729395441528262,4,3,0,0,3,0,off,0.0003631982270990546,191,92.82764434814452,-1.90133273601532,-0.12820439040660858,100,450.9304373264313,1940.759305715561,1688837531.951267,1688839021.7797642,92.82764434814452,97.5932159423828,0.12820439040660858,14.79111385345459,93.42961883544922,148970.53125,1.90133273601532
Hardswish,0.6839455501814714,0,3,4,0,0,4,on,0.0003209766476959689,14,67.9104995727539,-2.2573699951171875,-0.08866046369075775,101,502.31639409065247,605.5695381164551,1688837583.337222,1688837686.590014,67.9104995727539,68.49790954589844,0.08866046369075775,11.715609550476074,63.411380767822266,10312.994140625,2.2573699951171875
ReLU,0.024124494427255637,1,3,3,2,0,1,on,0.0002714020677661917,129,91.52477264404295,-1.3958970308303833,-0.373506098985672,102,503.159206867218,1573.949137687683,1688837584.1800346,1688838654.9695988,91.52477264404295,92.71709442138672,0.373506098985672,52.76290512084961,91.57756805419922,107066.625,1.3958970308303833
Hardswish,0.01895728045054844,0,4,4,0,3,1,off,0.0007883687072574629,144,89.92853546142578,-1.7069780826568604,-0.09452257305383682,103,522.7216422557831,2283.6449644565582,1688837603.7424693,1688839364.66545,89.92853546142578,94.3001708984375,0.09452257305383682,12.660758972167969,87.85689544677734,176079.984375,1.7069780826568604
Mish,0.6941235350876843,1,1,2,4,0,3,on,0.0004989825519795172,74,56.9965705871582,-2.448002576828003,-0.31855112314224243,104,605.6185786724091,1426.7573080062866,1688837686.6394067,1688838507.777783,56.9965705871582,74.53990936279297,0.31855112314224243,46.94476318359375,77.9251480102539,82101.5625,2.448002576828003
ReLU,0.38853800051410264,3,3,3,0,1,1,off,0.0004488421574548317,86,83.24161529541016,-1.2039291858673096,-0.13417227566242218,105,635.7116742134094,1263.1546695232391,1688837716.7324967,1688838344.1751404,83.24161529541016,89.98674011230469,0.13417227566242218,17.644472122192383,66.0892333984375,62732.0078125,1.2039291858673096
Mish,0.1917940425346349,2,4,4,3,3,4,on,6.809614771594135e-05,46,81.61951446533203,-3.2968757152557373,-0.3761972188949585,107,710.8488683700562,1523.0442423820496,1688837791.869692,1688838604.064722,81.61951446533203,88.37449645996094,0.3761972188949585,55.439151763916016,87.3479232788086,81207.2421875,3.2968757152557373
ReLU,0.7009003913066715,1,1,0,3,4,2,off,0.00038069251212517535,79,81.31938171386719,-1.9168047904968264,-0.3839604258537293,108,737.0651030540466,1492.760894060135,1688837818.085931,1688838573.781361,81.31938171386719,88.01451110839844,0.3839604258537293,41.20899963378906,83.27117919921875,75565.3359375,1.9168047904968264
Hardswish,0.6293801951446956,0,4,3,1,1,0,on,0.0005157181485136533,130,69.86598205566406,-1.5049998760223389,-0.09402376413345336,109,737.373238325119,2024.2242081165311,1688837818.3940651,1688839105.2446768,69.86598205566406,86.3257827758789,0.09402376413345336,11.817404747009276,81.69025421142578,128672.7734375,1.5049998760223389
Mish,0.7706710081787937,0,1,1,3,3,1,off,0.0004926593736178757,108,33.92679214477539,-2.658303737640381,-0.13936138153076172,11,0.35923194885253906,1468.0969545841217,1688837081.3800704,1688838549.1173348,33.92679214477539,88.1885986328125,0.13936138153076172,13.848310470581056,58.51641082763672,146475.84375,2.658303737640381
Mish,0.14629478349283775,0,2,1,0,4,4,off,6.453048341972196e-05,5,68.0039291381836,-2.5470547676086426,-0.39157775044441223,111,826.9588446617126,897.6959390640259,1688837907.979668,1688837978.7164223,68.0039291381836,80.87225341796875,0.39157775044441223,52.53653717041016,66.30391693115234,7064.31591796875,2.5470547676086426
ReLU,0.80879735933015,4,3,1,0,0,1,on,0.0006043622992813223,73,40.502315521240234,-1.3364925384521484,-0.10767097771167757,112,832.0881657600403,1453.813071727753,1688837913.1089914,1688838534.8335304,40.502315521240234,79.51390075683594,0.10767097771167757,11.120367050170898,63.29166412353515,62160.16796875,1.3364925384521484
Hardswish,0.8845742385599208,1,1,3,2,0,1,on,0.00017143663290509697,111,41.88594055175781,-1.243125557899475,-0.3878479599952698,114,846.7750086784363,1745.1017079353333,1688837927.795834,1688838826.1221862,41.88594055175781,81.00259399414062,0.3878479599952698,43.09156799316406,87.13834381103516,89820.3671875,1.243125557899475
Mish,0.15857290504197624,1,1,4,4,1,0,off,0.0007798063741648146,115,87.49573516845703,-1.888462781906128,-0.06337817013263702,115,863.7748119831085,2303.927418231964,1688837944.795639,1688839384.947889,87.49573516845703,90.80463409423828,0.06337817013263702,9.31600284576416,76.77599334716797,144002.90625,1.888462781906128
Mish,0.6306888712560462,0,2,0,1,0,3,on,0.0002256609221958042,72,78.42904663085938,-1.9897568225860596,-0.33093512058258057,116,895.6805803775787,1733.654834985733,1688837976.7014058,1688838814.6752944,78.42904663085938,89.80888366699219,0.33093512058258057,54.10263442993164,86.36676025390625,83785.09375,1.9897568225860596
Hardswish,0.8566495364411637,4,0,4,1,0,1,on,0.00031629996595642257,28,52.38200378417969,-1.1305631399154663,-0.04596118628978729,117,895.9658777713776,1130.4863724708557,1688837976.986703,1688838211.5068502,52.38200378417969,65.50396728515625,0.04596118628978729,7.35792350769043,50.26238632202149,23449.62890625,1.1305631399154663
Mish,0.09932574495198808,1,4,1,1,4,1,on,0.0003930871720530249,116,25.58646774291992,-2.537068128585815,-0.0847938060760498,118,897.7449905872345,2190.998274564743,1688837978.7658126,1688839272.0187566,25.58646774291992,9.535035133361816,0.0847938060760498,8.804436683654785,25.89257049560547,129313.015625,2.537068128585815
ReLU,0.7346970004446934,3,0,3,2,4,0,on,0.0006974611725173475,63,21.04737091064453,-2.674111843109131,-0.4052865505218506,12,0.3651244640350342,737.3220546245575,1688837081.3859549,1688837818.3416958,21.04737091064453,70.20140075683594,0.4052865505218506,51.01668167114258,39.723236083984375,73454.0859375,2.674111843109131
ReLU,0.4236946726849177,3,3,1,0,0,1,off,0.0009376141254211656,179,90.8567352294922,-1.0839240550994873,-0.12512370944023132,120,980.7390475273132,2072.626317024231,1688838061.7598743,1688839153.6467872,90.8567352294922,81.03731536865234,0.12512370944023132,14.898165702819824,88.53340148925781,109176.390625,1.0839240550994873
ReLU,0.07886965432311766,2,1,4,1,0,2,on,8.958440596363345e-05,2,76.95134735107422,-1.444341778755188,-0.6383810043334961,121,991.2703504562378,1012.6248362064362,1688838072.2911766,1688838093.64529,76.95134735107422,79.04594421386719,0.6383810043334961,71.13510131835938,76.2457046508789,2130.988037109375,1.444341778755188
Hardswish,0.15304499596696813,3,0,1,0,3,4,on,0.0001275464870876078,114,91.578125,-2.1035728454589844,-0.10938495397567748,125,1030.505359172821,2137.419586420059,1688838111.5261824,1688839218.4400766,91.578125,95.75653076171876,0.10938495397567748,12.87030792236328,92.1791000366211,110679.09375,2.1035728454589844
ReLU,0.6612808045040783,4,1,2,1,3,3,off,0.0009151873664848412,111,31.74516868591309,-2.826361894607544,-0.34665146470069885,126,1125.8928124904633,2468.1382279396057,1688838206.9136398,1688839549.158691,31.74516868591309,49.097530364990234,0.34665146470069885,42.70478439331055,34.7761116027832,134212.1875,2.826361894607544
Hardswish,0.725015050763678,0,4,0,3,0,4,on,0.000603005322428704,15,47.41884231567383,-1.3508235216140747,-0.11374468356370926,128,1141.6712217330933,1272.1993701457975,1688838222.692048,1688838353.2198472,47.41884231567383,77.19322204589844,0.11374468356370926,12.748202323913574,47.8740234375,13040.484375,1.3508235216140747
Hardswish,0.6753217866460043,0,0,0,4,1,0,off,0.0007513061954559894,54,56.066368103027344,-1.3315627574920654,-0.08525964617729187,13,0.35906004905700684,450.878633260727,1688837081.3798976,1688837531.898201,56.066368103027344,61.48639678955078,0.08525964617729187,9.974655151367188,48.39339828491211,44815.453125,1.3315627574920654
ReLU,0.39065455066542026,0,3,0,3,3,1,on,0.00031863371537513784,48,51.96095275878906,-0.9684484004974364,-0.1445252150297165,130,1240.600224018097,1636.4815785884855,1688838321.6210508,1688838717.5020418,51.96095275878906,87.94891357421875,0.1445252150297165,18.833057403564453,80.58395385742188,39575.796875,0.9684484004974364
ReLU,0.7693600150286113,2,0,3,0,4,3,off,0.00016038150417361136,17,78.63041687011719,-1.9340641498565672,-0.39670005440711975,132,1269.9920032024384,1413.0313260555267,1688838351.0128288,1688838494.0517623,78.63041687011719,89.61763763427734,0.39670005440711975,42.85953903198242,82.27078247070312,14291.6416015625,1.9340641498565672
Mish,0.7797045560358171,1,1,0,4,3,1,on,0.0005801523070764538,3,37.17561721801758,-2.2409796714782715,-0.10091706365346909,133,1272.2487409114838,1311.2787671089172,1688838353.2695663,1688838392.2992463,37.17561721801758,72.54548645019531,0.10091706365346909,11.46146011352539,43.02964782714844,3896.78515625,2.2409796714782715
ReLU,0.5375433458614196,2,4,0,3,1,4,off,0.0009537561448700406,92,35.585872650146484,-2.6894688606262207,-0.3240433633327484,134,1275.0929291248322,2273.4744498729706,1688838356.113753,1688839354.494939,35.585872650146484,55.23039627075195,0.3240433633327484,47.11087417602539,47.843055725097656,99825.8203125,2.6894688606262207
ReLU,0.003760054094565253,3,2,1,2,2,2,off,0.0008597590717314563,63,92.17194366455078,-1.7146146297454834,-0.9520151615142822,135,1283.9445104599,1990.7078263759613,1688838364.9653332,1688839071.7283103,92.17194366455078,95.45526123046876,0.9520151615142822,103.99286651611328,93.43607330322266,70663.9921875,1.7146146297454834
ReLU,0.15152604160786518,2,4,2,0,2,2,on,0.0008518649860632613,55,79.2468032836914,-1.9614111185073853,-1.0601624250411987,136,1293.011813402176,1873.952402591705,1688838374.0326412,1688838954.972871,79.2468032836914,88.44483947753906,1.0601624250411987,112.14137268066406,85.51993560791016,58081.734375,1.9614111185073853
ReLU,0.6281770952594689,0,1,3,4,3,4,off,0.0005710807437794094,1,36.24763870239258,-1.626291036605835,-0.1257605254650116,14,0.36721134185791016,13.113516330718994,1688837081.38805,1688837094.1338525,36.24763870239258,59.04703903198242,0.1257605254650116,14.787171363830566,28.835704803466797,1003.447998046875,1.626291036605835
ReLU,0.5338734446189335,2,4,0,0,1,4,on,0.0001229917530463862,64,89.18321990966797,-2.5176920890808105,-0.32642441987991333,141,1314.1871705055237,1956.6678080558777,1688838395.2079935,1688839037.6882794,89.18321990966797,91.57561492919922,0.32642441987991333,41.10353088378906,70.9303970336914,64244.00390625,2.5176920890808105
ReLU,0.22447662230632864,2,2,3,0,0,2,on,0.0002938279898169562,58,84.16481018066406,-1.522809386253357,-0.7119043469429016,144,1373.350327014923,1812.70627450943,1688838454.371152,1688838893.72674,84.16481018066406,91.15110778808594,0.7119043469429016,90.42560577392578,78.88150787353516,43923.26953125,1.522809386253357
Hardswish,0.9038066507445722,4,1,4,0,0,1,on,2.151600130884347e-05,4,77.51798248291016,-1.4319493770599363,-0.07588949799537659,145,1378.2785148620603,1411.8757655620575,1688838459.2993462,1688838492.8962293,77.51798248291016,37.925331115722656,0.07588949799537659,9.79998016357422,41.3419189453125,3354.031005859375,1.4319493770599363
ReLU,0.43631226324793104,1,1,0,3,1,3,on,0.00017018958209223195,139,91.52349090576172,-1.060038685798645,-0.14964139461517334,146,1381.378474235535,2274.653810501098,1688838462.3993056,1688839355.674297,91.52349090576172,93.57335662841795,0.14964139461517334,14.01828670501709,92.44026947021484,89315.1953125,1.060038685798645
Mish,0.4535112454702014,0,3,4,0,3,1,on,0.0006220638173394269,95,81.43475341796875,-3.688634872436523,-0.13062019646167755,147,1382.6951503753662,2631.4234833717346,1688838463.7159774,1688839712.443952,81.43475341796875,83.60198211669922,0.13062019646167755,14.50046443939209,73.25120544433594,124860.484375,3.688634872436523
ReLU,0.8812561847136202,1,1,1,0,0,2,off,0.0001780459856304726,134,91.0786590576172,-1.1204094886779783,-0.33219459652900696,148,1411.9245624542236,2143.2972753047943,1688838492.9453876,1688839224.3177464,91.0786590576172,79.33910369873047,0.33219459652900696,39.493804931640625,86.23477172851562,73124.953125,1.1204094886779783
Mish,0.3785380018242089,2,1,2,3,1,3,off,0.00022898443869093612,134,91.58995056152344,-2.4761645793914795,-0.7420696020126343,15,0.3694770336151123,1669.669429063797,1688837081.390313,1688838750.689795,91.58995056152344,97.98576354980467,0.7420696020126343,90.0554428100586,89.90055084228516,166641.46875,2.4761645793914795
Hardswish,0.8851682365572742,2,2,0,3,2,0,off,0.0009353064501597886,108,44.4341926574707,-1.9915586709976196,-0.7185670137405396,150,1426.8086581230164,2561.557725906372,1688838507.8294864,1688839642.5781858,44.4341926574707,78.07057189941406,0.7185670137405396,99.58051300048828,54.23567199707031,113462.5859375,1.9915586709976196
ReLU,0.6249879643056475,4,1,0,3,2,1,off,0.0008006101000443385,18,39.5941162109375,-1.0901386737823486,-0.3281744122505188,151,1439.711478471756,1595.6100656986237,1688838520.7323122,1688838676.6305304,39.5941162109375,41.8089599609375,0.3281744122505188,47.06065368652344,45.840545654296875,15577.4921875,1.0901386737823486
Hardswish,0.9000160227207104,2,3,4,4,3,3,on,0.0007231037010803479,66,32.93871307373047,-2.4268369674682617,-0.49026453495025635,154,1468.1516523361206,2144.3635523319244,1688838549.1724792,1688839225.384018,32.93871307373047,66.4892578125,0.49026453495025635,50.36808013916016,43.24018859863281,67608.828125,2.4268369674682617
ReLU,0.6526600512545907,1,1,1,2,4,1,on,0.0006373007787869644,63,34.424400329589844,-1.8239893913269043,-0.3374277353286743,155,1492.8121449947355,2046.4948375225067,1688838573.8329666,1688839127.5153213,34.424400329589844,24.182191848754883,0.3374277353286743,48.59365463256836,10.48910140991211,55355.9453125,1.8239893913269043
Hardswish,0.2876924837566608,3,2,4,0,2,1,on,0.000304871894349371,120,90.29339599609376,-2.5146923065185547,-0.72821044921875,158,1538.092756986618,2571.797995328903,1688838619.1135798,1688839652.8184855,90.29339599609376,93.21310424804688,0.72821044921875,90.80123138427734,86.81587982177734,103358.1875,2.5146923065185547
Hardswish,0.9328585943797532,0,4,1,2,4,1,off,0.00014056024385077366,132,80.7342758178711,-2.3563485145568848,-0.3539167642593384,16,0.3630645275115967,1378.224550962448,1688837081.3838966,1688838459.244918,80.7342758178711,91.7690887451172,0.3539167642593384,39.9056282043457,86.15290069580078,137491.703125,2.3563485145568848
Hardswish,0.8214280663584393,1,2,0,2,2,3,on,0.000470572253931374,54,68.2137680053711,-1.618680119514465,-0.6173637509346008,160,1543.8461074829102,2164.2203488349915,1688838624.8669317,1688839245.24083,68.2137680053711,58.108890533447266,0.6173637509346008,86.0799331665039,62.61372756958008,62025.10546875,1.618680119514465
Hardswish,0.6667424775062445,2,0,2,1,3,0,on,0.00024037035275406508,66,76.05302429199219,-1.659361720085144,-0.7054965496063232,163,1574.0009169578552,2207.2684876918793,1688838655.021743,1688839288.2889328,76.05302429199219,88.83584594726562,0.7054965496063232,76.14158630371094,87.2633285522461,63314.3984375,1.659361720085144
Hardswish,0.10659545626806556,1,3,2,0,4,2,off,0.00033442109962995636,72,89.27629852294922,-1.685838222503662,-0.6078231930732727,164,1583.8856785297394,2325.3987534046173,1688838664.9065073,1688839406.4192271,89.27629852294922,94.9252471923828,0.6078231930732727,76.756103515625,90.31501007080078,74138.96875,1.685838222503662
ReLU,0.5802007104861006,1,4,2,3,3,0,on,0.0005486384487884895,96,63.18607711791992,-1.828510880470276,-0.39759352803230286,170,1687.7890796661377,2522.5023906230927,1688838768.8099048,1688839603.5228667,63.18607711791992,69.48339080810547,0.39759352803230286,41.54793930053711,77.93939208984375,83459.0234375,1.828510880470276
Hardswish,0.8313984869599795,2,4,3,3,2,3,off,0.0003677437997967843,32,41.51266098022461,-2.0070290565490723,-0.7724714279174805,171,1691.8017976284027,2107.848109960556,1688838772.8226264,1688839188.86859,41.51266098022461,89.6123046875,0.7724714279174805,90.07442474365234,59.755157470703125,41592.31640625,2.0070290565490723
Mish,0.7692831302392218,1,0,3,2,1,3,on,0.00016842620997492,9,64.79479217529297,-2.779874324798584,-0.3760863542556762,174,1750.6837532520294,1874.3712050914764,1688838831.70458,1688838955.3916736,64.79479217529297,87.04899597167969,0.3760863542556762,51.52836990356445,60.31202697753906,12356.3798828125,2.779874324798584
Mish,0.6598253861611977,0,1,2,4,0,2,on,0.0003191374032952617,144,91.9102783203125,-2.5186872482299805,-0.565575361251831,18,0.364741325378418,1836.337476730347,1688837081.3855815,1688838917.3577678,91.9102783203125,92.0243148803711,0.565575361251831,72.2059555053711,92.63795471191406,183310.484375,2.5186872482299805
ReLU,0.7586525757730083,1,1,2,1,2,4,off,0.00014564278451111465,15,52.772186279296875,-1.4892646074295044,-0.5968500971794128,182,1956.719209432602,2090.2745130062103,1688839037.7400324,1688839171.2949927,52.772186279296875,89.45558166503906,0.5968500971794128,69.93695068359375,41.43327331542969,13343.2265625,1.4892646074295044
Hardswish,0.7393529682327534,2,2,4,4,4,1,on,0.0003833311666859722,10,39.50236511230469,-1.89897882938385,-0.4825594127178192,183,1979.2281177043917,2110.563771247864,1688839060.2489414,1688839191.5842018,39.50236511230469,84.82806396484375,0.4825594127178192,85.91805267333984,56.007423400878906,13121.265625,1.89897882938385
Hardswish,0.24334726327670292,0,0,2,2,1,0,on,0.000905531070196178,37,58.54024887084961,-1.656640648841858,-0.5956991314888,193,2110.6123077869415,2544.3615901470184,1688839191.63313,1688839625.382074,58.54024887084961,64.60574340820312,0.5956991314888,71.7029800415039,65.34571838378906,43362.65625,1.656640648841858
Hardswish,0.31313627824992374,2,4,3,2,0,1,off,0.0006992036480903153,83,57.13435745239258,-2.155050277709961,-0.674976646900177,2,0.3467214107513428,980.6862766742706,1688837081.367579,1688838061.7066045,57.13435745239258,80.37915802001953,0.674976646900177,81.35637664794922,76.3011703491211,97745.71875,2.155050277709961
Mish,0.13572098524799991,0,1,3,1,4,0,off,0.0005949580495155152,109,90.3017578125,-1.9233102798461912,-0.08536561578512192,20,0.369614839553833,1302.9122152328491,1688837081.3904536,1688838383.9325805,90.3017578125,89.00101470947266,0.08536561578512192,12.044777870178224,67.10185241699219,129974.2109375,1.9233102798461912
Mish,0.286794163851223,1,1,2,0,1,0,on,8.605458448575161e-05,14,84.36546325683594,-1.7841087579727173,-0.15442000329494476,203,2207.319776535034,2301.8482699394226,1688839288.3406029,1688839382.868736,84.36546325683594,88.3943862915039,0.15442000329494476,41.5912971496582,88.05274200439453,9441.0537109375,1.7841087579727173
Hardswish,0.07988739430445087,4,3,4,4,2,3,off,7.017559265165793e-05,14,81.59171295166016,-2.7228941917419434,-0.21553201973438263,21,0.37148475646972656,227.20577001571655,1688837081.392323,1688837308.2254095,81.59171295166016,90.38024139404295,0.21553201973438263,50.415584564208984,84.4656753540039,22386.044921875,2.7228941917419434
ReLU,0.2126761175139564,4,4,4,0,4,3,off,0.0004633901800751884,23,69.1280746459961,-2.109581708908081,-0.10682293772697447,212,2325.4511280059814,2638.472921848297,1688839406.4719558,1688839719.4933765,69.1280746459961,86.89542388916016,0.10682293772697447,11.52420711517334,78.17066192626953,31289.83984375,2.109581708908081
Mish,0.3664346110550972,2,2,0,3,0,1,off,0.0005302838360260817,70,73.56534576416016,-2.377614974975586,-0.570646345615387,22,0.3793201446533203,846.7231140136719,1688837081.4001555,1688837927.7434516,73.56534576416016,89.12996673583984,0.570646345615387,81.22789001464844,86.43657684326172,84387.921875,2.377614974975586
Hardswish,0.9604843449662624,1,3,2,3,2,4,off,0.0008014147968772824,194,88.43888854980469,-1.8200238943099976,-0.4163239300251007,23,0.3732452392578125,2622.2025530338287,1688837081.394078,1688839703.22287,88.43888854980469,99.46795654296876,0.4163239300251007,82.44243621826172,94.50476837158205,261947.359375,1.8200238943099976
