p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0017739223088163,3,0,4,4,4,4,on,2.1523708097309283e-05,180,68.95600128173828,-2.774831771850586,-0.1102394759654998,0,1691763920.2425845,1691764920.3907683,0.1102394759654998,199792.0,2.774831771850586,11.817278861999512,68.95600128173828,65.8940200805664,71.74691772460938,False
Hardswish,0.0011120238769478,0,3,3,0,2,3,off,0.0008567401059896,8,37.60591125488281,-0.9315840601921082,-0.3948043584823608,1,1691763920.4998827,1691763941.5571215,0.3948043584823608,4050.5546875,0.9315840601921082,54.9731559753418,37.60591125488281,37.84420776367188,38.29302597045898,False
Hardswish,0.0535936907858481,3,4,3,3,0,2,on,0.0003157937572788,189,89.47477722167969,-1.5024577379226685,-0.3912869393825531,2,1691763920.5027988,1691764582.9287205,0.3912869393825531,132319.34375,1.5024577379226685,57.577369689941406,89.47477722167969,96.1245346069336,89.57736206054688,False
Hardswish,0.2104742776264897,2,1,0,4,3,2,off,0.0002724080898582,120,86.0077133178711,-1.5553961992263794,-0.5877842307090759,3,1691763920.5094323,1691764323.9876406,0.5877842307090759,80520.421875,1.5553961992263794,81.3946304321289,86.0077133178711,98.27099609375,85.52635955810547,False
Hardswish,0.0030171260511366,0,1,0,1,3,0,on,0.0003106867555349,37,62.34788513183594,-0.4802868664264679,-0.103779099881649,4,1691763922.1987822,1691763963.667705,0.103779099881649,8102.41015625,0.4802868664264679,11.67668628692627,62.34788513183594,59.67356872558594,64.26763916015625,False
ReLU,0.2680955593735954,3,0,0,1,4,1,off,1.35304233763674e-05,88,80.88751220703125,-1.1016595363616943,-0.1042039990425109,5,1691763922.3189683,1691764122.37192,0.1042039990425109,39831.4609375,1.1016595363616943,11.775026321411133,80.88751220703125,89.24520874023438,81.60395050048828,False
Mish,0.0011818170958709,0,2,3,1,0,4,on,4.4164745918612846e-05,47,65.53765106201172,-2.6029458045959477,-0.3491751551628113,6,1691763922.3382325,1691764153.008468,0.3491751551628113,45936.1875,2.6029458045959477,46.75642776489258,65.53765106201172,64.22396087646484,67.09851837158203,False
Hardswish,0.004527293035927,4,1,2,3,0,1,on,0.0001723855924279,175,86.11532592773438,-1.2564959526062012,-0.3445833325386047,7,1691763922.3307877,1691764412.2062078,0.3445833325386047,97783.0234375,1.2564959526062012,46.162864685058594,86.11532592773438,92.6861343383789,86.05452728271484,False
Hardswish,0.0022937848396959,4,1,1,0,0,2,off,1.475230988081392e-05,3,35.83936309814453,-1.1222338676452637,-0.3207710683345794,8,1691763922.3426783,1691763930.0246964,0.3207710683345794,1358.114990234375,1.1222338676452637,42.89892959594727,35.83936309814453,36.316165924072266,38.15081405639648,False
Mish,0.0411968115693947,1,3,1,4,1,4,off,0.0003461221882778,36,70.10079956054688,-2.2909693717956543,-0.1068580597639083,9,1691763922.345777,1691764083.366207,0.1068580597639083,32011.123046875,2.2909693717956543,11.677828788757324,70.10079956054688,76.51538848876953,69.11770629882812,False
Hardswish,0.3148619185337986,0,1,4,2,0,3,on,0.0002622604871293,101,69.20943450927734,-1.2762340307235718,-0.3504562377929687,10,1691763922.3533432,1691764234.1382065,0.3504562377929687,62184.77734375,1.2762340307235718,48.32426834106445,69.20943450927734,73.91315460205078,65.66119384765625,False
Hardswish,0.001748301798363,3,3,0,0,4,2,on,5.328737710006456e-05,177,84.10759735107422,-1.392067313194275,-0.3657437562942505,11,1691763922.357834,1691764489.422403,0.3657437562942505,113219.5,1.392067313194275,50.76072311401367,84.10759735107422,85.67623901367188,84.14260864257812,False
Mish,0.0086084112940003,4,2,3,4,3,2,on,0.0001182813084651,45,81.62487030029297,-4.392423629760742,-0.6108739972114563,12,1691763922.361189,1691764315.1642497,0.6108739972114563,78366.578125,4.392423629760742,86.48457336425781,81.62487030029297,81.64179992675781,81.4927978515625,False
Mish,0.0036393632293965,2,0,1,3,2,2,off,4.748585092240812e-05,188,84.68782806396484,-3.094595670700073,-0.8061069846153259,13,1691763922.3648243,1691765077.961651,0.8061069846153259,230927.78125,3.094595670700073,118.1085205078125,84.68782806396484,99.80763244628906,83.92388916015625,False
ReLU,0.0027643773641397,2,1,2,0,2,2,on,0.0001422076012773,106,83.98065948486328,-1.338485836982727,-1.0075770616531372,14,1691763922.368821,1691764260.9733737,1.0075770616531372,67529.9765625,1.338485836982727,144.84500122070312,83.98065948486328,87.60913848876953,84.05473327636719,False
Hardswish,0.021701777123015,1,3,0,1,3,1,off,0.0001368738930178,191,82.50584411621094,-0.6495926976203918,-0.1332020461559295,15,1691763922.3716922,1691764234.4878156,0.1332020461559295,62238.46875,0.6495926976203918,15.396381378173828,82.50584411621094,94.79434204101562,81.71565246582031,False
ReLU,0.1025201846491355,3,4,1,0,1,0,on,0.0001050339644555,193,84.03074645996094,-1.0237691402435305,-0.1089492440223693,16,1691763922.3748813,1691764329.3217282,0.1089492440223693,81205.2734375,1.0237691402435305,11.674985885620115,84.03074645996094,87.2620849609375,83.62068939208984,False
ReLU,0.0043186427363131,2,0,0,4,3,0,off,0.0004377645433871,167,81.16231536865234,-1.2659103870391846,-0.3488845825195312,17,1691763922.3778715,1691764379.9973364,0.3488845825195312,91340.53125,1.2659103870391846,46.702667236328125,81.16231536865234,98.77709197998048,79.01536560058594,False
Mish,0.0026911913941893,2,1,2,2,1,1,on,0.0001456731548933,102,83.36762237548828,-2.7004573345184326,-0.7998347282409668,18,1691763922.381081,1691764466.3219745,0.7998347282409668,108605.5546875,2.7004573345184326,116.27024841308594,83.36762237548828,88.35871887207031,84.28121948242188,False
ReLU,0.8525185602649975,4,4,0,2,4,1,on,2.7884056705639143e-05,174,61.71036529541016,-2.743520498275757,-0.331593781709671,19,1691763922.385332,1691764810.6763148,0.331593781709671,177421.46875,2.743520498275757,42.7386474609375,61.71036529541016,61.21091079711914,61.15205001831055,False
Hardswish,0.0263921350242513,4,4,1,3,2,3,off,0.0001289604607904,188,80.25628662109375,-1.973133563995361,-0.3651711940765381,20,1691763922.3886976,1691764730.0664902,0.3651711940765381,161354.3125,1.973133563995361,50.90152740478516,80.25628662109375,98.68614959716795,77.14614868164062,False
Hardswish,0.1740100753615724,0,1,0,0,4,0,off,0.0008186248524728,5,26.304096221923828,-0.8545347452163696,-0.0626623481512069,21,1691763922.3914902,1691763931.3817823,0.0626623481512069,1635.55859375,0.8545347452163696,7.696568965911865,26.304096221923828,39.294071197509766,30.164173126220703,False
ReLU,0.8438416473683952,1,1,1,1,0,2,off,7.750113065150634e-05,50,11.599245071411133,-0.6692094206809998,-0.3348183333873749,22,1691763922.395456,1691763999.0217311,0.3348183333873749,15150.2783203125,0.6692094206809998,42.37311553955078,11.599245071411133,11.310702323913574,13.978096961975098,False
ReLU,0.0024455353307107,3,0,3,1,4,1,off,2.3079239851924773e-05,143,78.7064437866211,-1.2220838069915771,-0.1299133151769638,23,1691763922.3993423,1691764279.1974144,0.1299133151769638,71201.5625,1.2220838069915771,15.863360404968262,78.7064437866211,87.50867462158203,78.59494018554688,False
ReLU,0.0066148815007099,4,4,1,0,0,2,on,0.0001315890389993,148,79.25968933105469,-1.7401546239852903,-0.3291031420230865,24,1691763922.4027543,1691764449.201151,0.3291031420230865,105126.9453125,1.7401546239852903,42.93940353393555,79.25968933105469,82.49340057373047,78.90345764160156,False
Mish,0.0132245079613029,0,0,3,1,0,1,off,8.975224447468991e-05,95,80.13981628417969,-1.138374924659729,-0.106132373213768,25,1691763922.4061265,1691764138.9382398,0.106132373213768,43074.2109375,1.138374924659729,11.614230155944824,80.13981628417969,91.08259582519533,81.53157806396484,False
Hardswish,0.0257326535073177,0,1,2,3,3,0,off,0.0004368562113058,4,55.5416259765625,-0.8227102756500244,-0.3587843179702759,26,1691763922.4093106,1691763931.2711244,0.3587843179702759,1613.6500244140625,0.8227102756500244,50.923099517822266,55.5416259765625,59.075565338134766,55.11240768432617,False
ReLU,0.0015434097420848,3,0,3,1,3,1,on,0.0008831749976764,137,73.44075775146484,-0.8063572645187378,-0.1501007080078125,27,1691763922.4127746,1691764194.4476151,0.1501007080078125,54175.7421875,0.8063572645187378,19.18234062194824,73.44075775146484,73.7223129272461,75.52490234375,False
ReLU,0.2301011600277728,2,1,1,4,2,3,on,0.000293984064752,119,78.77960968017578,-1.6238423585891724,-0.5709226727485657,28,1691763922.4238436,1691764336.978912,0.5709226727485657,82672.1171875,1.6238423585891724,83.65640258789062,78.77960968017578,82.80184173583984,78.81885528564453,False
Hardswish,0.0018706241235176,2,4,4,3,3,3,off,0.0001797224968105,119,80.127685546875,-2.144316434860229,-0.3972771763801574,29,1691763922.4204593,1691764499.5409956,0.3972771763801574,115200.765625,2.144316434860229,55.98354721069336,80.127685546875,95.42887115478516,79.69882202148438,False
Hardswish,0.0313133490009043,4,0,3,4,4,0,on,7.644245278588723e-05,148,70.98734283447266,-2.188316822052002,-0.1086471080780029,30,1691763922.4168906,1691764610.0281403,0.1086471080780029,137281.671875,2.188316822052002,11.976787567138672,70.98734283447266,73.66852569580078,60.97355270385742,False
Mish,0.5375369608324043,2,1,2,1,1,1,on,0.0003901151489272,41,63.42853546142578,-2.0310561656951904,-0.5733251571655273,31,1691763922.4271042,1691764079.3468337,0.5733251571655273,31145.1640625,2.0310561656951904,79.58079528808594,63.42853546142578,71.10595703125,61.86235809326172,False
Hardswish,0.058886800945911,0,4,1,2,4,4,on,4.323186750318244e-05,69,67.11024475097656,-2.466076374053955,-0.3401064872741699,32,1691763922.43076,1691764254.1056116,0.3401064872741699,66123.9140625,2.466076374053955,45.19030380249024,67.11024475097656,63.571067810058594,65.29183197021484,False
Hardswish,0.1056759586527565,1,4,2,0,1,4,off,0.0004176279829473,189,85.0502700805664,-1.856037974357605,-0.333611249923706,33,1691763922.4342966,1691764580.938183,0.333611249923706,131490.5,1.856037974357605,42.79702758789063,85.0502700805664,99.29341888427734,84.84072875976562,False
ReLU,0.0010350549649176,1,3,2,1,1,2,on,4.296254557075311e-05,77,75.73521423339844,-1.029760479927063,-0.5883583426475525,34,1691763922.4374585,1691764107.7500317,0.5883583426475525,36853.125,1.029760479927063,82.0010757446289,75.73521423339844,76.61201477050781,75.68291473388672,False
ReLU,0.0012904227271536,1,0,3,0,1,4,on,1.716902707432043e-05,178,74.4405517578125,-1.0773104429244995,-0.109710156917572,35,1691763922.4411216,1691764313.2287304,0.109710156917572,77947.7109375,1.0773104429244995,11.4813232421875,74.4405517578125,73.9759750366211,75.54879760742188,False
ReLU,0.108311351506061,0,1,2,2,3,1,on,9.131699199810552e-05,120,86.83555603027344,-0.9866731762886048,-0.579413115978241,36,1691763922.4455533,1691764206.0325007,0.579413115978241,56481.68359375,0.9866731762886048,83.11203002929688,86.83555603027344,92.29620361328124,86.6446304321289,False
ReLU,0.0014792189615045,0,1,1,1,4,3,off,4.165768311644456e-05,103,65.30305480957031,-1.1188327074050903,-0.1062596291303634,37,1691763922.449215,1691764137.4767404,0.1062596291303634,42770.609375,1.1188327074050903,11.761031150817873,65.30305480957031,60.96786117553711,69.65565490722656,False
Hardswish,0.0037914297402481,3,3,4,2,2,2,off,2.825138944187068e-05,163,84.20960998535156,-1.8771393299102783,-0.8468645215034485,38,1691763922.4529395,1691764626.155486,0.8468645215034485,140506.71875,1.8771393299102783,120.51241302490234,84.20960998535156,99.78121948242188,82.79692077636719,False
ReLU,0.0836343398559201,1,0,2,4,3,2,on,2.3678356883530248e-05,117,87.46292114257812,-1.5652456283569336,-0.5784921646118164,39,1691763922.4563048,1691764341.128885,0.5784921646118164,83500.9921875,1.5652456283569336,81.27149963378906,87.46292114257812,91.8797836303711,86.43327331542969,False
Mish,0.1544949507273219,2,3,0,4,3,1,on,0.0003742420735161,22,77.75823974609375,-2.7877655029296875,-0.3670083284378052,40,1691763930.257165,1691764053.4999835,0.3670083284378052,24636.630859375,2.7877655029296875,50.86369323730469,77.75823974609375,81.69213104248047,78.27764892578125,False
Mish,0.3520997377181888,4,2,3,4,1,2,on,9.072883847769318e-05,36,75.81771850585938,-3.552773952484131,-0.5782080888748169,41,1691763931.4323628,1691764201.2288167,0.5782080888748169,53934.671875,3.552773952484131,83.03218078613281,75.81771850585938,75.72858428955078,75.1396255493164,False
Mish,0.004223398402419,0,2,1,3,1,0,on,0.0001361781313572,152,86.5193862915039,-1.7692008018493652,-0.3475762903690338,42,1691763931.5179737,1691764477.4467564,0.3475762903690338,109161.0546875,1.7692008018493652,47.03791427612305,86.5193862915039,91.57427978515624,86.0450668334961,False
ReLU,0.2776610668022892,4,1,2,0,1,0,on,6.182245904587425e-05,156,85.0510482788086,-1.194554328918457,-0.3405798077583313,43,1691763941.739226,1691764318.0610929,0.3405798077583313,75239.6640625,1.194554328918457,43.55266571044922,85.0510482788086,90.12509155273438,84.90980529785156,False
Hardswish,0.0094290721512613,4,1,2,4,0,0,on,0.0001386040784064,1,26.02499771118164,-1.7572201490402222,-0.3254644274711609,44,1691763963.8643131,1691763967.3042643,0.3254644274711609,682.5498657226562,1.7572201490402222,43.486934661865234,26.02499771118164,23.314794540405277,27.183862686157227,False
Hardswish,0.2762758814289424,3,1,1,2,1,4,on,0.0002131695111514,194,84.64657592773438,-1.3777410984039309,-0.3539250493049621,45,1691763967.456795,1691764532.1190712,0.3539250493049621,112907.640625,1.3777410984039309,47.10169219970703,84.64657592773438,89.1318588256836,86.03485870361328,False
