p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Mish,0.7986402434189707,0,3,1,1,0,0,on,0.00023521701012849515,178,89.7412338256836,-1.898159384727478,-0.11840340495109558,119,0.5565674304962158,2185.959086418152,1688771617.832904,1688773803.2346408,89.7412338256836,94.7874984741211,0.11840340495109558,11.711949348449707,94.19306945800781,218282.578125,1.898159384727478
Mish,0.8633733637927147,3,2,0,0,0,3,off,0.0009099608351694812,117,75.15699768066406,-3.2342374324798584,-0.32431286573410034,0,0.39365220069885254,1281.7116856575012,1688771617.6699936,1688772898.9875448,75.15699768066406,75.7669906616211,0.32431286573410034,54.121971130371094,75.76380157470703,127853.3125,3.2342374324798584
ReLU,0.9768458323508294,3,4,3,3,4,0,off,0.000628038972542945,112,66.05867004394531,-2.412927627563477,-0.1415294110774994,1,0.3948028087615967,1237.232488155365,1688771617.6711397,1688772854.508303,66.05867004394531,76.27860260009766,0.1415294110774994,18.69264793395996,42.45951461791992,123405.1953125,2.412927627563477
ReLU,0.8948699594292785,1,3,1,3,3,3,off,0.00040813286202422887,46,58.78004837036133,-1.670680046081543,-0.21958492696285248,10,0.4133899211883545,437.6595964431762,1688771617.6897306,1688772054.9354112,58.78004837036133,81.3539047241211,0.21958492696285248,20.26233291625977,35.26243209838867,43473.2890625,1.670680046081543
ReLU,0.23932874135071447,1,4,3,1,4,1,on,0.00012983647496008586,88,89.06561279296875,-1.5408536195755005,-0.12947958707809448,100,0.5285871028900146,975.36332321167,1688771617.8049245,1688772592.6391902,89.06561279296875,88.814453125,0.12947958707809448,10.11335277557373,85.1174087524414,97254.9140625,1.5408536195755005
Mish,0.8241847548994031,3,0,0,1,1,0,off,0.0003985305297784532,43,66.9283676147461,-2.0313608646392822,-0.05086539313197136,101,0.5295581817626953,403.9809625148773,1688771617.8058925,1688772021.2560265,66.9283676147461,90.18976593017578,0.05086539313197136,9.85853672027588,44.63770294189453,40085.25390625,2.0313608646392822
Hardswish,0.2763736820404461,1,1,4,3,4,2,on,0.0009761928105564904,52,46.41123580932617,-1.883696675300598,-0.346716970205307,102,0.5306825637817383,614.6290612220764,1688771617.807026,1688772231.904113,46.41123580932617,50.35624694824219,0.346716970205307,39.98746871948242,61.6577262878418,61143.70703125,1.883696675300598
ReLU,0.06843034448749455,3,2,2,4,1,2,off,0.0008182573404952217,11,86.14715576171875,-1.559128761291504,-0.6094099879264832,104,0.536919116973877,123.2415292263031,1688771617.8132586,1688771740.5173516,86.14715576171875,89.74049377441406,0.6094099879264832,82.34046173095703,83.13245391845703,12017.806640625,1.559128761291504
ReLU,0.1612169851468289,2,4,0,0,2,4,off,0.00041974789525635315,175,94.65838623046876,-1.9668422937393188,-0.608816921710968,106,0.5375745296478271,1943.620265007019,1688771617.8139138,1688773560.8961282,94.65838623046876,99.66889190673828,0.608816921710968,79.31372833251953,94.1087875366211,194043.65625,1.9668422937393188
Mish,0.4599249995962683,3,3,1,3,3,2,on,0.000416225847952393,144,80.53416442871094,-2.975903034210205,-0.4251261055469513,107,0.5389046669006348,2112.1962826251984,1688771617.8152392,1688773729.4721136,80.53416442871094,92.98986053466795,0.4251261055469513,56.44230651855469,90.08187866210938,210911.21875,2.975903034210205
Hardswish,0.8081063819535029,0,1,1,2,3,4,off,0.0004783582160055387,129,76.33611297607422,-1.9807387590408323,-0.35510578751564026,108,0.5393626689910889,1443.3825795650482,1688771617.8157046,1688773060.658437,76.33611297607422,90.3308563232422,0.35510578751564026,36.701072692871094,76.43260192871094,144031.5,1.9807387590408323
Hardswish,0.7755507726373926,0,3,2,0,2,4,on,0.0002128979040134327,11,72.93539428710938,-2.1327335834503174,-0.4155854880809784,109,0.5407099723815918,98.71281814575195,1688771617.8170493,1688771715.9878552,72.93539428710938,87.95077514648438,0.4155854880809784,67.0094223022461,57.63813400268555,9551.9150390625,2.1327335834503174
Mish,0.2376211841492862,4,0,3,3,2,2,off,0.0008464412977033463,63,72.93538665771484,-3.6284029483795166,-0.6042320728302002,110,0.5417721271514893,1195.277117729187,1688771617.8181124,1688772812.5529604,72.93538665771484,87.92071533203125,0.6042320728302002,110.82356262207033,80.84475708007812,119206.9140625,3.6284029483795166
ReLU,0.8049700721892838,0,3,1,3,4,2,on,0.00035091684942006613,105,30.88434600830078,-1.8475573062896729,-0.3709699809551239,111,0.5432264804840088,995.8677775859832,1688771617.819568,1688772613.1427867,30.88434600830078,89.26732635498047,0.3709699809551239,47.789833068847656,43.89717102050781,99267.3046875,1.8475573062896729
Hardswish,0.8120497136179721,3,1,3,3,1,4,off,0.000905659253709363,47,20.196277618408203,-1.9184199571609497,-0.12622064352035522,112,0.5443291664123535,490.76690196990967,1688771617.820665,1688772108.041962,20.196277618408203,60.474246978759766,0.12622064352035522,17.281084060668945,40.84319686889648,48799.36328125,1.9184199571609497
ReLU,0.31966371370020724,0,3,4,2,3,2,off,3.4285315644601515e-05,109,91.63838958740234,-1.5433781147003174,-0.6060964465141296,113,0.5458626747131348,1249.3137066364288,1688771617.8221955,1688772866.589559,91.63838958740234,95.64512634277344,0.6060964465141296,76.88589477539062,88.58684539794922,124610.8203125,1.5433781147003174
Mish,0.33714850298986554,3,0,3,2,4,0,on,0.0007523167830657227,124,63.93553161621094,-3.354250431060791,-0.4039047658443451,114,0.54671311378479,2021.0671226978304,1688771617.8230531,1688773638.342932,63.93553161621094,73.51053619384766,0.4039047658443451,49.728851318359375,67.47367095947266,201794.15625,3.354250431060791
Hardswish,0.3175676370193893,1,1,4,1,0,4,on,0.0008060145379939509,18,47.005149841308594,-1.465126872062683,-0.08347293734550476,115,0.5474419593811035,119.96856665611269,1688771617.823783,1688771737.2437716,47.005149841308594,65.44173431396484,0.08347293734550476,8.568235397338867,71.08155822753906,11687.7041015625,1.465126872062683
Hardswish,0.8818413810075454,1,1,3,3,3,0,off,0.000899939596248002,189,67.2757797241211,-1.5542980432510376,-0.1416103094816208,116,0.548616886138916,2057.3287694454193,1688771617.8249576,1688773674.604627,67.2757797241211,91.21802520751952,0.1416103094816208,16.54213523864746,90.21981811523438,205415.28125,1.5542980432510376
Hardswish,0.35342186613795573,4,4,1,3,3,4,off,0.0007255730424930275,46,38.26237106323242,-2.232372760772705,-0.1228312999010086,117,0.5543041229248047,681.7786445617676,1688771617.830645,1688772299.0538166,38.26237106323242,67.29627227783203,0.1228312999010086,13.843496322631836,44.87350845336914,67865.8828125,2.232372760772705
ReLU,0.3909826175444739,2,2,0,1,1,2,on,0.00035804141714853145,5,67.7356948852539,-1.2305915355682373,-0.7190288305282593,118,0.5560259819030762,46.78549647331238,1688771617.8323607,1688771664.0605392,67.7356948852539,87.80032348632812,0.7190288305282593,80.95148468017578,79.80345153808594,4361.302734375,1.2305915355682373
