,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
10,ReLU,0.1550538107823154,2,1,0,2,0,2,on,0.0007874849683173,66,87.64244842529297,-1.329798936843872,-0.722802996635437,26,0.2773623466491699,450.4776656627655,1688617829.7335844,1688618279.9328527,87.64244842529297,90.32062530517578,0.722802996635437,97.5809555053711,88.27619171142578,44833.31640625,1.329798936843872
11,Hardswish,0.852243846281092,3,1,2,0,1,0,on,0.0005454603251645,89,71.62397766113281,-1.305251121520996,-0.136728748679161,27,0.2760133743286133,668.1293637752533,1688617829.732226,1688618497.585096,71.62397766113281,75.59217834472656,0.136728748679161,43.662139892578125,64.82283020019531,66613.1015625,1.305251121520996
12,ReLU,0.5005518083745397,0,4,0,0,3,1,off,0.0002233669083468,44,70.81939697265625,-1.5766479969024658,-0.098473235964775,30,0.2782251834869385,338.30821537971497,1688617829.734448,1688618167.7632134,70.81939697265625,87.58555603027344,0.098473235964775,13.065381050109863,80.8401870727539,33616.73046875,1.5766479969024658
13,Mish,0.6643367508221363,0,0,4,1,3,0,on,0.0005776350546403,30,47.17384338378906,-2.51493763923645,-0.1059401780366897,31,0.2805671691894531,318.10286831855774,1688617829.736785,1688618147.558606,47.17384338378906,73.08274841308594,0.1059401780366897,11.043522834777832,44.92797088623047,31616.091796875,2.51493763923645
14,ReLU,0.0270021883191834,2,1,2,1,3,4,off,0.0009514735254317,51,86.39146423339844,-1.7879785299301147,-0.6555009484291077,32,0.2812168598175049,421.6330137252808,1688617829.7374344,1688618251.0880835,86.39146423339844,95.57495880126952,0.6555009484291077,91.86907196044922,86.47442626953125,41963.41796875,1.7879785299301147
15,Mish,0.0777308954078516,3,1,2,0,0,1,off,0.0005296333450624,3,82.49076843261719,-2.1459429264068604,-0.3515535593032837,36,0.2861402034759521,38.34868812561035,1688617829.7423587,1688617867.8043916,82.49076843261719,88.59390258789062,0.3515535593032837,49.97170639038086,69.96282958984375,3642.077880859375,2.1459429264068604
16,ReLU,0.5263665231689717,0,3,4,0,0,2,on,0.0001789064916682,117,89.24810791015625,-1.638056397438049,-0.3242484033107757,40,14.646484375,875.4575848579407,1688617844.102697,1688618704.9134393,89.24810791015625,89.80883026123047,0.3242484033107757,45.74985885620117,82.01416015625,86068.8046875,1.638056397438049
17,Hardswish,0.3017646053298704,1,2,2,2,1,3,on,0.0008670685076162,19,55.09688568115234,-1.5730568170547483,-0.651213526725769,44,338.35810136795044,554.8964869976044,1688618167.8143115,1688618384.3523326,55.09688568115234,75.53152465820312,0.651213526725769,94.3970718383789,76.04522705078125,21641.470703125,1.5730568170547483
18,Hardswish,0.6403222560779619,2,3,3,3,3,2,off,0.0009907997806766,42,13.670246124267578,-1.6173439025878906,-0.5879175662994385,45,421.6828970909119,850.0731699466705,1688618251.1391032,1688618679.5290325,13.670246124267578,51.19089126586914,0.5879175662994385,83.4890365600586,42.53320693969727,42830.66015625,1.6173439025878906
19,Mish,0.2210860471152189,0,1,4,0,0,4,on,0.0004511480469779,27,68.35072326660156,-2.073152780532837,-0.0900588706135749,48,459.8841121196747,782.2459371089935,1688618289.340319,1688618611.701802,68.35072326660156,84.7166976928711,0.0900588706135749,10.44636058807373,83.57220458984375,32223.85546875,2.073152780532837
