,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
10,Mish,0.8784932400636478,3,4,4,4,1,0,off,0.0006927837724794,109,63.45125579833984,-2.495574712753296,-0.080415666103363,20,0.2681732177734375,1396.3737621307373,1688283738.4703948,1688285134.5755117,63.45125579833984,81.24583435058594,0.080415666103363,12.360614776611328,70.38636779785156,139438.9375,2.495574712753296
11,Mish,0.1990878696752906,1,4,2,0,2,2,off,0.0009357701828198,10,67.27165222167969,-3.159263849258423,-0.841011106967926,21,0.2625586986541748,161.5086588859558,1688283738.4647837,1688283899.7103777,67.27165222167969,84.97215270996094,0.841011106967926,124.07166290283205,65.3086166381836,15937.0390625,3.159263849258423
12,Mish,0.8649304470625997,4,4,4,3,3,3,off,0.0008302998802192,97,70.50260925292969,-2.490641832351685,-0.1508447676897049,22,0.2680268287658691,1822.5065944194791,1688283738.4702425,1688285560.708345,70.50260925292969,79.0523681640625,0.1508447676897049,16.516237258911133,55.44033050537109,182063.859375,2.490641832351685
13,Hardswish,0.8081063819535029,0,1,1,2,3,4,off,0.0004783582160055,129,76.33611297607422,-1.9807387590408323,-0.3551057875156402,24,0.2680644989013672,1442.2986080646515,1688283738.4702806,1688285180.5003288,76.33611297607422,90.3308563232422,0.3551057875156402,36.70107269287109,76.43260192871094,144031.5,1.9807387590408323
14,ReLU,0.5929956288543511,3,4,2,3,3,1,off,0.0001860988185495,117,85.0547866821289,-2.161783456802368,-0.3366891145706177,25,0.2649948596954345,1360.6604404449463,1688283738.4672165,1688285098.8621814,85.0547866821289,93.6556167602539,0.3366891145706177,50.54731369018555,90.6080093383789,135880.703125,2.161783456802368
15,Mish,0.9481160074399952,2,2,0,3,2,3,on,0.0009671781927856,62,24.642295837402344,-2.1570544242858887,-0.8109134435653687,26,0.2651722431182861,898.3400011062622,1688283738.4673955,1688284636.5417497,24.642295837402344,51.50204086303711,0.8109134435653687,100.90526580810548,56.72088623046875,89620.3359375,2.1570544242858887
16,ReLU,0.1474694165982381,3,3,1,3,3,0,off,0.0008995051984888,63,77.44725799560547,-1.2166316509246826,-0.169197991490364,27,0.2689142227172851,633.7180919647217,1688283738.47114,1688284371.919843,77.44725799560547,79.36479949951172,0.169197991490364,21.939298629760746,73.8978271484375,63165.07421875,1.2166316509246826
17,Mish,0.574164424706704,1,0,4,3,4,0,on,0.0004930813169885,45,57.55936050415039,-2.018249273300171,-0.1168063059449196,28,0.2662441730499267,833.9317448139191,1688283738.46847,1688284572.13349,57.55936050415039,63.55680465698242,0.1168063059449196,11.249234199523926,32.51432037353516,83187.5390625,2.018249273300171
18,Mish,0.8241847548994031,3,0,0,1,1,0,off,0.0003985305297784,43,66.9283676147461,-2.0313608646392822,-0.0508653931319713,29,0.2688393592834472,402.9360797405243,1688283738.471058,1688284141.1369946,66.9283676147461,90.18976593017578,0.0508653931319713,9.85853672027588,44.63770294189453,40085.25390625,2.0313608646392822
19,Mish,0.7069246783251077,1,1,1,3,1,3,off,0.0009302038954979,76,37.75185394287109,-1.407716989517212,-0.1521479189395904,3,0.2587578296661377,901.0368382930756,1688283738.4609854,1688284639.2385678,37.75185394287109,22.57830619812012,0.1521479189395904,13.872124671936035,59.779083251953125,89923.3203125,1.407716989517212
20,ReLU,0.2612256414877846,3,2,0,4,0,1,on,6.08785135481292e-05,176,93.48783111572266,-1.153227925300598,-0.3452954888343811,30,0.2705810070037842,1247.656512260437,1688283738.4728053,1688284985.8582263,93.48783111572266,96.57298278808594,0.3452954888343811,45.47568893432617,93.4215087890625,124560.359375,1.153227925300598
21,Mish,0.8986760625756243,1,4,0,4,4,3,on,0.0008916891870858,9,33.71875762939453,-2.352062702178955,-0.1027107238769531,31,0.2714920043945312,130.55317378044128,1688283738.473709,1688283868.754876,33.71875762939453,64.39096069335938,0.1027107238769531,10.457799911499023,22.33329391479492,12868.4169921875,2.352062702178955
22,Mish,0.995999340682791,0,3,4,3,2,0,on,0.0003030564828342,129,72.64317321777344,-3.481880187988281,-0.3296039998531341,32,0.2733793258666992,1884.2061007022853,1688283738.4755974,1688285622.4078436,72.64317321777344,83.4293212890625,0.3296039998531341,44.8154525756836,85.67324829101562,188211.78125,3.481880187988281
23,Hardswish,0.1090539596717843,1,2,2,0,0,3,on,3.201241174775811e-05,173,94.66828155517578,-1.341683268547058,-0.593575656414032,33,0.2742927074432373,1426.4818155765531,1688283738.4765143,1688285164.683569,94.66828155517578,97.05481719970705,0.593575656414032,77.64561462402344,93.70708465576172,142449.765625,1.341683268547058
24,Mish,0.0450117258807551,1,4,1,3,3,4,on,9.102792380348862e-05,92,75.88986206054688,-3.2147810459136963,-0.1373934894800186,34,0.2754909992218017,1412.6491086483002,1688283738.4777148,1688285150.8507998,75.88986206054688,82.0675277709961,0.1373934894800186,14.331171035766602,88.84274291992188,141064.234375,3.2147810459136963
25,ReLU,0.8049700721892838,0,3,1,3,4,2,on,0.00035091684942,105,30.88434600830078,-1.8475573062896729,-0.3709699809551239,35,0.2765915393829345,994.7659738063812,1688283738.4788134,1688284732.967829,30.88434600830078,89.26732635498047,0.3709699809551239,47.789833068847656,43.89717102050781,99267.3046875,1.8475573062896729
26,ReLU,0.2715426725698309,4,0,0,1,1,4,off,0.0001613349870886,132,89.47895812988281,-1.5678123235702517,-0.0600620135664939,36,0.2768313884735107,791.6711626052856,1688283738.4790487,1688284529.8728988,89.47895812988281,95.05152893066406,0.0600620135664939,8.849842071533203,85.06969451904297,78960.203125,1.5678123235702517
27,ReLU,0.5558559911813543,0,2,3,0,1,1,off,4.945762244889151e-05,63,87.73079681396484,-1.048806071281433,-0.3843543231487274,37,0.2771699428558349,493.7202570438385,1688283738.4793918,1688284231.9220176,87.73079681396484,92.62113189697266,0.3843543231487274,54.57297897338867,75.40642547607422,49185.12890625,1.048806071281433
28,Hardswish,0.3574424855817745,1,0,0,4,3,1,on,0.0003972754138246,193,93.18993377685548,-1.0953004360198977,-0.094596579670906,38,0.2780299186706543,1584.39448261261,1688283738.4802475,1688285322.5962226,93.18993377685548,90.61327362060548,0.094596579670906,12.629148483276367,89.9953842163086,158225.984375,1.0953004360198977
29,ReLU,0.1649476130502591,4,1,2,3,3,4,on,0.0007513813423777,84,72.64730072021484,-1.9875342845916748,-0.3813294768333435,39,0.2783172130584717,1123.9399223327637,1688283738.480536,1688284862.1416783,72.64730072021484,88.87648010253906,0.3813294768333435,44.7079963684082,83.75888061523438,112186.6171875,1.9875342845916748
30,ReLU,0.1708130826656299,3,4,2,2,3,3,on,0.0009347233772827,80,75.54751586914062,-1.960959792137146,-0.6189107298851013,41,130.6023907661438,1075.9501512050629,1688283868.8046005,1688284814.1520102,75.54751586914062,83.06819152832031,0.6189107298851013,72.69783782958984,74.96802520751953,94522.4453125,1.960959792137146
31,Hardswish,0.2009021130082685,3,3,0,4,4,2,off,0.0009082412726082,43,74.51634216308594,-2.398805856704712,-0.3874807059764862,42,161.5597174167633,626.5467386245728,1688283899.76193,1688284364.7485666,74.51634216308594,86.16844177246094,0.3874807059764862,50.57036209106445,65.24986267089844,46486.35546875,2.398805856704712
32,ReLU,0.605650184317059,4,3,4,1,0,1,on,0.0001474388774331,29,68.80733489990234,-1.2266639471054075,-0.0592112801969051,44,346.28769159317017,624.076611995697,1688284084.4899013,1688284362.2784624,68.80733489990234,80.704345703125,0.0592112801969051,13.583602905273438,73.40164184570312,27766.505859375,1.2266639471054075
33,Mish,0.1762385829790088,3,4,1,1,3,1,on,0.0002311946466114,67,81.04010772705078,-2.6769232749938965,-0.1228324398398399,46,410.6685409545898,1406.467094898224,1688284148.8707545,1688285144.668903,81.04010772705078,84.22613525390625,0.1228324398398399,14.04148292541504,80.49324798583984,99567.515625,2.6769232749938965
34,Hardswish,0.5278450578984848,3,0,4,0,4,1,off,0.0006309613951977,103,80.86857604980469,-2.344500541687012,-0.0698553770780563,47,478.2085425853729,1245.2502403259275,1688284216.4107563,1688284983.452088,80.86857604980469,86.62926483154297,0.0698553770780563,10.965614318847656,52.07716369628906,76691.8125,2.344500541687012
35,Mish,0.1467714549448364,1,4,3,2,1,1,off,0.0005239252486001,35,88.07710266113281,-2.746480226516724,-0.3758096396923065,48,493.7702760696411,964.3742187023164,1688284231.9724853,1688284702.5760891,88.07710266113281,92.62824249267578,0.3758096396923065,49.66826629638672,70.64990234375,47048.0859375,2.746480226516724
36,Hardswish,0.7094251037110221,4,0,4,1,0,0,on,5.034437973742682e-05,103,86.0267105102539,-1.755208134651184,-0.0715852975845336,49,556.9245181083679,1380.3050220012665,1688284295.1267304,1688285118.5068624,86.0267105102539,88.580322265625,0.0715852975845336,8.622896194458008,60.77007293701172,82325.6953125,1.755208134651184
37,ReLU,0.8284226514293563,0,1,0,2,0,4,on,0.0002114202861512,76,77.29757690429688,-1.4219237565994265,-0.2988612949848175,5,0.2582905292510986,478.157954454422,1688283738.460517,1688284216.3596933,77.29757690429688,90.2493133544922,0.2988612949848175,41.334259033203125,47.8055419921875,47602.7109375,1.4219237565994265
38,Hardswish,0.8210312099810121,4,3,4,4,0,1,on,4.952036895003692e-05,15,61.764678955078125,-2.0579419136047363,-0.0883174166083335,50,624.2652683258057,817.1846590042114,1688284362.467477,1688284555.3865204,61.764678955078125,66.14043426513672,0.0883174166083335,11.786046028137209,54.672142028808594,19279.580078125,2.0579419136047363
39,ReLU,0.9355805354519444,3,0,1,2,1,0,off,0.0006317576425601,111,69.20206451416016,-1.2820875644683838,-0.3689508140087128,51,626.7470014095306,1535.0939090251925,1688284364.949215,1688285273.2957263,69.20206451416016,78.5180435180664,0.3689508140087128,45.49338150024414,22.99247932434082,90822.3671875,1.2820875644683838
40,ReLU,0.5477957093823357,0,0,2,0,1,1,off,0.0005348636802082,163,59.93436813354492,-1.0963013172149658,-0.3257632851600647,52,633.9081423282623,1658.3276526927948,1688284372.1103544,1688285396.5295062,59.93436813354492,95.84874725341795,0.3257632851600647,41.406700134277344,87.59272766113281,102429.59375,1.0963013172149658
41,Mish,0.6672641348624532,3,0,0,1,0,2,off,0.0008992910808343,2,30.817514419555664,-1.4082679748535156,-0.3266794681549072,55,834.1300666332245,862.4124126434326,1688284572.3322792,1688284600.6142695,30.817514419555664,54.923866271972656,0.3266794681549072,48.2231559753418,71.85884094238281,2823.08740234375,1.4082679748535156
42,ReLU,0.7560953848768595,0,2,4,0,1,3,off,4.413775659089388e-05,41,68.98823547363281,-1.7485060691833496,-0.4044219851493835,56,862.6069560050964,1166.767337322235,1688284600.80917,1688284904.969179,68.98823547363281,74.61373138427734,0.4044219851493835,56.3383674621582,80.69474792480469,30403.708984375,1.7485060691833496
43,Mish,0.8937788692917354,2,0,0,1,0,0,on,0.0005047595530314,5,46.92161560058594,-1.851082444190979,-0.3157894015312195,60,994.9689888954164,1028.8685402870178,1688284733.1712017,1688284767.0703928,46.92161560058594,73.69970703125,0.3157894015312195,36.42453384399414,48.62536239624024,3384.221435546875,1.851082444190979
44,ReLU,0.972981350499724,0,2,4,0,3,1,off,4.581350895944912e-05,23,69.11112213134766,-1.8454210758209229,-0.3951408267021179,61,1029.0695750713348,1351.9912238121033,1688284767.2717872,1688285090.1930735,69.11112213134766,86.42342376708984,0.3951408267021179,52.20391082763672,57.88880157470703,32285.556640625,1.8454210758209229
45,ReLU,0.3901760926739839,4,1,0,2,0,4,off,9.697414965556848e-05,140,91.26051330566406,-2.0332515239715576,-0.3309788107872009,62,1076.1493830680847,2062.8418662548065,1688284814.3515918,1688285801.043718,91.26051330566406,93.78326416015624,0.3309788107872009,42.5960693359375,90.8872528076172,98656.921875,2.0332515239715576
46,ReLU,0.9240415649548042,2,0,0,1,2,0,off,0.0004594113351978,40,59.12604904174805,-1.2245028018951416,-0.7085273861885071,63,1124.1453835964203,1525.9548161029816,1688284862.3475978,1688285264.156651,59.12604904174805,85.11331176757812,0.7085273861885071,89.6678695678711,81.52882385253906,40168.57421875,1.2245028018951416
