p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.17430004761808135,0,2,2,2,2,1,off,0.00027377674114655406,2,75.35885620117188,-1.6124181747436523,-0.8402155637741089,110,0.5343775749206543,25.139147758483887,1688844902.1349444,1688844926.7392194,75.35885620117188,81.28746032714844,0.8402155637741089,113.82538604736328,53.2008171081543,2242.81201171875,1.6124181747436523
Mish,0.06688043193305804,2,1,0,2,3,3,off,0.0005352228649759356,121,91.68187713623048,-2.1354331970214844,-0.6118220686912537,111,0.5377101898193359,1560.316483259201,1688844902.1382833,1688846461.9165368,91.68187713623048,97.36178588867188,0.6118220686912537,77.7208251953125,81.88516998291016,155748.53125,2.1354331970214844
ReLU,0.4831303843381208,3,0,3,4,1,1,on,3.722135121980662e-05,50,90.19369506835938,-1.7121813297271729,-0.13778232038021088,112,0.5398087501525879,551.5024054050446,1688844902.1403823,1688845453.102487,90.19369506835938,88.73191833496094,0.13778232038021088,14.204051971435549,75.11819458007812,54856.45703125,1.7121813297271729
ReLU,0.2877138782764916,2,0,0,3,1,2,off,0.0003483737083984126,138,91.92381286621094,-1.4986952543258667,-0.5150166749954224,113,0.5399293899536133,1487.5989773273468,1688844902.1404958,1688846389.199052,91.92381286621094,95.74002075195312,0.5150166749954224,80.09803771972656,83.14063262939453,148471.015625,1.4986952543258667
Mish,0.17294866933575878,1,2,2,0,2,2,off,0.00047434619471625744,33,87.2798080444336,-3.636104106903076,-0.8880560398101807,114,0.541144847869873,571.5782244205475,1688844902.1417134,1688845473.1783118,87.2798080444336,92.67937469482422,0.8880560398101807,116.23062896728516,86.75019073486328,56864.91796875,3.636104106903076
ReLU,0.7606782850221204,4,3,4,0,1,1,off,0.0007116651647315491,57,41.1876335144043,-2.056754350662231,-0.10886984318494795,115,0.5433599948883057,589.6711084842682,1688844902.143936,1688845491.270514,41.1876335144043,75.65484619140625,0.10886984318494795,11.977546691894531,50.13422775268555,58674.8671875,2.056754350662231
ReLU,0.32649044641664543,2,0,1,3,3,3,on,0.0003369599645543341,117,87.59745025634766,-1.797306776046753,-0.4532114565372467,116,0.5441915988922119,1322.7389719486237,1688844902.1447616,1688846224.3391588,87.59745025634766,91.46884155273438,0.4532114565372467,51.88447570800781,89.25125122070312,132003.34375,1.797306776046753
ReLU,0.38322798329154456,0,1,1,2,3,0,on,0.0002760394719757489,148,92.37650299072266,-1.1009963750839231,-0.3435714542865753,117,0.5444176197052002,1194.7152020931244,1688844902.1449842,1688846096.31526,92.37650299072266,93.90865325927734,0.3435714542865753,48.46474075317383,90.61947631835938,119188.765625,1.1009963750839231
Hardswish,0.1638126484242746,3,2,1,0,4,3,off,0.00023322174703280729,71,89.55657958984375,-1.6644350290298462,-0.38972675800323486,118,0.5465929508209229,604.072949886322,1688844902.1471584,1688845505.6730378,89.55657958984375,92.02233123779295,0.38972675800323486,58.22719192504883,91.51763153076172,60162.46484375,1.6644350290298462
ReLU,0.6359283074797395,3,1,3,1,1,3,off,0.0004651561168280899,24,49.21125411987305,-1.2599622011184692,-0.1352994292974472,120,16.02610468864441,190.6489827632904,1688844917.6266663,1688845092.2491708,49.21125411987305,84.43460845947266,0.1352994292974472,16.878198623657227,50.10467147827149,17449.986328125,1.2599622011184692
ReLU,0.5891158215510045,1,3,4,4,1,3,on,0.0006168815255685311,10,43.49680709838867,-1.4142156839370728,-0.11283694207668304,121,25.189424753189087,131.57536268234253,1688844926.7899864,1688845033.1755636,43.49680709838867,65.35041046142578,0.11283694207668304,14.252059936523438,67.33040618896484,10626.2529296875,1.4142156839370728
ReLU,0.2695322786392562,2,3,1,3,3,4,off,0.0003329450744062002,55,85.72259521484375,-1.763959288597107,-0.4494939744472504,122,41.690314292907715,586.8785481452942,1688844943.2908762,1688845488.4787233,85.72259521484375,93.13230895996094,0.4494939744472504,54.66687774658203,81.49668884277344,54506.4609375,1.763959288597107
Hardswish,0.6220827264298842,4,4,1,2,2,1,off,0.0006973417813294426,28,20.49425506591797,-1.6358059644699097,-0.5820311903953552,123,45.648815631866455,411.8656919002533,1688844947.249378,1688845313.4658864,20.49425506591797,79.10023498535156,0.5820311903953552,76.92064666748047,27.509517669677734,36609.34765625,1.6358059644699097
Hardswish,0.18501889978244052,0,3,4,1,3,1,on,3.233042121330137e-05,129,92.03559112548828,-1.857577562332153,-0.11373288184404372,125,185.3516056537628,1305.5037467479706,1688845086.9521673,1688846207.103947,92.03559112548828,90.1454849243164,0.11373288184404372,14.752154350280762,88.60574340820312,112002.8671875,1.857577562332153
Hardswish,0.43550128890671014,1,0,4,1,3,1,off,0.0005478169738606436,32,32.20633316040039,-1.2620199918746948,-0.10161007940769196,128,239.39456224441528,535.9641857147217,1688845140.995123,1688845437.5643976,32.20633316040039,71.05279541015625,0.10161007940769196,11.299131393432615,58.76565170288086,29644.626953125,1.2620199918746948
ReLU,0.14689579205159262,0,4,4,3,0,0,off,3.498989062491191e-05,181,93.28756713867188,-1.808934450149536,-0.1355494111776352,129,258.6013066768646,1693.0537662506104,1688845160.201868,1688846594.6539705,93.28756713867188,98.29438018798828,0.1355494111776352,13.098976135253906,94.27529907226562,143432.890625,1.808934450149536
Hardswish,0.3589382371809395,4,4,1,1,4,1,on,0.00015948879082829914,60,71.3626708984375,-1.489094853401184,-0.0840969830751419,13,0.41925668716430664,543.321338891983,1688844902.0198312,1688845444.9214008,71.3626708984375,81.35880279541016,0.0840969830751419,8.757271766662598,55.87587356567383,54062.15625,1.489094853401184
Mish,0.7305707788333622,1,0,4,1,0,1,off,0.0006595872630982761,1,20.92923927307129,-1.893043637275696,-0.08407072722911835,130,267.56830739974976,278.75926756858826,1688845169.1688693,1688845180.359472,20.92923927307129,40.51680374145508,0.08407072722911835,9.028307914733888,68.24978637695312,1115.6708984375,1.893043637275696
Hardswish,0.8058708705104001,0,0,0,0,0,0,off,0.0009386667461910768,145,53.17992401123047,-1.040535569190979,-0.11487548798322678,131,278.94733905792236,1134.0755467414856,1688845180.5478995,1688846035.675747,53.17992401123047,82.25879669189453,0.11487548798322678,8.037120819091797,71.65003967285156,85500.5,1.040535569190979
Hardswish,0.729479367213432,2,1,4,4,0,0,off,8.118685548983405e-05,136,92.3420181274414,-1.596147060394287,-0.35815417766571045,133,327.5328106880188,1523.8966188430786,1688845229.1333747,1688846425.4968235,92.3420181274414,96.46468353271484,0.35815417766571045,41.830474853515625,88.70535278320312,119631.3203125,1.596147060394287
Hardswish,0.8967326705921357,0,0,4,1,0,2,on,0.0008553587761034938,6,26.027189254760746,-0.9953279495239258,-0.3180032968521118,134,336.02256870269775,387.5186252593994,1688845237.6231272,1688845289.118847,26.027189254760746,64.60450744628906,0.3180032968521118,39.46505355834961,68.52838897705078,5142.123046875,0.9953279495239258
Hardswish,0.7085587817293595,0,0,4,1,3,2,off,0.0008438854681385077,11,43.34366226196289,-1.116133213043213,-0.32026153802871704,135,377.49810004234314,478.2277202606201,1688845279.0986617,1688845379.8279276,43.34366226196289,72.9033432006836,0.32026153802871704,44.99117660522461,61.62459945678711,10060.669921875,1.116133213043213
ReLU,0.9255692248481416,1,1,2,3,0,2,off,7.031336160101919e-05,1,52.706539154052734,-1.2740154266357422,-0.6309740543365479,137,412.0696251392365,420.6892592906952,1688845313.6701863,1688845322.2894628,52.706539154052734,44.61824798583984,0.6309740543365479,71.3086929321289,39.125980377197266,858.7581787109375,1.2740154266357422
Hardswish,0.9279191509363308,0,2,4,0,0,4,on,0.0008588347296399622,40,27.75246238708496,-2.891775369644165,-0.4311334788799286,139,437.1457715034485,807.7945475578308,1688845338.7463343,1688845709.394699,27.75246238708496,36.12077331542969,0.4311334788799286,53.2110595703125,28.798492431640625,37052.48828125,2.891775369644165
Hardswish,0.4469162828359901,3,2,0,2,1,3,on,5.658372402519736e-05,123,92.07678985595705,-1.4122469425201416,-0.4098019003868103,14,0.425351619720459,1064.4044132232666,1688844902.025921,1688845966.0044992,92.07678985595705,94.86973571777344,0.4098019003868103,81.9565658569336,92.60173797607422,106156.953125,1.4122469425201416
ReLU,0.8761903026162552,0,0,4,2,2,0,on,0.0006570950020887351,1,37.20228576660156,-1.2207320928573608,-0.5126261711120605,140,444.7393698692322,454.7104182243347,1688845346.3399286,1688845356.3106346,37.20228576660156,45.10842514038086,0.5126261711120605,63.515357971191406,40.896209716796875,993.830322265625,1.2207320928573608
Mish,0.03389951306736812,1,0,4,4,1,1,off,0.0009946158714533558,44,83.49986267089844,-2.0960793495178223,-0.08126524090766907,141,450.1382625102997,917.8678183555604,1688845351.7388237,1688845819.4680254,83.49986267089844,88.23348236083984,0.08126524090766907,8.874061584472656,64.20205688476562,46760.63671875,2.0960793495178223
Hardswish,0.933807228184442,0,0,4,3,1,3,on,0.0008959508788594746,81,44.58316421508789,-1.8320833444595337,-0.11296499520540236,142,454.90758538246155,1099.172102689743,1688845356.508144,1688846000.7723155,44.58316421508789,64.12512969970703,0.11296499520540236,12.221553802490234,62.04827880859375,64414.16015625,1.8320833444595337
Hardswish,0.9884783457027322,0,0,0,1,0,3,on,0.0009782518534067824,127,52.00667953491211,-1.2404159307479858,-0.11194264888763428,144,478.42909359931946,1426.2495565414429,1688845380.0296535,1688846327.8497505,52.00667953491211,41.2440185546875,0.11194264888763428,9.141737937927246,38.553592681884766,94769.765625,1.2404159307479858
ReLU,0.9899949648771544,3,0,3,1,0,0,off,0.0001975691228516458,17,40.724308013916016,-1.1580469608306885,-0.12077734619379044,146,498.59611320495605,634.8856806755066,1688845400.1966789,1688845536.485889,40.724308013916016,86.6760025024414,0.12077734619379044,12.45333480834961,51.446556091308594,13616.6025390625,1.1580469608306885
Mish,0.0794036054567966,1,4,4,0,3,2,on,1.914245697283914e-05,38,86.164794921875,-2.86881685256958,-0.34261688590049744,147,503.2794041633606,988.2057726383208,1688845404.879966,1688845889.8059733,86.164794921875,90.7475357055664,0.34261688590049744,47.56483459472656,87.67048645019531,48480.50390625,2.86881685256958
Hardswish,0.8542663728634109,0,0,0,1,0,2,on,0.0009266136447319972,127,55.73714828491211,-1.1763193607330322,-0.34379079937934875,148,536.1737444400787,1560.589964389801,1688845437.7743063,1688846462.190161,55.73714828491211,69.10472106933594,0.34379079937934875,39.80953598022461,67.251708984375,102429.28125,1.1763193607330322
Hardswish,0.8049805042590688,1,1,4,1,3,1,off,2.308234901244365e-05,163,86.45230102539062,-1.8253239393234253,-0.10270504653453828,15,0.4192328453063965,1404.2927243709564,1688844902.019806,1688846305.8927288,86.45230102539062,98.86701965332033,0.10270504653453828,10.28227710723877,78.91251373291016,140164.3125,1.8253239393234253
ReLU,0.827559415380059,3,0,4,2,0,0,off,0.000533826501526,2,47.986106872558594,-1.2544230222702026,-0.3936842978000641,151,557.4197347164154,574.3501977920532,1688845459.0202982,1688845475.9504004,47.986106872558594,58.829071044921875,0.3936842978000641,43.60508346557617,17.890531539916992,1688.9713134765625,1.2544230222702026
