,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Hardswish,0.6700548753823463,1,3,0,4,0,3,off,0.0005729475028052,198,94.24107360839844,-1.2674424648284912,-0.1125307455658912,5,0.3632173538208008,1704.5790405273438,1688735005.082084,1688736709.2969415,94.24107360839844,95.42813110351562,0.1125307455658912,14.471879005432127,93.75618743896484,170190.5,1.2674424648284912
1,Hardswish,0.9099521232686592,4,3,2,2,3,1,on,0.0003165481088569,59,73.49021911621094,-2.125845432281494,-0.5584567189216614,0,0.3590245246887207,616.2206389904022,1688735005.07788,1688735620.938997,73.49021911621094,86.70410919189453,0.5584567189216614,68.45008850097656,83.62804412841797,61359.16015625,2.125845432281494
2,ReLU,0.9295924150742793,0,0,2,1,3,2,off,0.0006017261755562,49,55.05986022949219,-1.4462273120880127,-0.5769384503364563,1,0.3593413829803467,449.9783420562744,1688735005.0781946,1688735454.6966972,55.05986022949219,82.03214263916016,0.5769384503364563,66.52145385742188,52.92581558227539,44734.59765625,1.4462273120880127
3,Hardswish,0.1743000476180813,0,2,2,2,2,1,off,0.0002737767411465,2,75.35885620117188,-1.6124181747436523,-0.8402155637741089,10,0.3691582679748535,24.83484411239624,1688735005.0880103,1688735029.5532248,75.35885620117188,81.28746032714844,0.8402155637741089,113.82538604736328,53.2008171081543,2242.81201171875,1.6124181747436523
4,Mish,0.8368436627171864,4,0,4,1,2,0,off,1.0210003953778211e-05,7,55.20077896118164,-2.519124746322632,-0.2818097472190857,100,498.3832280635834,590.1566276550293,1688735503.1020727,1688735594.875111,55.20077896118164,77.03880310058594,0.2818097472190857,52.76621627807617,41.26515579223633,9165.8193359375,2.519124746322632
5,Hardswish,0.3099361596601691,0,2,0,0,2,3,off,0.0001009352300058,128,93.2761688232422,-1.1170941591262815,-0.568848192691803,101,528.8458788394928,1699.3001427650452,1688735533.564721,1688736704.018619,93.2761688232422,96.94271087646484,0.568848192691803,76.7888412475586,92.93788146972656,117033.078125,1.1170941591262815
6,ReLU,0.527172843184685,0,4,4,4,0,3,off,0.0001045060198586,1,64.8729019165039,-1.9406380653381348,-0.1019253060221672,103,543.4438219070435,556.6388366222382,1688735548.1626651,1688735561.357324,64.8729019165039,56.87793731689453,0.1019253060221672,12.522136688232422,33.59591293334961,1315.8564453125,1.9406380653381348
7,ReLU,0.6831105061706966,0,4,3,4,2,1,on,0.0001403969722805,7,59.085262298583984,-1.8758262395858765,-0.3365405201911926,104,551.026707649231,611.9194376468658,1688735555.7455542,1688735616.6379373,59.085262298583984,79.6744384765625,0.3365405201911926,43.49792098999024,48.7221908569336,6080.88623046875,1.8758262395858765
8,ReLU,0.9749772056267944,0,4,4,4,1,0,on,0.0005943364549889,75,65.44953155517578,-2.400383234024048,-0.0398055650293827,107,573.9323754310608,1692.7943496704102,1688735578.6512144,1688736697.5128486,65.44953155517578,52.85103988647461,0.0398055650293827,10.758872985839844,50.1192512512207,111873.875,2.400383234024048
9,ReLU,0.0401510628791455,4,1,2,1,3,0,on,3.2859448075018487e-05,74,79.8119125366211,-1.635624885559082,-0.3322791755199432,108,586.6828286647797,1263.5079288482666,1688735591.4016674,1688736268.2264197,79.8119125366211,93.22747802734376,0.3322791755199432,42.01652145385742,92.88290405273438,67670.1640625,1.635624885559082
