p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.6672377540911382,4,1,4,2,4,3,off,0.0004358322034533,69,34.738059997558594,-2.7453360557556152,-0.3545862138271332,122,0.7315151691436768,404.5739152431488,1691997748.752227,1691998152.594143,0.3545862138271332,77878.765625,2.7453360557556152,48.59360885620117,34.738059997558594,48.01432418823242,32.84999084472656,False
Hardswish,0.090784624683602,0,4,2,2,0,0,off,1.0080663529893378e-05,105,80.16483306884766,-1.3895736932754517,-0.5617385506629944,124,0.7346456050872803,349.010103225708,1691997748.755357,1691998097.030338,0.5617385506629944,66768.703125,1.3895736932754517,79.21711730957031,80.16483306884766,95.6677474975586,77.62799835205078,False
Hardswish,0.211825527316242,0,3,2,0,2,4,on,2.569772963363545e-05,11,60.51391220092773,-1.5504175424575806,-0.5806215405464172,125,0.7357394695281982,51.33065629005432,1691997748.756451,1691997799.3499596,0.5806215405464172,7243.5673828125,1.5504175424575806,82.0389633178711,60.51391220092773,59.27500915527344,60.552242279052734,False
ReLU,0.3053182096005767,0,1,0,2,0,4,on,2.552170409197391e-05,76,71.40410614013672,-1.1714335680007937,-0.333889752626419,126,0.7374258041381836,198.24964094161987,1691997748.758138,1691997946.269884,0.333889752626419,36616.328125,1.1714335680007937,42.73834609985352,71.40410614013672,68.11563873291016,71.79995727539062,False
ReLU,0.0463696916313767,0,2,3,0,1,1,off,1.2014684435377632e-05,63,79.89054107666016,-0.6887669563293457,-0.3522740602493286,132,0.748957633972168,120.9651699066162,1691997748.7696712,1691997868.985344,0.3522740602493286,21158.966796875,0.6887669563293457,47.62570190429688,79.89054107666016,87.51469421386719,79.91974639892578,False
Hardswish,0.1025503074869106,0,3,4,4,2,3,on,1.3749239371867283e-05,18,72.75459289550781,-2.0572993755340576,-0.3568420708179474,137,0.7592308521270752,96.37539887428284,1691997748.7799444,1691997844.3955984,0.3568420708179474,16243.111328125,2.0572993755340576,49.75923538208008,72.75459289550781,71.29157257080078,71.68677520751953,False
Hardswish,0.0052936566320341,0,0,3,3,2,4,off,0.0008879663717348,49,77.19313049316406,-1.4675387144088743,-0.3633393943309784,139,0.7629175186157227,175.5118227005005,1691997748.7836275,1691997923.5320714,0.3633393943309784,32066.54296875,1.4675387144088743,50.41679000854492,77.19313049316406,84.3740463256836,76.61016082763672,False
Mish,0.0182677231455133,4,0,3,0,4,0,on,3.0846257060806685e-05,31,50.521751403808594,-2.5819525718688965,-0.1062180250883102,14,0.5633859634399414,167.59249663352966,1691997748.5840962,1691997915.6127431,0.1062180250883102,30483.4375,2.5819525718688965,11.858379364013672,50.521751403808594,54.98334884643555,52.69268035888672,False
ReLU,0.0077558594331612,0,0,2,2,0,0,on,1.3123805868761865e-05,89,78.87792205810547,-0.8136336803436279,-0.5684366822242737,140,0.7643783092498779,191.4639232158661,1691997748.7850883,1691997939.4841652,0.5684366822242737,35257.86328125,0.8136336803436279,78.04137420654297,78.87792205810547,80.2860107421875,75.29641723632812,False
Hardswish,0.1272393156171409,1,0,1,2,0,4,on,0.0001463481412432,157,65.41671752929688,-1.1793389320373535,-0.322979599237442,141,0.7658889293670654,395.0121586322784,1691997748.786599,1691998143.0323968,0.322979599237442,75968.265625,1.1793389320373535,42.6417236328125,65.41671752929688,67.41377258300781,66.1563491821289,False
ReLU,0.4833861162013795,1,3,1,3,3,3,off,6.372484857674717e-05,46,63.88311004638672,-1.006494641304016,-0.17946358025074,142,0.7681102752685547,124.37765741348268,1691997748.7888205,1691997872.3978927,0.17946358025074,21839.865234375,1.006494641304016,25.229225158691406,63.88311004638672,76.11894989013672,57.95493698120117,False
Hardswish,0.0319389705051031,3,3,2,1,3,2,off,1.307170728772891e-05,19,78.6749038696289,-1.2161535024642944,-0.6315794587135315,143,0.7695183753967285,74.97898125648499,1691997748.7902288,1691997822.9984376,0.6315794587135315,11969.0625,1.2161535024642944,85.67240905761719,78.6749038696289,84.7353515625,78.43495178222656,False
Hardswish,0.0344604503878068,3,1,2,4,0,4,off,3.4547792078172745e-05,60,82.798828125,-1.9350976943969729,-0.3586758077144623,144,0.7722377777099609,262.4616742134094,1691997748.792951,1691998010.4818842,0.3586758077144623,49456.3984375,1.9350976943969729,47.34657287597656,82.798828125,92.57787322998048,83.28392028808594,False
ReLU,0.2371347475902046,2,4,3,0,3,1,on,2.304170409391799e-05,15,71.2520751953125,-1.4376431703567505,-0.365177869796753,146,0.7769415378570557,60.96178126335144,1691997748.7976546,1691997808.9820092,0.365177869796753,9164.119140625,1.4376431703567505,51.66522979736328,71.2520751953125,71.89498901367188,70.4703140258789,False
Hardswish,0.7875733366915509,4,1,4,0,4,0,off,0.0001885489366817,74,28.01482391357422,-2.164649486541748,-0.0640586242079734,147,0.777808427810669,317.5413546562195,1691997748.7985206,1691998065.561581,0.0640586242079734,60473.7578125,2.164649486541748,7.650153160095215,28.01482391357422,37.464988708496094,25.99976348876953,False
Hardswish,0.0230161505985233,3,0,4,1,3,3,on,4.1262777226075016e-05,99,83.10783386230469,-1.34284770488739,-0.1569899320602417,148,0.779158353805542,322.6287353038788,1691997748.799868,1691998070.6489325,0.1569899320602417,61491.12890625,1.34284770488739,19.492969512939453,83.10783386230469,86.544189453125,83.30998992919922,False
Hardswish,0.006713484554946,1,1,4,3,4,2,on,0.000895168245131,52,57.16674423217773,-1.9249110221862795,-0.3539653718471527,149,0.7812583446502686,226.92746663093567,1691997748.8019705,1691997974.9467115,0.3539653718471527,42348.94140625,1.9249110221862795,47.3003158569336,57.16674423217773,63.41464614868164,52.036319732666016,False
Mish,0.0135758989987506,1,3,3,3,3,3,on,1.4330275083403694e-05,34,77.00517272949219,-3.2782528400421143,-0.2085790336132049,15,0.5558919906616211,233.5827469825745,1691997748.576605,1691997981.602986,0.2085790336132049,43682.34375,3.2782528400421143,27.237194061279297,77.00517272949219,75.00655364990234,76.75777435302734,False
ReLU,0.0119851398635477,1,2,4,0,3,3,off,4.090300286836336e-05,76,81.3940200805664,-1.459812879562378,-0.3640819787979126,151,0.7851452827453613,253.5757188796997,1691997748.8058572,1691998001.59494,0.3640819787979126,47679.91796875,1.459812879562378,50.1529655456543,81.3940200805664,94.71519470214844,81.02630615234375,False
Mish,0.0024620493036803,4,2,1,0,0,3,off,0.0001167620856994,13,57.48442840576172,-2.354198694229126,-0.346193253993988,152,0.7858142852783203,76.29772210121155,1691997748.8065248,1691997824.3171012,0.346193253993988,12233.005859375,2.354198694229126,46.24163818359375,57.48442840576172,63.40642166137695,61.02922439575195,False
Hardswish,0.485318834052252,0,4,2,4,2,0,off,0.0002595833230578,23,47.665802001953125,-2.0663270950317383,-0.5648488402366638,155,0.7917375564575195,107.35644483566284,1691997748.8124506,1691997855.3758502,0.5648488402366638,18441.603515625,2.0663270950317383,78.34061431884766,47.665802001953125,63.658992767333984,47.94122695922851,False
ReLU,0.0016045870010775,4,0,1,3,0,4,off,0.0001928238992268,7,32.17086410522461,-1.6636431217193604,-0.1121943369507789,158,0.7966752052307129,37.42059350013733,1691997748.8173847,1691997785.4400237,0.1121943369507789,4463.48095703125,1.6636431217193604,11.49318027496338,32.17086410522461,33.95589065551758,33.3006706237793,False
Hardswish,0.5283922024849972,4,3,0,3,2,1,off,7.268978611304058e-05,39,73.96939086914062,-1.481942892074585,-0.357412576675415,159,0.7986798286437988,133.36242032051086,1691997748.8193886,1691997881.3826663,0.357412576675415,23638.22265625,1.481942892074585,49.52810287475586,73.96939086914062,79.93632507324219,75.31400299072266,False
Mish,0.0256911693107523,0,4,1,1,4,0,on,0.0008667240967688,32,52.92828369140625,-1.9887053966522217,-0.0622770749032497,161,27.5986008644104,140.86721277236938,1691997775.6193182,1691997888.8875642,0.0622770749032497,22628.953125,1.9887053966522217,7.803025245666504,52.92828369140625,50.16950225830078,50.155879974365234,False
ReLU,0.0773293647055148,2,1,2,2,4,2,off,6.467567049980813e-05,77,83.53044128417969,-2.038327932357788,-1.0123956203460691,162,27.68125534057617,370.6092348098755,1691997775.701968,1691998118.6295588,1.0123956203460691,68560.8671875,2.038327932357788,149.46517944335938,83.53044128417969,96.23501586914062,83.21798706054688,False
Hardswish,0.0117838619684517,2,1,0,1,0,0,on,0.0002989446223,139,87.22126770019531,-0.5734933018684387,-0.3415982723236084,164,51.52012133598328,241.80526423454285,1691997799.540849,1691997989.8256056,0.3415982723236084,38032.140625,0.5734933018684387,43.34922790527344,87.22126770019531,90.11956024169922,87.07623291015625,False
