,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
21,Hardswish,0.8071149853870458,3,2,2,2,0,3,off,0.000968423219222231,162,78.27059936523438,-1.8571065664291382,-0.6381614208221436,21,1688837093.741569,1688838855.9183471,78.27059936523438,62.36677932739258,0.6381614208221436,88.67020416259766,72.04075622558594,176079.84375,1.8571065664291382
22,ReLU,0.0038534069335233348,3,2,1,0,2,4,off,0.00013657738349768446,47,92.36726379394531,-1.8514422178268433,-0.6833779215812683,22,1688837093.744941,1688837601.866652,92.36726379394531,94.42366790771484,0.6833779215812683,85.53206634521484,91.43927764892578,50665.890625,1.8514422178268433
23,Hardswish,0.07646262330290073,4,0,3,3,0,2,off,0.0009269945155702855,195,91.38105010986328,-1.5737096071243286,-0.37486106157302856,23,1688837093.748974,1688839147.033466,91.38105010986328,99.28047180175781,0.37486106157302856,54.97481155395508,93.64002227783203,205183.75,1.5737096071243286
24,Mish,0.06349901343321857,4,1,2,1,3,4,on,4.599115002026744e-05,153,93.1773681640625,-2.1998836994171143,-0.32385745644569397,24,1688837093.7529142,1688838883.8234198,93.1773681640625,96.06892395019531,0.32385745644569397,44.01545333862305,93.41483306884766,178861.46875,2.1998836994171143
25,Mish,0.5323651605883181,2,0,2,1,3,2,on,0.0001464265896763295,163,89.08898162841797,-3.1124014854431152,-0.7820470929145813,25,1688837093.7554991,1688839894.3853326,89.08898162841797,98.23196411132812,0.7820470929145813,126.7388916015625,94.5594482421875,279937.53125,3.1124014854431152
26,Hardswish,0.3159903043958701,3,4,0,4,4,4,on,0.00039491400256170444,99,78.54808044433594,-2.4035487174987793,-0.10404462367296219,26,1688837093.7584836,1688838675.4302008,78.54808044433594,88.75753784179688,0.10404462367296219,12.317716598510742,84.08281707763672,158022.0,2.4035487174987793
27,Mish,0.845303552530061,3,0,1,1,3,1,off,0.000230809266036372,185,91.53691864013672,-2.9316680431365967,-0.12845379114151,27,1688837093.7620318,1688839312.356958,91.53691864013672,90.588623046875,0.12845379114151,12.315157890319824,84.05704498291016,221714.640625,2.9316680431365967
28,Mish,0.5323064666479363,2,3,1,4,2,1,off,1.1028131505409752e-05,70,93.79873657226562,-3.2095682621002197,-0.5884333848953247,28,1688837093.7650323,1688838123.7940085,93.79873657226562,94.73993682861328,0.5884333848953247,89.84029388427734,92.77572631835938,102860.140625,3.2095682621002197
29,ReLU,0.1343185212028037,3,3,1,4,0,4,on,0.00031662321754496103,60,88.1158447265625,-1.5981754064559937,-0.12342345714569092,29,1688837093.7691743,1688837718.990148,88.1158447265625,89.90309143066406,0.12342345714569092,15.098148345947266,86.01886749267578,62379.453125,1.5981754064559937
30,ReLU,0.1419907420498121,0,4,3,3,1,0,on,0.00018171737730480962,60,85.86141204833984,-1.4551657438278198,-0.14249925315380096,30,1688837093.7727857,1688837530.2994099,85.86141204833984,90.18831634521484,0.14249925315380096,16.19502067565918,88.92659759521484,43507.22265625,1.4551657438278198
31,Hardswish,0.0760017206701051,3,1,1,4,0,3,off,0.0009800824999914028,18,78.61335754394531,-1.5631195306777954,-0.09897369146347046,31,1688837093.776277,1688837252.6024919,78.61335754394531,73.78514099121094,0.09897369146347046,13.758859634399414,70.9243392944336,15737.7373046875,1.5631195306777954
32,ReLU,0.10794317583883677,3,2,2,1,3,4,off,0.00025820919834161415,199,94.45539093017578,-1.713699221611023,-0.4937875270843506,32,1688837093.7796917,1688839410.8159692,94.45539093017578,99.87114715576172,0.4937875270843506,80.07829284667969,94.12153625488281,231559.21875,1.713699221611023
