,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
82,Hardswish,0.0758371768888724,0,0,4,0,0,0,on,0.0009367286274688,68.61395263671875,-0.8955352306365967,81,2.834977865219116,2.857099294662476,1688013320.344379,1688013320.3663895
83,Hardswish,0.5965147781584318,0,0,4,0,0,1,on,0.0003472698848879,73.0641098022461,-0.804273784160614,82,2.843409538269043,2.8653998374938965,1688013320.352811,1688013320.3746862
84,Mish,0.1577526359895487,0,0,2,2,3,1,on,0.0006264913289835,90.06486511230469,-2.406020402908325,83,2.856761693954468,2.8791089057922363,1688013320.3661647,1688013320.3883972
85,ReLU,0.006827027364244,0,0,3,0,1,0,off,0.0002373495332533,80.1905517578125,-0.4924657642841339,84,2.889023303985596,2.911189079284668,1688013320.398429,1688013320.4204652
86,ReLU,0.1160572005926848,0,0,4,0,0,4,on,0.0002859624822331,62.32411956787109,-1.486262321472168,85,2.8966944217681885,2.9191994667053223,1688013320.4061012,1688013320.4284732
87,ReLU,0.9222877405301158,0,0,3,0,0,0,on,0.0002031437789029,83.74784088134766,-0.5231499075889587,86,2.9055917263031006,2.9279375076293945,1688013320.414999,1688013320.4372168
88,Mish,0.2146265012264138,3,0,2,1,3,1,on,0.0005764814883823,90.18151092529295,-2.171720266342163,87,2.9335312843322754,2.95540189743042,1688013320.442933,1688013320.464692
89,ReLU,0.8438826181186116,0,0,0,1,0,1,off,0.0001009775344806,82.02141571044922,-0.3588819503784179,96,3.1981279850006104,3.2206172943115234,1688013320.7075338,1688013320.72977
90,Hardswish,0.0593178206719368,2,1,4,1,0,1,on,0.0005042184880256,87.66060638427734,-1.1303250789642334,89,3.0755422115325928,3.0975866317749023,1688013320.5849433,1688013320.6068785
91,ReLU,0.1150825379884178,0,0,3,3,0,2,off,0.0004677369666495,89.15156555175781,-0.7825793623924255,90,3.084401845932007,3.106137752532959,1688013320.5938034,1688013320.615429
92,ReLU,0.0613844942680999,0,1,1,1,0,1,on,0.0001611558768869,82.61810302734375,-0.3993494212627411,91,3.097637414932251,3.119824886322021,1688013320.6070397,1688013320.6291142
93,ReLU,0.0067502478867909,0,0,0,0,0,1,on,0.0002889903592163,77.22103881835938,-0.3301427960395813,92,3.133488416671753,3.155543088912964,1688013320.6428945,1688013320.664822
94,ReLU,0.2551674605817652,0,0,2,0,1,2,on,1.1682005716086803e-05,89.14122772216797,-0.8018125295639038,93,3.142524480819702,3.1648337841033936,1688013320.6519313,1688013320.674107
95,ReLU,0.2526897872292626,0,0,4,0,0,1,off,0.0006416092047873,76.2012710571289,-0.8109350204467773,94,3.151525497436523,3.173647403717041,1688013320.6609318,1688013320.6829245
96,ReLU,0.2349726938080403,0,2,2,0,4,2,on,0.0005634912975113,90.24249267578124,-1.6713030338287354,95,3.176434278488159,3.1982409954071045,1688013320.6858356,1688013320.7075336
97,Hardswish,0.1097937929613639,0,1,1,2,2,0,on,0.0003700741877287,89.2863998413086,-0.860075056552887,103,3.4493699073791504,3.4720516204833984,1688013320.9587774,1688013320.9812198
98,ReLU,0.0358281322544523,1,0,3,0,0,1,on,0.0003910125854902,86.46607971191406,-0.4983436465263366,100,3.380448818206787,3.4025399684906006,1688013320.8898633,1688013320.91182
99,ReLU,0.0975555100415008,0,2,2,0,3,0,on,0.0008111955141042,89.97651672363281,-0.8995134830474854,101,3.391054630279541,3.413456916809082,1688013320.900461,1688013320.92273
100,ReLU,0.10016538157886,1,0,0,0,0,1,on,0.0003882819782817,84.28982543945312,-0.3515670597553253,102,3.400376081466675,3.4226858615875244,1688013320.9097817,1688013320.9319634
101,ReLU,0.075982558112717,0,1,3,2,2,0,on,0.0006017900185995,90.43990325927734,-0.9372403025627136,97,3.3191161155700684,3.34106969833374,1688013320.8285177,1688013320.8503594
102,ReLU,0.2779733815180937,0,1,2,4,1,0,on,0.0005311253601714,88.5676040649414,-1.1155970096588137,98,3.3294692039489746,3.351552724838257,1688013320.838871,1688013320.8608396
103,ReLU,0.067978737425209,0,0,3,4,0,1,on,0.0005609947697752,87.42607116699219,-1.005367636680603,99,3.341885089874268,3.3637726306915283,1688013320.8512876,1688013320.8730624
104,ReLU,0.0171400695863374,0,1,0,2,0,1,on,0.0003069129114909,81.10496520996094,-0.6210054159164429,112,3.834348440170288,3.8580667972564697,1688013321.3437607,1688013321.367219
105,ReLU,0.1881904429905571,0,1,1,4,0,0,on,1.1837647463091376e-05,74.34683990478516,-0.8846229910850525,104,3.542853593826294,3.5663623809814453,1688013321.05226,1688013321.0756395
106,ReLU,0.0970669368292329,0,1,1,1,0,0,off,0.0001483251575107,82.26375579833984,-0.4051468670368194,105,3.685734748840332,3.708879232406616,1688013321.1951404,1688013321.2181542
107,ReLU,0.1812001755571166,0,0,2,1,1,1,on,0.0003207947945397,89.71153259277344,-0.6220675110816956,106,3.702746868133545,3.725600719451904,1688013321.2121525,1688013321.2348766
108,Mish,0.1956886782781227,2,0,2,3,1,2,on,0.0006320539878508,90.7554168701172,-3.043957471847534,107,3.7105865478515625,3.733753204345703,1688013321.2199912,1688013321.2430303
109,ReLU,0.3988085805187383,0,0,3,0,1,1,on,6.520155275309997e-05,85.7094497680664,-0.4734561741352082,108,3.750781536102295,3.774054765701294,1688013321.2601914,1688013321.2833116
110,ReLU,0.0957511840558945,0,1,0,2,0,1,off,1.734578831883424e-05,79.98619842529297,-0.6276254653930664,109,3.7618298530578618,3.785131931304931,1688013321.2712429,1688013321.294386
111,ReLU,0.1209342616889395,1,0,0,2,0,1,on,0.00055250779776,84.84980010986328,-0.5944335460662842,110,3.772952318191528,3.7960541248321538,1688013321.282365,1688013321.3053138
112,Hardswish,0.0659552665367666,0,1,1,1,0,1,on,0.0005353676878988,82.64019012451172,-0.3935720324516296,111,3.79071307182312,3.812868118286133,1688013321.300115,1688013321.322158
113,ReLU,0.0703094233602185,0,3,0,0,4,0,on,0.0008807003902568,79.89978790283203,-1.0284011363983154,120,4.091980695724487,4.114710569381714,1688013321.6013887,1688013321.6238766
114,ReLU,0.0840641424829558,1,3,3,0,3,0,on,0.0009969289579651,87.95718383789062,-0.7665507793426514,113,3.935307025909424,3.957673549652099,1688013321.4447086,1688013321.4669635
115,ReLU,0.8963266747578384,0,0,3,2,0,0,on,0.000411233225182,87.13896942138672,-0.8933854103088379,114,3.9497015476226807,3.971675157546997,1688013321.4591036,1688013321.4809663
116,ReLU,0.1620308638234248,1,0,0,0,1,1,on,0.0006343143663699,84.3828125,-0.3756593763828277,115,3.958698272705078,3.980926275253296,1688013321.4681013,1688013321.490214
117,ReLU,0.0278941823156635,0,1,1,4,2,0,on,0.0004293953327972,87.43285369873047,-1.1352934837341309,116,4.004554510116577,4.027454614639282,1688013321.5139625,1688013321.5367303
118,ReLU,0.9319149071880548,2,0,0,0,0,0,on,0.0006000019231921,84.22933959960938,-0.6242217421531677,117,4.013926982879639,4.036869049072266,1688013321.5233345,1688013321.5461392
119,ReLU,0.0966136240237322,0,0,2,0,0,0,on,0.0006440947754404,87.2745590209961,-0.6007607579231262,118,4.0244975090026855,4.0474584102630615,1688013321.533907,1688013321.5567338
120,ReLU,0.3485920618932878,1,0,0,0,0,1,on,0.0008892116020946,82.58892822265625,-0.3665652275085449,119,4.039669990539551,4.06156587600708,1688013321.5490718,1688013321.5708573
121,ReLU,0.0568736171437828,4,1,3,1,0,2,off,0.000402481276855,85.52919006347656,-1.2431975603103638,128,4.347854375839233,4.370524168014526,1688013321.857262,1688013321.8796926
122,Mish,0.1865851620132262,1,0,0,0,0,1,on,0.0007964718028636,84.06878662109375,-0.6415640115737915,121,4.185099124908447,4.207195043563843,1688013321.6945002,1688013321.716486
123,ReLU,0.4876841214290083,1,0,2,0,4,1,off,0.000104035002131,87.46692657470703,-1.24735426902771,122,4.198183536529541,4.219919681549072,1688013321.7075846,1688013321.729211
124,ReLU,0.8806075784702796,0,1,0,0,1,1,on,0.0006380350135549,79.62926483154297,-0.3677015006542206,123,4.20813512802124,4.23025918006897,1688013321.7175376,1688013321.739549
125,ReLU,0.1184378937956347,0,0,3,0,0,2,on,0.0004206413815317,90.03782653808594,-0.6716667413711548,124,4.257622718811035,4.279834747314453,1688013321.7670286,1688013321.7891133
