p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
ReLU,0.2236850379874601,4,0,2,0,1,4,on,0.00024702057717964634,"[84.038330078125, -1.749120831489563]","[84.038330078125, -1.749120831489563]",32,2.1201772689819336,2.144296646118164,1684278329.011019,1684278329.0349822
Mish,0.8849609587224901,3,0,2,4,3,0,off,0.00028666105257867276,"[88.19769287109375, -3.4160470962524414]","[88.19769287109375, -3.4160470962524414]",33,2.120847702026367,2.1448094844818115,1684278329.0116756,1684278329.0354948
Mish,0.606277667920483,2,1,2,3,3,1,on,0.0005301926668040461,"[89.7594985961914, -2.904982328414917]","[89.7594985961914, -2.904982328414917]",34,2.1217222213745117,2.146049737930298,1684278329.0125506,1684278329.0367374
Hardswish,0.7091773923717983,1,2,2,2,0,1,on,0.0005492888088038133,"[88.14995574951172, -1.06382155418396]","[88.14995574951172, -1.06382155418396]",35,2.1221141815185547,2.1464619636535645,1684278329.0129445,1684278329.0371478
ReLU,0.8433011650580589,1,2,3,2,2,4,on,0.0002076497028321784,"[87.5686264038086, -1.808181643486023]","[87.5686264038086, -1.808181643486023]",36,2.125326871871948,2.1498708724975586,1684278329.016157,1684278329.040555
Hardswish,0.8112055085726532,4,0,0,2,3,0,off,0.000946007864206343,"[75.8881607055664, -2.065497875213623]","[75.8881607055664, -2.065497875213623]",37,2.125389575958252,2.149894952774048,1684278329.0162182,1684278329.0405796
Mish,0.5219325643900363,2,2,4,2,0,2,off,3.767667818098116e-05,"[88.27764892578125, -3.819265842437744]","[88.27764892578125, -3.819265842437744]",38,2.1272220611572266,2.151510000228882,1684278329.0180492,1684278329.0421972
Hardswish,0.07805892490193848,0,4,3,0,0,2,on,0.0008211776880956632,89.10697174072266,-1.2266453504562378,47,2.2054665088653564,2.22861909866333,1684278329.0962918,1684278329.1192145
ReLU,0.34677258322858695,2,0,2,3,4,3,on,0.000963774179535743,"[89.06675720214844, -1.765569806098938]","[89.06675720214844, -1.765569806098938]",40,2.1908679008483887,2.213951110839844,1684278329.0816896,1684278329.1046534
Mish,0.8990202893411988,2,1,0,3,0,3,off,0.00039483867851925175,"[89.0918197631836, -2.330622911453247]","[89.0918197631836, -2.330622911453247]",41,2.1912436485290527,2.2143008708953857,1684278329.082067,1684278329.1050038
ReLU,0.6851432447840886,0,4,3,4,3,1,on,0.00022198820117674153,"[87.26815795898438, -1.7997878789901731]","[87.26815795898438, -1.7997878789901731]",42,2.1919898986816406,2.215095281600952,1684278329.0828116,1684278329.105796
ReLU,0.5817376635122793,1,1,1,2,2,3,on,0.0008898661192246722,"[5.9556803703308105, -1.2070928812026978]","[5.9556803703308105, -1.2070928812026978]",43,2.1935994625091553,2.216433048248291,1684278329.0844216,1684278329.107135
Hardswish,0.13342468243808958,2,2,4,4,4,2,on,0.0006949153861986415,"[89.51971435546875, -2.82954740524292]","[89.51971435546875, -2.82954740524292]",44,2.1958987712860107,2.2193801403045654,1684278329.086722,1684278329.110077
Mish,0.8512095596984944,4,4,2,2,0,0,off,0.00024676284057389313,"[82.53913879394531, -3.5060620307922363]","[82.53913879394531, -3.5060620307922363]",45,2.1960408687591553,2.219054937362671,1684278329.0868628,1684278329.109762
Mish,0.6803885636940668,4,4,0,4,4,1,off,0.0005150208325266355,"[64.39647674560547, -2.9223599433898926]","[64.39647674560547, -2.9223599433898926]",46,2.1977405548095703,2.2209036350250244,1684278329.0885627,1684278329.1116054
Mish,0.5080029303474333,2,0,3,4,1,4,on,0.00099088810365598,84.55571746826172,-3.4185104370117188,55,2.2765443325042725,2.299424409866333,1684278329.1673682,1684278329.1900227
ReLU,0.9396764119249988,0,0,3,4,2,4,off,0.0007292694143060913,"[79.70681762695312, -2.071005582809448]","[79.70681762695312, -2.071005582809448]",48,2.2592058181762695,2.282104969024658,1684278329.1500278,1684278329.1728122
ReLU,0.31541794631654463,3,3,2,4,0,4,off,0.0006154306008366693,"[87.45734405517578, -1.8814340829849243]","[87.45734405517578, -1.8814340829849243]",49,2.260162591934204,2.2829344272613525,1684278329.1509843,1684278329.1736395
Mish,0.909828359713696,3,2,2,4,4,2,off,0.0009143902450202616,"[84.37480926513672, -6.865509510040283]","[84.37480926513672, -6.865509510040283]",50,2.260131597518921,2.2830541133880615,1684278329.1509533,1684278329.1737597
Mish,0.4731955077239562,0,0,1,3,3,3,on,7.651334012030759e-05,"[88.7048110961914, -2.1339216232299805]","[88.7048110961914, -2.1339216232299805]",51,2.2622649669647217,2.2844066619873047,1684278329.153085,1684278329.1751156
Mish,0.49497680376981806,4,2,3,2,0,0,off,0.0001826224811383125,"[85.93252563476562, -3.2314019203186035]","[85.93252563476562, -3.2314019203186035]",52,2.264676094055176,2.287379026412964,1684278329.1554966,1684278329.1780877
Hardswish,0.7531130342597314,2,2,4,2,0,3,off,0.0008170167655017214,"[87.27737426757812, -2.0635204315185547]","[87.27737426757812, -2.0635204315185547]",53,2.265303134918213,2.2883718013763428,1684278329.1561246,1684278329.1790771
ReLU,0.4678509325543264,0,1,2,1,4,2,on,0.0009605612544764888,"[85.10991668701172, -1.5321372747421265]","[85.10991668701172, -1.5321372747421265]",54,2.2662546634674072,2.2892825603485107,1684278329.157076,1684278329.1799867
Mish,0.5284283324150616,2,1,4,4,0,0,off,0.0006294810154317384,85.78351593017578,-2.5428645610809326,63,2.348113536834717,2.3706536293029785,1684278329.238936,1684278329.2612436
Mish,0.8163383794213742,0,3,2,2,1,0,on,0.0007854085276651008,"[87.63197326660156, -3.1677026748657227]","[87.63197326660156, -3.1677026748657227]",56,2.3272125720977783,2.350006103515625,1684278329.2180345,1684278329.240714
ReLU,0.25222024742366883,1,2,1,0,1,4,off,8.677412715462295e-05,"[80.446044921875, -1.230198860168457]","[80.446044921875, -1.230198860168457]",57,2.3283801078796387,2.351147413253784,1684278329.2192018,1684278329.241852
ReLU,0.33835878056857877,2,3,0,0,2,0,on,5.224668116995703e-05,"[90.2982940673828, -0.9448900818824768]","[90.2982940673828, -0.9448900818824768]",58,2.3284902572631836,2.3511157035827637,1684278329.2193122,1684278329.2418249
Mish,0.9187371758480678,0,2,1,4,3,4,off,0.0005436768259583682,"[79.5487060546875, -2.943905830383301]","[79.5487060546875, -2.943905830383301]",59,2.3304543495178223,2.352405309677124,1684278329.221274,1684278329.243113
Hardswish,0.7276575294994428,2,1,0,3,3,0,on,0.00048639093858093905,"[89.99143981933594, -0.8761788606643677]","[89.99143981933594, -0.8761788606643677]",60,2.3333048820495605,2.3559012413024902,1684278329.2241254,1684278329.2466092
Hardswish,0.5223875979704384,0,3,1,0,2,1,off,0.0004624982239717316,"[86.3843994140625, -0.7386365532875061]","[86.3843994140625, -0.7386365532875061]",61,2.3341240882873535,2.356882095336914,1684278329.2249453,1684278329.247587
Mish,0.45748280024752647,2,1,1,0,1,0,off,0.00030138688473519185,"[85.97230529785156, -1.0947952270507812]","[85.97230529785156, -1.0947952270507812]",62,2.335074663162231,2.358068466186523,1684278329.225895,1684278329.248773
ReLU,0.8629382433272672,0,3,3,2,3,3,off,0.00032696934207040236,88.16180419921875,-1.1418805122375488,71,2.419719696044922,2.4422268867492676,1684278329.3105526,1684278329.332824
Mish,0.1151159104587054,1,1,0,1,4,2,off,0.0009393094166220664,"[83.33697509765625, -1.6418848037719729]","[83.33697509765625, -1.6418848037719729]",64,2.3961410522460938,2.4188313484191895,1684278329.2869656,1684278329.30954
ReLU,0.4676906244291216,1,4,2,4,2,2,on,0.0004858072610485893,"[88.67821502685547, -2.282458782196045]","[88.67821502685547, -2.282458782196045]",65,2.3966915607452393,2.4191391468048096,1684278329.287513,1684278329.3098495
Hardswish,0.4739039129240001,1,0,2,1,4,1,on,0.0006582756947025866,"[87.64105224609375, -1.2250434160232544]","[87.64105224609375, -1.2250434160232544]",66,2.3970701694488525,2.419670581817627,1684278329.287891,1684278329.310379
ReLU,0.2998865468007754,0,1,2,4,4,3,on,0.0003881784148715497,"[88.46125030517578, -1.9185363054275513]","[88.46125030517578, -1.9185363054275513]",67,2.3989264965057373,2.420907497406006,1684278329.2897463,1684278329.3116152
Hardswish,0.3025743939942058,0,0,1,3,4,2,off,0.0008337295695427692,"[85.68033599853516, -1.3516991138458252]","[85.68033599853516, -1.3516991138458252]",68,2.401794672012329,2.4244422912597656,1684278329.2926154,1684278329.3151517
Hardswish,0.24947689791739328,2,3,0,4,3,2,on,0.00018353855151516087,"[91.23719787597656, -1.6733053922653198]","[91.23719787597656, -1.6733053922653198]",69,2.403412342071533,2.4262800216674805,1684278329.294234,1684278329.3169858
Hardswish,0.13098290263287013,4,4,1,0,3,3,on,0.0009361769855764318,"[80.18267059326172, -1.72459077835083]","[80.18267059326172, -1.72459077835083]",70,2.404367446899414,2.4272520542144775,1684278329.295189,1684278329.317953
ReLU,0.22674593785929076,0,4,2,2,3,3,off,0.0002151230868952903,89.2519760131836,-1.5836600065231323,79,2.4909374713897705,2.5134072303771973,1684278329.3817613,1684278329.4040027
Mish,0.1913320712412632,0,0,4,2,4,1,off,6.741162726534108e-05,"[64.35415649414062, -2.46925687789917]","[64.35415649414062, -2.46925687789917]",72,2.4642391204833984,2.4868273735046387,1684278329.3550646,1684278329.3775358
Hardswish,0.4352100219471403,1,2,1,3,3,4,off,0.0008143132198173787,"[73.30729675292969, -1.540984869003296]","[73.30729675292969, -1.540984869003296]",73,2.465404272079468,2.487825870513916,1684278329.3562243,1684278329.37853
ReLU,0.8232996935152987,1,0,2,0,4,2,off,0.0004214025068224034,"[86.84635162353516, -1.4765892028808594]","[86.84635162353516, -1.4765892028808594]",74,2.465423822402954,2.4880623817443848,1684278329.3562455,1684278329.3787704
Mish,0.797690620532842,2,2,3,0,0,4,off,0.0009561338019694508,"[84.4612045288086, -3.815960645675659]","[84.4612045288086, -3.815960645675659]",75,2.4669735431671143,2.489000082015991,1684278329.357793,1684278329.379706
Mish,0.001588732598660229,2,4,3,4,0,4,on,0.0003318672796468691,"[82.08218383789062, -3.556199789047241]","[82.08218383789062, -3.556199789047241]",76,2.470847845077514,2.493565797805786,1684278329.361669,1684278329.3842714
ReLU,0.3030280202515536,1,3,0,1,3,2,on,0.0005242615974276548,"[90.25397491455078, -0.9338329434394836]","[90.25397491455078, -0.9338329434394836]",77,2.472489595413208,2.4953842163085938,1684278329.3633108,1684278329.3860846
Hardswish,0.5825812032940199,2,0,4,4,2,2,off,0.0009188292859603928,"[86.77000427246094, -2.5073299407958984]","[86.77000427246094, -2.5073299407958984]",78,2.473215341567993,2.4960086345672607,1684278329.3640358,1684278329.3867128
Hardswish,0.4547303348003165,0,3,2,0,4,0,off,0.0004955779321766576,84.62515258789062,-1.3168214559555054,87,2.5622355937957764,2.584808826446533,1684278329.4530597,1684278329.4754083
ReLU,0.11052914364247234,1,1,1,3,0,3,off,0.00011846319104817338,"[12.64244270324707, -0.7127470970153809]","[12.64244270324707, -0.7127470970153809]",80,2.532799005508423,2.5553643703460693,1684278329.42362,1684278329.446073
Hardswish,0.964411650415158,0,2,1,1,3,2,off,0.0003795385192797436,"[86.677001953125, -1.0252281427383425]","[86.677001953125, -1.0252281427383425]",81,2.5340282917022705,2.556396484375,1684278329.4248488,1684278329.4471014
Mish,0.4478250988402612,4,3,0,1,2,4,on,0.00032781956680195436,"[87.4321517944336, -2.8783867359161377]","[87.4321517944336, -2.8783867359161377]",82,2.5339460372924805,2.556579828262329,1684278329.4247675,1684278329.4472878
Mish,0.7146334447418582,4,4,4,4,2,2,on,0.0004044391815558918,"[82.84461212158203, -4.100376129150391]","[82.84461212158203, -4.100376129150391]",83,2.53564977645874,2.557605504989624,1684278329.426471,1684278329.4483163
Mish,0.18694201158410456,4,0,0,3,1,1,on,0.00094340483081021,"[82.12169647216797, -1.6721855401992798]","[82.12169647216797, -1.6721855401992798]",84,2.5405232906341553,2.56303071975708,1684278329.4313436,1684278329.4537358
Hardswish,0.853076327309034,0,3,2,4,4,3,on,0.0006185320936889659,"[86.19631958007812, -2.11592960357666]","[86.19631958007812, -2.11592960357666]",85,2.5421581268310547,2.5649046897888184,1684278329.4329786,1684278329.455611
ReLU,0.9994537680597032,0,4,4,1,3,3,on,0.0004193002944843611,"[83.85171508789062, -1.5625017881393433]","[83.85171508789062, -1.5625017881393433]",86,2.542116165161133,2.565131664276123,1684278329.4329374,1684278329.455832
Hardswish,0.3421969392972264,0,1,0,4,2,2,off,0.0003681618208359109,88.44458770751953,-1.3320196866989136,95,2.6343071460723877,2.6566946506500244,1684278329.525131,1684278329.5472906
Mish,0.09625591372682143,3,3,4,4,0,3,off,0.0006283366450316896,"[87.20659637451172, -3.3762781620025635]","[87.20659637451172, -3.3762781620025635]",88,2.6010568141937256,2.62347674369812,1684278329.4918828,1684278329.514186
Hardswish,0.5937030514103477,1,0,2,3,3,3,off,0.0005441530791670761,"[87.4828109741211, -0.9987749457359314]","[87.4828109741211, -0.9987749457359314]",89,2.602005958557129,2.6242895126342773,1684278329.4928265,1684278329.5149972
Mish,0.21246078214671904,0,2,3,1,2,3,off,0.00021530460679926745,"[89.67240142822266, -2.9079651832580566]","[89.67240142822266, -2.9079651832580566]",90,2.602252960205078,2.6250054836273193,1684278329.4930742,1684278329.515715
ReLU,0.0783573456657608,2,2,3,2,1,3,off,0.0004944149298903613,"[89.80318450927734, -1.2657957077026367]","[89.80318450927734, -1.2657957077026367]",91,2.6032462120056152,2.625149965286255,1684278329.4940667,1684278329.515859
Hardswish,0.5301601516755426,0,4,2,0,0,0,off,0.0005280861337162936,"[79.87297821044922, -1.1769574880599976]","[79.87297821044922, -1.1769574880599976]",92,2.6093177795410156,2.632077932357788,1684278329.5001397,1684278329.522786
Hardswish,0.3413687533331223,0,4,3,1,2,1,off,0.0008106542956042163,"[87.91635131835938, -1.3104617595672607]","[87.91635131835938, -1.3104617595672607]",93,2.611631155014038,2.6342573165893555,1684278329.502451,1684278329.524964
Hardswish,0.24222101614759065,4,3,3,1,4,3,off,0.0005178339448657877,"[84.89385986328125, -1.992070555686951]","[84.89385986328125, -1.992070555686951]",94,2.61222767829895,2.6350808143615723,1684278329.5030506,1684278329.5257828
Mish,0.8121726177849777,2,1,1,3,2,0,off,8.630905284616629e-05,87.82353210449219,-2.4409968852996826,103,2.8285913467407227,2.853419065475464,1684278329.7194233,1684278329.7439914
Hardswish,0.5935851827160729,4,2,3,3,1,1,on,0.0003941617575367748,"[84.89728546142578, -1.4792821407318115]","[84.89728546142578, -1.4792821407318115]",100,2.8048131465911865,2.8293659687042236,1684278329.6956434,1684278329.7200484
Hardswish,0.05829751378749344,2,4,0,3,2,3,on,1.4502667840045644e-05,"[90.01641082763672, -1.575043797492981]","[90.01641082763672, -1.575043797492981]",101,2.8049535751342773,2.829216241836548,1684278329.6957812,1684278329.7199006
ReLU,0.8694487840524192,3,4,4,4,1,3,off,0.0002418863389313566,"[84.2751235961914, -2.330953598022461]","[84.2751235961914, -2.330953598022461]",102,2.807046413421631,2.8317034244537354,1684278329.697876,1684278329.722376
Mish,0.7538491043582201,0,4,2,0,0,4,on,0.0007501392495922752,"[78.74412536621094, -2.7398102283477783]","[78.74412536621094, -2.7398102283477783]",96,2.7895357608795166,2.813370704650879,1684278329.680368,1684278329.7040615
Hardswish,0.3269855680205798,0,3,2,3,0,3,on,0.0005468489772165958,"[89.62377166748047, -0.9026271104812622]","[89.62377166748047, -0.9026271104812622]",97,2.7917587757110596,2.815441131591797,1684278329.682588,1684278329.7061317
Hardswish,0.6347285881471092,2,2,1,2,2,1,on,0.00024412920461529817,"[87.13262176513672, -1.305548071861267]","[87.13262176513672, -1.305548071861267]",98,2.79346227645874,2.817314386367798,1684278329.6842918,1684278329.7080047
Mish,0.9578872889103632,0,4,1,0,2,2,on,0.00018969965068676005,"[89.07586669921875, -2.5647144317626953]","[89.07586669921875, -2.5647144317626953]",99,2.79378890991211,2.8176522254943848,1684278329.684619,1684278329.708339
