,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,ReLU,0.7439422250575022,1,0,2,0,2,0,on,0.0007987035932503,172,54.39876174926758,-2.247556686401367,-0.6455320715904236,9,0.2734336853027344,1689.9133648872375,1688536448.4130025,1688538138.0520897,54.39876174926758,63.04430389404297,0.6455320715904236,77.61854553222656,90.8386688232422,168788.734375,2.247556686401367
1,ReLU,0.56953530242829,3,3,1,3,1,3,on,0.0003594957716568,120,88.73075866699219,-1.4592167139053345,-0.1569805890321731,0,0.2727260589599609,1067.3923568725586,1688536448.412295,1688537515.5313876,88.73075866699219,91.0377197265625,0.1569805890321731,21.83735656738281,89.84614562988281,106536.8515625,1.4592167139053345
2,ReLU,0.4428585605414387,2,1,2,4,3,1,on,4.530414033386837e-05,79,91.33616638183594,-1.4178767204284668,-0.757932186126709,1,0.273029088973999,702.9697983264923,1688536448.4126172,1688537151.107968,91.33616638183594,93.2065887451172,0.757932186126709,89.32111358642578,90.03523254394531,70093.8984375,1.4178767204284668
3,Mish,0.9359638719380348,1,3,1,4,2,2,off,0.0008833024740872,31,26.310129165649418,-2.636676073074341,-0.5886454582214355,11,0.2775490283966064,446.5965166091919,1688536448.4171078,1688536894.7347696,26.310129165649418,69.18474578857422,0.5886454582214355,72.95104217529297,32.188175201416016,44440.42578125,2.636676073074341
4,Hardswish,0.7172895608711677,0,1,3,0,3,1,off,0.0006719888830285,113,50.52827453613281,-1.540294170379639,-0.1123381853103637,12,0.2836852073669433,987.6802818775176,1688536448.423253,1688537435.819321,50.52827453613281,89.99166870117188,0.1123381853103637,15.429787635803224,76.01538848876953,98548.6796875,1.540294170379639
5,Hardswish,0.0431595865116301,0,0,1,2,0,1,on,4.579647675233715e-05,92,93.00032043457033,-1.1026347875595093,-0.3223611116409302,14,0.2823514938354492,770.2128596305847,1688536448.421912,1688537218.3518991,93.00032043457033,92.48576354980467,0.3223611116409302,41.386207580566406,91.16182708740234,76825.96875,1.1026347875595093
6,Hardswish,0.0909635125106186,1,1,1,1,1,1,off,0.0003985950147991,80,31.619035720825195,-0.9843719005584716,-0.07199677079916,15,0.2837176322937011,427.191759109497,1688536448.4232798,1688536875.3300214,31.619035720825195,27.724084854125977,0.07199677079916,9.206830024719238,37.45353698730469,42505.03125,0.9843719005584716
7,Hardswish,0.6371042631048608,2,2,2,4,0,2,off,0.0002902024789318,27,76.208251953125,-1.6765238046646118,-0.7795016169548035,17,0.2836508750915527,317.518545627594,1688536448.4232128,1688536765.657621,76.208251953125,90.35075378417967,0.7795016169548035,113.11800384521484,85.75130462646484,31557.79296875,1.6765238046646118
8,Mish,0.3095031778149376,2,4,3,4,2,1,on,0.0006076125934174,46,68.4189453125,-3.4855165481567383,-0.5832674503326416,19,0.2822387218475342,900.4617757797241,1688536448.4218004,1688537348.6008708,68.4189453125,81.0204086303711,0.5832674503326416,80.11091613769531,77.8471450805664,89850.1640625,3.4855165481567383
9,ReLU,0.1953619406002809,1,3,3,2,2,4,off,0.000568273232626,93,58.710845947265625,-1.883893609046936,-0.5924015045166016,2,0.2732245922088623,1019.2307674884796,1688536448.4127803,1688537467.3698788,58.710845947265625,86.4078369140625,0.5924015045166016,81.4842529296875,81.01414489746094,101715.2265625,1.883893609046936
10,Mish,0.979046902884654,2,4,4,3,4,2,on,0.0001222516989123,31,87.10038757324219,-3.011837959289551,-0.7030798196792603,20,0.2770965099334717,608.0144352912903,1688536448.416657,1688537056.15352,87.10038757324219,91.12635040283205,0.7030798196792603,101.77913665771484,76.30048370361328,60600.3515625,3.011837959289551
11,Hardswish,0.4851090462888369,1,1,1,2,3,2,on,0.0006537746006578,8,24.811119079589844,-1.3955215215682983,-0.5854150652885437,21,0.2837023735046386,69.85957789421082,1688536448.4232657,1688536517.9979343,24.811119079589844,45.1854362487793,0.5854150652885437,72.83788299560547,52.87301254272461,6769.76708984375,1.3955215215682983
12,Mish,0.8094029637938369,0,0,4,2,1,1,off,0.000913124916224,91,37.42245864868164,-2.501190423965454,-0.3352498710155487,23,0.2809042930603027,1128.229427576065,1688536448.4204674,1688537576.3685105,37.42245864868164,73.90025329589844,0.3352498710155487,38.937461853027344,43.41334533691406,112604.5,2.501190423965454
13,Mish,0.3180448760377139,4,2,4,2,1,4,off,0.0005888266232576,76,74.91445922851562,-3.859109878540039,-0.5867958664894104,24,0.2806990146636963,1104.9725394248962,1688536448.4202554,1688537553.11157,74.91445922851562,85.88941192626953,0.5867958664894104,75.47345733642578,69.37803649902344,110296.7734375,3.859109878540039
14,ReLU,0.2436147808294512,1,3,4,4,2,0,off,0.0003141184664896,129,91.75276947021484,-2.021052360534668,-0.310401439666748,25,0.281581163406372,1646.6355211734772,1688536448.4211426,1688538094.7746222,91.75276947021484,93.76250457763672,0.310401439666748,49.18746948242188,90.79656982421876,164475.859375,2.021052360534668
15,Mish,0.9089615348925302,1,2,4,3,4,2,off,0.0004301695527913,86,66.30323791503906,-2.6506669521331787,-0.5129479169845581,26,0.2839996814727783,1228.9721636772156,1688536448.4235604,1688537677.110393,66.30323791503906,91.20367431640624,0.5129479169845581,74.1776123046875,70.0638656616211,122705.1640625,2.6506669521331787
16,Hardswish,0.8707627526181276,4,2,3,4,1,2,off,0.000228155063464,5,67.86346435546875,-2.3010425567626958,-0.5392600893974304,27,0.2862286567687988,63.99676465988159,1688536448.4257898,1688536512.1349962,67.86346435546875,87.00704956054688,0.5392600893974304,77.80827331542969,43.30224990844727,6205.40771484375,2.3010425567626958
