,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
38,Hardswish,1.0,0,0,3,0,4,1,on,1e-05,"[81.0197982788086, -1.0424810647964478]","[81.0197982788086, -1.0424810647964478]",37,2.587805986404419,2.610673666000366,1684451752.6052437,1684451752.627997
39,Hardswish,0.001,0,3,0,0,2,3,on,0.0003028889921728,78.35611724853516,-0.7644444704055786,46,2.9842357635498047,3.007719755172729,1684451753.0016792,1684451753.0249245
40,Hardswish,0.7331074430392445,0,2,0,0,4,1,off,0.001,"[70.76510620117188, -1.5592976808547974]","[70.76510620117188, -1.5592976808547974]",39,2.592396974563598,2.615065097808838,1684451752.609834,1684451752.6323826
41,Hardswish,0.3748169968658652,1,0,0,0,0,1,on,0.0009712154657974,"[82.44120025634766, -0.3626534938812256]","[82.44120025634766, -0.3626534938812256]",40,2.728694438934326,2.752053737640381,1684451752.74614,1684451752.7693565
42,ReLU,0.9631610261773496,2,0,0,0,3,1,on,0.0009065251505207,"[86.01228332519531, -1.0671305656433103]","[86.01228332519531, -1.0671305656433103]",41,2.910758256912231,2.934036493301392,1684451752.9281998,1684451752.951342
43,Hardswish,0.001,0,0,0,1,0,2,on,0.001,"[70.61279296875, -0.5610289573669434]","[70.61279296875, -0.5610289573669434]",42,2.913459300994873,2.936617374420166,1684451752.9309003,1684451752.953924
44,Hardswish,0.019068554424963,0,0,1,0,1,1,on,0.0002543110421733,"[17.097326278686523, -0.3443446159362793]","[17.097326278686523, -0.3443446159362793]",43,2.918033599853516,2.940951347351074,1684451752.9354734,1684451752.9582627
45,Hardswish,0.0484635556693611,1,1,0,1,3,1,off,0.001,"[82.98480987548828, -0.5281454920768738]","[82.98480987548828, -0.5281454920768738]",44,2.9735565185546875,2.99710750579834,1684451752.990997,1684451753.0144148
46,Hardswish,0.8926828654316264,0,2,0,0,3,4,off,0.001,"[76.21160125732422, -2.0674502849578857]","[76.21160125732422, -2.0674502849578857]",45,2.9812018871307373,3.0051424503326416,1684451752.9986432,1684451753.0224504
47,ReLU,0.1484084982778412,4,0,0,0,0,0,on,0.0009473917829024,66.5916519165039,-0.8639279007911682,54,3.2606394290924072,3.2835853099823,1684451753.2780786,1684451753.3008044
48,Hardswish,0.001,3,0,0,0,3,1,off,0.0009829848706097,"[74.37989807128906, -0.6143919229507446]","[74.37989807128906, -0.6143919229507446]",47,2.9868977069854736,3.0107102394104004,1684451753.004339,1684451753.02801
49,Hardswish,0.001,0,0,0,0,0,3,on,0.0004112442464716,"[62.2491340637207, -0.4177258610725403]","[62.2491340637207, -0.4177258610725403]",48,2.996652841567993,3.019395351409912,1684451753.0140908,1684451753.0367143
50,Hardswish,0.0849316156686367,0,2,0,0,3,3,on,8.811776332107177e-05,"[89.472900390625, -0.7417788505554199]","[89.472900390625, -0.7417788505554199]",49,3.176945924758911,3.1999452114105225,1684451753.1943831,1684451753.2172594
51,Hardswish,0.3414322473278537,1,2,1,0,0,0,on,0.0008624001029845,"[84.48351287841797, -0.5990496277809143]","[84.48351287841797, -0.5990496277809143]",50,3.18100905418396,3.203979253768921,1684451753.1984458,1684451753.2212958
52,Hardswish,0.0063535805852332,0,0,0,0,0,3,on,0.0006589358983981,"[82.20726776123047, -0.43247318267822266]","[82.20726776123047, -0.43247318267822266]",51,3.184842348098755,3.2071518898010254,1684451753.2022796,1684451753.2244742
53,Hardswish,0.0286950422412887,0,0,0,0,2,3,on,1e-05,"[88.26950073242188, -0.6057677268981934]","[88.26950073242188, -0.6057677268981934]",52,3.24988317489624,3.272859811782837,1684451753.2673204,1684451753.2901747
54,Hardswish,0.1086269267697675,0,0,0,3,3,4,on,0.000339004544683,"[81.42218780517578, -1.2117457389831543]","[81.42218780517578, -1.2117457389831543]",53,3.2553956508636475,3.278489351272583,1684451753.2728338,1684451753.295812
55,Mish,0.001,0,0,0,0,4,2,on,1e-05,74.36539459228516,-1.8709057569503784,63,3.5384109020233154,3.5611417293548584,1684451753.5558496,1684451753.5783572
56,Hardswish,0.0988315273761201,1,0,0,1,4,1,off,0.001,"[81.9282455444336, -0.873014509677887]","[81.9282455444336, -0.873014509677887]",55,3.2617595195770264,3.284846782684326,1684451753.2791982,1684451753.3021648
57,ReLU,0.0762064291621051,0,0,1,0,1,4,on,0.0004883467078954,"[73.20117950439453, -0.8478600382804871]","[73.20117950439453, -0.8478600382804871]",56,3.2654407024383545,3.287954092025757,1684451753.2828796,1684451753.3052733
58,Mish,0.1077063501988017,0,0,0,2,2,4,on,1e-05,"[81.52470397949219, -2.8802709579467773]","[81.52470397949219, -2.8802709579467773]",57,3.4483859539031982,3.4709386825561523,1684451753.4658215,1684451753.4882624
59,Hardswish,0.5135368648259582,2,4,0,0,0,1,on,0.001,"[88.43285369873047, -1.2035857439041138]","[88.43285369873047, -1.2035857439041138]",58,3.452965021133423,3.4755284786224365,1684451753.470401,1684451753.492846
60,Mish,0.1354972111031311,3,0,0,0,4,3,on,0.0003599970970216,"[88.57005310058594, -2.155700922012329]","[88.57005310058594, -2.155700922012329]",59,3.457953929901123,3.4799304008483887,1684451753.47539,1684451753.497254
61,Hardswish,0.0296300871631938,4,0,0,1,2,3,on,1e-05,"[87.101318359375, -1.2354893684387207]","[87.101318359375, -1.2354893684387207]",60,3.5284619331359863,3.5512654781341557,1684451753.5458984,1684451753.5685856
62,Hardswish,0.001,1,0,1,1,4,0,off,0.0008998176840595,"[68.22653198242188, -0.9002587795257568]","[68.22653198242188, -0.9002587795257568]",61,3.529914617538452,3.553081512451172,1684451753.547353,1684451753.5704
63,Hardswish,0.001,4,0,0,0,3,4,on,1e-05,"[48.78089141845703, -1.676456332206726]","[48.78089141845703, -1.676456332206726]",62,3.5373430252075195,3.559678077697754,1684451753.5547793,1684451753.5769794
64,Hardswish,0.3394654413585997,1,0,2,0,0,2,on,0.0009012649421491,88.90097045898438,-0.8300696015357971,71,3.8204421997070312,3.843171119689941,1684451753.83788,1684451753.8603847
65,Hardswish,0.4148154248594673,1,0,3,0,0,4,on,0.000972710217128,"[80.27938079833984, -1.0667256116867063]","[80.27938079833984, -1.0667256116867063]",64,3.5405962467193604,3.5637102127075195,1684451753.558034,1684451753.5810242
66,Hardswish,0.1871760344877108,2,0,0,3,2,4,on,0.0004628330856189,"[87.59795379638672, -1.6249300241470337]","[87.59795379638672, -1.6249300241470337]",65,3.725747585296631,3.748138189315796,1684451753.743184,1684451753.7654595
67,Hardswish,1.0,1,0,0,0,2,4,on,1e-05,"[68.13702392578125, -1.272078514099121]","[68.13702392578125, -1.272078514099121]",66,3.727658987045288,3.75015640258789,1684451753.7450953,1684451753.7674806
68,Hardswish,0.4702460262805136,0,1,0,0,2,3,on,0.0004186910997842,"[89.15455627441406, -0.6859990954399109]","[89.15455627441406, -0.6859990954399109]",67,3.735874652862549,3.7577037811279297,1684451753.753311,1684451753.7750285
