p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Mish,0.0158836890754307,2,4,3,0,1,2,off,0.0002451468479731,131,86.38512420654297,-3.016466856002808,-0.5885312557220459,0,1691932575.4545183,1691933373.5833592,0.5885312557220459,158180.6875,3.016466856002808,81.95446014404297,86.38512420654297,99.63251495361328,86.61138916015625,False
Mish,0.0473705234496311,2,1,1,0,3,3,off,9.81281877839395e-05,136,85.93358612060547,-2.084033966064453,-0.3725596964359283,1,1691932575.7659523,1691933183.2029402,0.3725596964359283,120087.8671875,2.084033966064453,51.14021301269531,85.93358612060547,99.5642547607422,85.50936889648438,False
Mish,0.0161689801937657,1,3,2,2,3,2,on,3.980543084311365e-05,89,87.16764068603516,-3.772998809814453,-0.8463314771652222,2,1691932575.771932,1691933245.0831745,0.8463314771652222,132463.96875,3.772998809814453,119.8760986328125,87.16764068603516,91.45530700683594,86.28701782226562,False
Mish,0.0081411761533468,3,2,4,4,2,0,on,1.0907808836190464e-05,18,74.5084457397461,-4.021130084991455,-0.5757554173469543,3,1691932575.7777588,1691932727.9155562,0.5757554173469543,29030.037109375,4.021130084991455,83.3749771118164,74.5084457397461,69.9779052734375,72.3978500366211,False
Hardswish,0.1640150833093583,1,4,3,1,0,4,off,0.0007478849934776,80,66.56935119628906,-1.74018394947052,-0.1050123199820518,4,1691932581.9894395,1691932850.016845,0.1050123199820518,53287.6171875,1.74018394947052,11.627906799316406,66.56935119628906,76.84099578857422,65.85382843017578,False
ReLU,0.1823180422722663,2,3,4,3,2,4,on,6.442206102711069e-05,57,77.94554901123047,-2.2536044120788574,-0.6108971834182739,5,1691932582.6311357,1691932875.8679364,0.6108971834182739,58371.16015625,2.2536044120788574,86.10086822509766,77.94554901123047,83.47486877441406,76.19293975830078,False
Mish,0.9551847143769652,2,4,3,1,1,1,off,1.9642107113718654e-05,124,80.82266235351562,-2.4099607467651367,-0.3361246585845947,6,1691932582.7803562,1691933137.8073714,0.3361246585845947,110758.984375,2.4099607467651367,46.33063888549805,80.82266235351562,81.60163879394531,79.61190795898438,False
Hardswish,0.1592104667014562,0,0,2,1,0,1,off,2.0671111801536605e-05,62,83.5188217163086,-0.6091058850288391,-0.3264320790767669,7,1691932582.7401717,1691932670.1242833,0.3264320790767669,17208.6875,0.6091058850288391,43.2845573425293,83.5188217163086,94.6595687866211,82.77790832519531,False
Mish,0.6780327256744559,3,1,0,3,3,3,off,3.179324474118254e-05,110,83.45659637451172,-2.606942892074585,-0.1798606365919113,8,1691932582.758975,1691933183.3614848,0.1798606365919113,119865.7578125,2.606942892074585,23.56757926940918,83.45659637451172,93.68034362792967,82.91455078125,False
Hardswish,0.0010434333049455,0,3,2,0,0,2,on,6.924300757443324e-05,164,79.57789611816406,-0.9097319841384888,-0.5603492856025696,9,1691932582.8577485,1691932961.388961,0.5603492856025696,75468.7890625,0.9097319841384888,83.45263671875,79.57789611816406,79.3765869140625,80.6563491821289,False
ReLU,0.0017403169720065,1,2,1,3,1,2,on,0.0001062140736508,7,41.376914978027344,-1.0600194931030271,-0.5641135573387146,10,1691932582.6588974,1691932601.2738683,0.5641135573387146,3468.556640625,1.0600194931030271,82.12991333007812,41.376914978027344,31.526411056518555,40.13297271728516,False
