,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,valid-loss,latency
25,0.6910613688368616,0.0009426256542525633,ReLU,off,0.0,3.0,3.0,1.0,0.0,2.0,16.41034698486328,0.9308146238327026
26,0.07523356600080783,0.0007594920729486628,Hardswish,on,3.0,2.0,0.0,0.0,0.0,1.0,11.880348205566406,0.6807100176811218
27,0.05251769377085573,0.0009091903501929196,Hardswish,on,1.0,1.0,1.0,0.0,3.0,3.0,85.45887184143066,0.6690953373908997
28,0.9656052563659254,0.0008651183680321975,Hardswish,on,0.0,1.0,2.0,3.0,1.0,1.0,19.817367553710938,1.0775690078735352
29,0.8301577712888202,0.0007289826774259943,ReLU,off,0.0,0.0,3.0,0.0,3.0,1.0,19.272064208984375,0.6379038691520691
30,0.1651192598561355,0.0008583469318506178,Mish,on,3.0,0.0,2.0,1.0,1.0,3.0,10.145835876464844,2.2831928730010986
31,0.026821809413968348,2.6053422592801372e-05,Mish,on,2.0,2.0,0.0,1.0,3.0,1.0,10.59039306640625,2.176156997680664
32,0.810942061528335,0.0004812375305828898,ReLU,off,3.0,0.0,3.0,2.0,0.0,0.0,12.864616394042969,0.9065210223197937
33,0.03888157139917893,0.000600583145690782,ReLU,on,2.0,0.0,0.0,2.0,2.0,3.0,8.884452819824219,1.1210349798202515
34,0.9957102022384308,0.00041521673707144613,Mish,off,1.0,2.0,0.0,1.0,2.0,3.0,11.517280578613281,2.434443950653076
35,0.22151970904166418,0.00012508691424891182,Mish,off,1.0,2.0,1.0,1.0,1.0,2.0,12.925559997558594,2.038722515106201
36,0.3277501958272931,0.0008009972686421806,ReLU,off,1.0,0.0,1.0,1.0,3.0,1.0,87.61426830291748,0.582565426826477
37,0.3442401250679317,0.000995159006451333,ReLU,on,1.0,0.0,0.0,1.0,1.0,1.0,17.566322326660156,0.4443305730819702
38,0.3219625053613721,0.0002770694622910053,Mish,off,3.0,0.0,2.0,0.0,1.0,1.0,11.856903076171875,1.6980760097503662
39,0.10254898523268002,0.0009479424741795598,ReLU,off,0.0,3.0,2.0,3.0,3.0,3.0,10.748451232910156,1.0352064371109009
40,0.11816070969421906,0.0005904869246016111,Hardswish,off,2.0,3.0,2.0,0.0,2.0,0.0,10.703178405761719,1.1462039947509766
41,0.12475296970793463,0.00013701028922270887,Hardswish,off,2.0,1.0,2.0,0.0,3.0,0.0,11.470298767089844,0.9445974826812744
42,0.6171768841034347,0.0005465462718452313,ReLU,off,0.0,1.0,2.0,3.0,0.0,1.0,11.832138061523438,0.7423093318939209
43,0.8675966763080676,0.0008782714475651702,Hardswish,off,3.0,1.0,1.0,0.0,2.0,3.0,25.165992736816406,1.063509225845337
44,0.3704479213265729,0.0004918657057772292,Hardswish,on,2.0,0.0,3.0,1.0,1.0,0.0,12.026290893554688,0.7926344275474548
45,0.6677386438072921,9.357299446912061e-05,ReLU,off,1.0,1.0,3.0,3.0,0.0,1.0,14.206306457519531,0.6737629771232605
46,0.10949630363722057,0.0004543559712155985,Hardswish,on,2.0,1.0,1.0,2.0,3.0,0.0,10.43951416015625,0.962478518486023
47,0.24886578850135432,0.0009031800974139714,ReLU,on,0.0,0.0,0.0,0.0,3.0,3.0,11.613616943359375,0.5740486979484558
48,0.9747779118059097,8.7886873113016e-05,Mish,on,3.0,3.0,3.0,2.0,1.0,3.0,9.91259765625,3.5339505672454834
49,0.2764320817532961,0.000613481631477736,Mish,off,1.0,0.0,2.0,3.0,1.0,1.0,11.404167175292969,1.716212511062622
50,0.3037408940120519,0.0009514576811965878,ReLU,on,0.0,1.0,3.0,2.0,2.0,3.0,11.42437744140625,1.1789600849151611
51,0.06012185396872,0.0008131643170223117,ReLU,off,3.0,2.0,0.0,3.0,1.0,3.0,10.453071594238281,0.9548889398574829
52,0.6336357626093685,0.0008389987746367807,Mish,off,1.0,2.0,3.0,3.0,3.0,3.0,15.40234375,3.5547945499420166
53,0.7339423752179312,0.00027992694070681665,Mish,on,3.0,3.0,3.0,0.0,0.0,1.0,12.133934020996094,2.1014974117279053
54,0.1428567382803969,0.0001901483701381979,Hardswish,on,2.0,0.0,3.0,3.0,2.0,3.0,9.263565063476562,1.1492568254470825
55,0.6747460798548524,0.0006321639723824484,ReLU,off,3.0,1.0,0.0,1.0,3.0,2.0,13.774238586425781,0.951423168182373
56,0.42890829018903437,0.0002556922989557622,ReLU,on,1.0,1.0,0.0,2.0,3.0,3.0,13.339378356933594,0.9670453667640686
57,0.45346143978551906,0.00038228383697132414,Hardswish,on,1.0,2.0,2.0,1.0,0.0,1.0,11.137649536132812,0.8705081939697266
