p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Mish,0.006353836587177865,1,4,1,1,4,1,on,1.6857168009762642e-05,108,13.645544052124023,-1.696691870689392,-0.06489444524049759,110,0.8745930194854736,399.11722135543823,1692098701.966159,1692099100.2083323,0.06489444524049759,76734.0859375,1.696691870689392,7.734138011932373,13.645544052124023,10.226442337036133,12.627038955688477
Hardswish,0.05622735343297976,2,4,1,2,1,3,on,0.0007294383491054097,58,78.02638244628906,-1.593422770500183,-0.5737590193748474,111,0.876875638961792,217.3984808921814,1692098701.9684446,1692098918.4886162,0.5737590193748474,40389.703125,1.593422770500183,83.06078338623047,78.02638244628906,75.78667449951172,78.80062103271484
Hardswish,0.01112257912779896,2,1,4,1,0,0,on,0.0003965407531341452,89,81.73320770263672,-1.18644380569458,-0.333696186542511,112,0.8774490356445312,229.44518446922305,1692098701.9690156,1692098930.536287,0.333696186542511,42816.60546875,1.18644380569458,42.869529724121094,81.73320770263672,82.0042495727539,82.83914947509766
ReLU,0.01405503015289953,0,1,1,2,3,0,on,3.4470967958326096e-05,148,86.27828216552734,-0.7607921361923218,-0.34102436900138855,113,0.8802680969238281,284.99001908302307,1692098701.9718378,1692098986.081117,0.34102436900138855,53906.49609375,0.7607921361923218,46.60292434692383,86.27828216552734,92.13568115234376,86.70761108398438
ReLU,0.005837603431801947,2,4,1,3,4,4,off,0.00020400606115006704,27,68.729248046875,-2.6434547901153564,-0.3613877594470978,115,0.8832309246063232,154.46615076065063,1692098701.9748008,1692098855.557245,0.3613877594470978,27803.341796875,2.6434547901153564,47.68994140625,68.729248046875,74.19969177246094,69.1909408569336
Hardswish,0.02183171918244519,3,2,0,2,1,3,on,1.2419626444096088e-05,123,88.43400573730469,-1.0750668048858645,-0.6047441959381104,116,0.8841805458068848,344.7795600891113,1692098701.9757462,1692099045.8698146,0.6047441959381104,65866.71875,1.0750668048858645,85.6948013305664,88.43400573730469,94.63209533691406,88.34346771240234
Mish,0.6848772531888796,2,3,1,4,1,1,on,0.0004980301784749914,1,7.485867023468018,-2.253277540206909,-0.32259464263916016,117,0.8860323429107666,19.923829555511475,1692098701.9776049,1692098721.014073,0.32259464263916016,912.809326171875,2.253277540206909,48.45524978637695,7.485867023468018,10.34521770477295,11.321107864379885
Hardswish,0.04002654944882408,0,2,4,3,2,2,off,2.0699374791085397e-05,53,83.24837493896484,-1.7808990478515625,-0.8137088418006897,119,0.8894922733306885,221.33794903755188,1692098701.981062,1692098922.429053,0.8137088418006897,41177.75,1.7808990478515625,117.88265991210938,83.24837493896484,95.02171325683594,83.99407958984375
Hardswish,0.013931716629871489,2,1,4,4,0,0,off,1.5072498238385476e-05,24,73.17350006103516,-1.7851108312606812,-0.3366682529449463,12,0.8315615653991699,99.38889861106873,1692098701.9231591,1692098800.4800131,0.3366682529449463,16790.921875,1.7851108312606812,42.64417266845703,73.17350006103516,80.04119873046875,71.58330535888672
Hardswish,0.536520049225174,4,3,2,2,3,1,on,4.161875733729935e-05,59,77.19056701660156,-1.7300416231155396,-0.5986853837966919,121,0.893669605255127,233.62421226501465,1692098701.985238,1692098934.7153034,0.5986853837966919,43634.921875,1.7300416231155396,88.07196044921875,77.19056701660156,78.00946807861328,76.51408386230469
Hardswish,0.003082668837183201,3,2,1,0,4,3,off,2.8245744368105184e-05,71,79.01607513427734,-1.4463303089141846,-0.3629288375377655,122,0.8956339359283447,247.5822503566742,1692098701.9872,1692098948.6733377,0.3629288375377655,46427.18359375,1.4463303089141846,51.18975830078125,79.01607513427734,86.8875961303711,77.73094177246094
Hardswish,0.0936151432705877,1,4,2,3,2,0,off,4.933238686462056e-05,97,81.79842376708984,-1.5428000688552856,-0.5767264366149902,124,0.89884352684021,351.5159659385681,1692098701.99041,1692099052.6070592,0.5767264366149902,67213.2109375,1.5428000688552856,82.58611297607422,81.79842376708984,97.07467651367188,81.90223693847656
Hardswish,0.38259756877802553,0,2,1,2,3,1,off,0.0006164983970277589,143,72.07144165039062,-0.9969537258148192,-0.5842385292053223,128,0.908191442489624,378.58687925338745,1692098701.9997606,1692099079.6779578,0.5842385292053223,72626.6953125,0.9969537258148192,80.87822723388672,72.07144165039062,75.75630950927734,71.32041931152344
ReLU,0.012934497266883591,0,4,1,1,0,3,off,0.00010117606494732772,196,81.31771087646484,-0.9978545308113098,-0.10913170129060744,129,0.909172534942627,434.0746822357178,1692098702.0007408,1692099135.1657505,0.10913170129060744,83725.8125,0.9978545308113098,11.852916717529297,81.31771087646484,94.06138610839844,81.67222595214844
ReLU,0.028043937593887184,3,0,3,4,1,1,on,1.1349915513158456e-05,50,78.06498718261719,-1.2617875337600708,-0.13838422298431396,13,0.831536054611206,141.8305299282074,1692098701.923144,1692098842.9206002,0.13838422298431396,25274.72265625,1.2617875337600708,15.48730182647705,78.06498718261719,79.4885025024414,77.20452880859375
ReLU,0.19112441593220425,4,3,4,0,1,1,off,0.000261520286467702,57,56.83218765258789,-1.6557672023773191,-0.10583227127790452,130,0.9108548164367676,199.05776834487915,1692098702.0024242,1692098900.1480963,0.10583227127790452,36740.32421875,1.6557672023773191,11.87205982208252,56.83218765258789,62.115333557128906,57.196285247802734
