,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,ReLU,0.4927641171852395,2,0,1,2,2,3,off,0.0005172874237006,55,31.505983352661133,-1.5548453330993652,-0.811896800994873,3,0.3596925735473633,509.82975029945374,1688667686.720339,1688668196.1888106,31.505983352661133,83.15032958984375,0.811896800994873,116.93736267089844,62.27265167236328,50742.26171875,1.5548453330993652
1,Mish,0.1748084205782757,3,1,0,4,0,0,on,0.0001313415200697,12,76.4029769897461,-1.9273090362548828,-0.127158910036087,11,0.3709261417388916,112.1034767627716,1688667686.7315643,1688667798.462838,76.4029769897461,84.52460479736328,0.127158910036087,13.020594596862791,71.94664001464844,10967.4970703125,1.9273090362548828
2,Hardswish,0.1585834339519755,0,2,1,2,1,3,off,0.000533049888695,50,86.12102508544922,-1.348701000213623,-0.5893679857254028,12,0.3725912570953369,375.75054001808167,1688667686.7332237,1688668062.1107244,86.12102508544922,74.34833526611328,0.5893679857254028,73.3259048461914,85.80101776123047,37342.046875,1.348701000213623
3,Hardswish,0.7866558123966607,0,3,2,0,3,2,off,0.0006286361306923,43,32.87023162841797,-2.116640329360962,-0.5810688138008118,13,0.3725728988647461,351.82638788223267,1688667686.7332044,1688668038.1857002,32.87023162841797,81.25257110595703,0.5810688138008118,75.15419006347656,45.329200744628906,34956.984375,2.116640329360962
4,Hardswish,0.5835208434887006,2,2,1,3,2,3,off,0.0002285056927868,41,85.70018005371094,-1.664875626564026,-0.7796416878700256,15,0.3755190372467041,506.5326864719391,1688667686.7361534,1688668192.8928156,85.70018005371094,90.4355926513672,0.7796416878700256,110.37061309814452,78.97411346435547,50409.6484375,1.664875626564026
5,ReLU,0.974790292943434,0,2,1,3,2,1,on,0.0004009519617023,11,27.620922088623047,-1.7600183486938477,-0.6067304015159607,16,0.3726003170013428,108.25121545791626,1688667686.7332313,1688667794.6114385,27.620922088623047,79.72232055664062,0.6067304015159607,76.81427001953125,49.40900802612305,10592.1220703125,1.7600183486938477
6,Mish,0.6814494520075013,2,2,0,2,4,3,on,0.0007826861499262,8,44.169166564941406,-2.586603164672852,-0.7546696066856384,17,0.3703725337982178,150.62106490135193,1688667686.7310078,1688667836.9804175,44.169166564941406,80.01594543457031,0.7546696066856384,96.08518981933594,51.131744384765625,14827.015625,2.586603164672852
7,Mish,0.9458647070510728,0,1,2,2,2,1,on,0.0007185192330233,25,49.98876190185547,-1.8568919897079468,-0.7658358216285706,26,0.3857982158660888,414.01037073135376,1688667686.746427,1688668100.3705194,49.98876190185547,78.88395690917969,0.7658358216285706,101.4602279663086,48.49474334716797,41172.5390625,1.8568919897079468
8,ReLU,0.6108248383888868,0,1,1,0,0,2,on,0.0007388608989636,93,26.181886672973636,-1.3064918518066406,-0.3234231472015381,29,0.3899316787719726,466.6302998065949,1688667686.7505667,1688668152.9904516,26.181886672973636,75.29400634765625,0.3234231472015381,40.36247634887695,79.41940307617188,46417.54296875,1.3064918518066406
9,ReLU,0.8490560026307425,4,0,1,1,2,2,off,0.0004762182083354,23,56.53839111328125,-1.4526383876800537,-0.5688387751579285,35,0.389390230178833,203.32804703712463,1688667686.750044,1688667889.688205,56.53839111328125,73.47797393798828,0.5688387751579285,78.06391906738281,50.9501838684082,20092.9453125,1.4526383876800537
10,Mish,0.6385361824747308,4,0,0,1,2,0,off,2.651054523321265e-05,35,87.81578826904297,-2.164586067199707,-0.3002782762050628,36,0.3987312316894531,385.1343278884888,1688667686.7593665,1688668071.4944434,87.81578826904297,92.24671936035156,0.3002782762050628,55.14652633666992,79.9962387084961,38263.42578125,2.164586067199707
11,Hardswish,0.5557647593532208,1,1,4,1,1,0,off,0.0008212378131914,30,27.56521987915039,-1.2944209575653076,-0.0907411277294159,43,0.3946387767791748,207.8000814914703,1688667686.755267,1688667894.1594014,27.56521987915039,65.37989807128906,0.0907411277294159,8.51218032836914,55.93476486206055,20533.681640625,1.2944209575653076
