p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.6097913705747952,2,0,1,3,1,3,off,0.00028215922237935574,63,80.9193115234375,-1.6511856317520142,-0.3952217400074005,22,0.15160632133483887,483.5965993404389,1691537124.3431964,1691537607.7876573,0.3952217400074005,48153.4140625,1.6511856317520142,44.77259063720703,80.9193115234375,90.98109436035156,73.98339080810547
Hardswish,0.4469162828359901,3,2,0,2,1,3,on,5.658372402519736e-05,123,92.07678985595705,-1.4122469425201416,-0.4098019003868103,23,0.15123248100280762,1063.6688272953031,1691537124.342823,1691538187.8599906,0.4098019003868103,106156.953125,1.4122469425201416,81.9565658569336,92.07678985595705,94.86973571777344,92.60173797607422
Mish,0.9486414250138102,2,3,2,0,0,3,on,0.00032885405732347383,134,89.34173583984375,-2.860215425491333,-0.8096158504486084,26,0.15217232704162598,1668.1077570915222,1691537124.3437614,1691538792.2989008,0.8096158504486084,166605.796875,2.860215425491333,93.5263442993164,89.34173583984375,93.3770980834961,91.16777801513672
Hardswish,0.46721240875879233,0,0,2,4,4,0,on,0.0003048917490022276,22,71.77729034423828,-1.9496299028396609,-0.34023812413215637,27,0.1528482437133789,238.5958023071289,1691537124.3444383,1691537362.786955,0.34023812413215637,23663.052734375,1.9496299028396609,42.18632888793945,71.77729034423828,74.05815887451172,68.94602966308594
Mish,0.06688043193305804,2,1,0,2,3,3,off,0.0005352228649759356,121,91.68187713623048,-2.1354331970214844,-0.6118220686912537,28,0.1540374755859375,1559.712371826172,1691537124.3456297,1691538683.9035,0.6118220686912537,155748.53125,2.1354331970214844,77.7208251953125,91.68187713623048,97.36178588867188,81.88516998291016
ReLU,0.9844702971086527,3,0,2,1,0,2,on,0.00025370885431754976,93,69.50878143310547,-2.0122220516204834,-0.5986752510070801,29,0.15521740913391113,924.4056379795074,1691537124.3468068,1691538048.596789,0.5986752510070801,92228.5859375,2.0122220516204834,66.68863677978516,69.50878143310547,89.79306030273438,85.36966705322266
Hardswish,0.8610531545877647,0,2,1,2,3,1,off,0.0008960163160983008,143,43.45389175415039,-2.1925148963928223,-0.5956069827079773,3,0.1427512168884277,1119.4048762321472,1691537124.33436,1691538243.5960157,0.5956069827079773,111740.5546875,2.1925148963928223,61.60295867919922,43.45389175415039,78.87969970703125,63.317874908447266
Hardswish,0.6998606912062856,0,2,3,0,1,1,off,0.0006782023720057817,34,52.87626647949219,-1.236875295639038,-0.45693081617355347,30,0.15653181076049805,497.76572370529175,1691537124.3481245,1691537621.9568455,0.45693081617355347,49549.109375,1.236875295639038,55.991119384765625,52.87626647949219,72.75675201416016,49.14859390258789
Hardswish,0.09948340507359205,3,2,1,2,0,2,off,0.0003919114465445225,129,83.91568756103516,-1.5069549083709717,-0.6975805759429932,32,0.15769362449645996,1372.4719188213348,1691537124.349284,1691538496.6630616,0.6975805759429932,137037.265625,1.5069549083709717,80.2661361694336,83.91568756103516,98.50843811035156,92.21265411376952
ReLU,0.8016674751320976,4,0,0,1,4,3,off,0.0006578422576603478,66,43.28990173339844,-1.44303560256958,-0.11894933134317398,33,0.15879487991333008,676.7276902198792,1691537124.3503857,1691537800.9180524,0.11894933134317398,67466.0546875,1.44303560256958,8.21509075164795,43.28990173339844,74.072998046875,33.15299987792969
