p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.8347499312146599,2,3,0,2,2,3,on,0.0003794706306657104,2,66.73580169677734,-1.6154489517211914,-0.8525926470756531,149,0.6243960857391357,27.28545093536377,1688961059.072153,1688961085.7325358,66.73580169677734,80.56487274169922,0.8525926470756531,96.14319610595705,23.483339309692383,2317.5615234375,1.6154489517211914
ReLU,0.8070489407492379,4,4,1,4,2,4,on,0.000806353747982383,33,33.15565490722656,-3.0677907466888428,-0.328957200050354,15,0.4451413154602051,535.6408386230469,1688961058.892903,1688961594.087984,33.15565490722656,49.00580596923828,0.328957200050354,40.38507080078125,49.14630508422851,53183.7265625,3.0677907466888428
Hardswish,0.12973473920232031,3,3,4,0,2,2,on,0.0008296050490931273,41,80.08008575439453,-2.055248022079468,-0.5078462958335876,150,0.6246354579925537,430.64793157577515,1688961059.0723934,1688961489.095057,80.08008575439453,90.0473403930664,0.5078462958335876,77.07027435302734,75.40351867675781,42646.21484375,2.055248022079468
ReLU,0.3013123087539826,2,4,3,2,4,0,on,0.0003444568639906033,12,76.90377044677734,-2.011446237564087,-0.5974911451339722,152,0.6259782314300537,148.42131900787354,1688961059.073737,1688961206.8683665,76.90377044677734,86.4002456665039,0.5974911451339722,85.02074432373047,79.59666442871094,14431.1591796875,2.011446237564087
Hardswish,0.7843271775290427,2,3,1,4,0,4,on,0.000163828662172119,65,87.12615203857422,-2.0570290088653564,-0.3742510378360748,155,0.6286866664886475,725.4553892612457,1688961059.0764418,1688961783.9024148,87.12615203857422,88.62989807128906,0.3742510378360748,44.58016586303711,83.56748962402344,72164.046875,2.0570290088653564
ReLU,0.9570313841140686,2,1,1,4,2,4,on,0.00047879636761692353,58,30.923429489135746,-2.257748603820801,-0.6475425958633423,157,0.6323370933532715,599.8150091171265,1688961059.0801077,1688961658.262117,30.923429489135746,62.85207748413086,0.6475425958633423,70.7374496459961,51.593017578125,59567.12109375,2.257748603820801
ReLU,0.04407514029505624,1,4,0,2,4,4,off,0.000232613121026017,70,86.80233001708984,-2.763186454772949,-0.3669132292270661,159,0.6349472999572754,730.7303183078766,1688961059.0827007,1688961789.1773405,86.80233001708984,93.06036376953124,0.3669132292270661,46.47480392456055,87.18431854248047,72707.078125,2.763186454772949
Hardswish,0.6019969049573018,1,0,1,0,3,4,off,0.0006288527107757864,39,21.67998504638672,-1.6067826747894287,-0.07612046599388123,162,28.592061758041385,268.8865087032318,1688961087.0398052,1688961327.3338883,21.67998504638672,57.703006744384766,0.07612046599388123,11.171796798706056,39.589012145996094,24017.1015625,1.6067826747894287
Mish,0.8849741742809486,3,2,1,2,3,1,on,4.410532681100994e-05,32,72.95880889892578,-3.1842472553253174,-0.5825608968734741,164,35.89093065261841,519.0231609344482,1688961094.3386767,1688961577.4705565,72.95880889892578,81.4600830078125,0.5825608968734741,79.29102325439453,66.41827392578125,48300.8671875,3.1842472553253174
Mish,0.2097986262830996,1,2,0,3,1,0,on,6.519849880842033e-05,13,79.97504425048828,-2.424539804458618,-0.3426195979118347,167,108.2532992362976,281.985253572464,1688961166.7010448,1688961340.4326282,79.97504425048828,80.52863311767578,0.3426195979118347,45.8876953125,87.761962890625,17360.849609375,2.424539804458618
