p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0618001618528263,3,4,4,1,4,3,on,5.905062995327224e-05,66,75.37230682373047,-2.460731029510498,-0.134004071354866,42,1691794005.3216736,1691794330.2554097,0.134004071354866,64703.72265625,2.460731029510498,15.213255882263184,75.37230682373047,75.20257568359375,74.9356460571289,False
Hardswish,0.0031320528792795,4,3,0,0,2,0,on,1.485578379838871e-05,27,57.66044998168945,-1.3007179498672483,-0.353127658367157,43,1691794005.325512,1691794080.9387517,0.353127658367157,14858.8173828125,1.3007179498672483,47.482887268066406,57.66044998168945,51.454227447509766,59.63115310668945,False
Mish,0.0469035340489464,0,1,3,3,2,2,off,7.487151549856333e-05,185,87.93030548095703,-2.914106607437134,-0.6006277203559875,44,1691794005.3296547,1691795105.7317927,0.6006277203559875,219812.421875,2.914106607437134,86.60755920410156,87.93030548095703,99.9463882446289,86.51596069335938,False
Hardswish,0.0056299421190095,0,1,2,3,2,3,off,0.00011291222572,49,81.32806396484375,-1.0776976346969604,-0.5892429351806641,45,1691794005.3334048,1691794136.7959774,0.5892429351806641,26024.83203125,1.0776976346969604,87.27762603759766,81.32806396484375,89.30561828613281,80.52816772460938,False
ReLU,0.0424501102200635,4,1,1,2,4,0,off,3.257689945119208e-05,197,73.50824737548828,-1.795652151107788,-0.3250711858272552,46,1691794005.3371546,1691794702.9340608,0.3250711858272552,139252.828125,1.795652151107788,42.82852554321289,73.50824737548828,93.24834442138672,70.51737213134766,False
Mish,0.0907054229165254,1,2,2,4,1,4,on,2.277064516092048e-05,12,70.26403045654297,-3.1442198753356934,-0.563396692276001,47,1691794005.340825,1691794078.583211,0.563396692276001,14388.529296875,3.1442198753356934,80.09908294677734,70.26403045654297,66.14375305175781,66.22603607177734,False
Mish,0.4250260207282985,4,1,2,3,1,2,off,1.4578393661004065e-05,81,81.17435455322266,-3.025634288787842,-0.5900702476501465,48,1691794005.3447416,1691794516.186827,0.5900702476501465,101903.6796875,3.025634288787842,84.08932495117188,81.17435455322266,89.89120483398438,81.61079406738281,False
Hardswish,0.0029812212372476,0,0,1,3,2,0,on,8.481572736002657e-05,98,79.52627563476562,-0.714500367641449,-0.3409141302108764,49,1691794005.3481927,1691794174.6628857,0.3409141302108764,33593.453125,0.714500367641449,46.76268005371094,79.52627563476562,76.70448303222656,79.314697265625,False
Mish,0.1975345860785251,4,4,1,0,1,4,on,0.0008785053473431,59,36.42213439941406,-2.093632698059082,-0.0592029057443141,50,1691794005.3519394,1691794281.0914676,0.0592029057443141,54874.33984375,2.093632698059082,7.7351393699646,36.42213439941406,45.10002136230469,39.18279266357422,False
ReLU,0.0347499075283299,3,1,2,4,0,1,on,0.0001213487506691,161,88.73214721679688,-1.2864367961883545,-0.3486205339431762,51,1691794005.3558495,1691794467.918188,0.3486205339431762,92250.53125,1.2864367961883545,48.157806396484375,88.73214721679688,94.67855834960938,87.87973022460938,False
