,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
64,ReLU,0.3684500574774498,1,3,0,0,0,0,on,0.0001692497175787801,199,94.20794677734375,-1.009101152420044,-0.12039300799369812,64,1688794682.7446203,1688795889.9185433,94.20794677734375,95.7900390625,0.12039300799369812,11.173357963562012,92.89513397216797,120705.0234375,1.009101152420044
65,ReLU,0.014397265870316506,1,3,0,0,0,0,on,0.000655454222456274,177,93.45668029785156,-1.0231318473815918,-0.11795460432767868,65,1688794724.8055239,1688795881.6021895,93.45668029785156,92.8489761352539,0.11795460432767868,10.854475021362305,93.07789611816406,115667.2890625,1.0231318473815918
66,ReLU,0.06435391738898638,1,3,0,0,0,0,on,0.00015879740024949613,98,91.36188507080078,-1.070802927017212,-0.11752232164144516,66,1688794726.99069,1688795429.3459086,91.36188507080078,91.29598999023438,0.11752232164144516,11.270577430725098,91.61096954345703,70223.140625,1.070802927017212
67,ReLU,0.09959371136643913,1,3,0,0,0,0,on,0.00016371238715223756,195,93.97758483886719,-1.0142871141433716,-0.11994770914316177,67,1688794750.152396,1688795969.405908,93.97758483886719,95.63480377197266,0.11994770914316177,11.225994110107422,93.60121154785156,121912.921875,1.0142871141433716
68,ReLU,0.08367213925672104,1,3,0,0,0,2,on,0.00026433663854925237,179,94.41654205322266,-1.1385383605957031,-0.3694162666797638,68,1688794795.339748,1688795730.5391839,94.41654205322266,96.13613891601562,0.3694162666797638,43.643314361572266,94.14904022216797,93507.5390625,1.1385383605957031
69,ReLU,0.10303127421671163,1,3,0,0,0,2,on,0.0002752127040518081,182,94.69403076171875,-1.1319456100463867,-0.37195053696632385,69,1688794846.294477,1688795851.7342472,94.69403076171875,96.18006134033203,0.37195053696632385,43.214786529541016,94.2640151977539,100531.59375,1.1319456100463867
70,ReLU,0.10559785284132162,1,3,0,0,0,2,on,0.0002885314507408559,196,94.76133728027344,-1.1141098737716675,-0.37227147817611694,70,1688794874.7079744,1688795961.164185,94.76133728027344,96.15010070800781,0.37227147817611694,43.34610366821289,93.7469482421875,108633.28125,1.1141098737716675
71,ReLU,0.10470761074046077,1,2,0,0,4,2,on,0.00019053038616099395,190,94.62033081054688,-1.716607928276062,-0.6130689382553101,71,1688794968.721749,1688796753.512438,94.62033081054688,96.48416900634766,0.6130689382553101,55.654762268066406,94.54808807373047,178466.703125,1.716607928276062
72,ReLU,0.10723730385239272,1,3,0,0,4,2,on,0.00019947281232570422,185,94.77181243896484,-1.5529956817626953,-0.3707195222377777,72,1688794978.5885365,1688796676.0082028,94.77181243896484,96.29878234863281,0.3707195222377777,43.919677734375,92.13079833984375,169729.59375,1.5529956817626953
73,ReLU,0.10718202661574049,1,3,0,0,4,2,on,0.00023006124611384026,198,94.57347106933594,-1.542368769645691,-0.3710726201534271,73,1688794985.246236,1688796728.4359145,94.57347106933594,96.07723999023438,0.3710726201534271,43.772396087646484,90.73497009277344,174315.640625,1.542368769645691
