,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
108,Mish,0.1472876041849264,2,0,2,2,0,2,off,0.0004963116604985,89.8353271484375,-3.2521677017211914,107,3.785203456878662,3.808219194412231,1688083367.9576695,1688083367.9805417
109,Hardswish,0.0287767223645104,0,4,0,0,4,0,on,0.0001859562065608,63.92205429077149,-1.4382367134094238,108,3.7867701053619385,3.8099827766418457,1688083367.9592402,1688083367.982291
110,Hardswish,0.1242762745921531,0,0,0,0,0,0,on,4.679160319411345e-05,70.29029083251953,-0.3234527707099914,109,3.841480255126953,3.865087747573853,1688083368.0139468,1688083368.037403
111,Hardswish,0.6418082721690956,0,0,0,0,2,0,on,0.0002279611676098,82.67708587646484,-0.5605483651161194,110,3.853015661239624,3.8766543865203857,1688083368.0254855,1688083368.0489633
112,Mish,0.0395526297606569,0,3,0,2,1,0,on,0.0002653476328957,88.13560485839844,-1.8044666051864624,119,4.165515422821045,4.188658714294434,1688083368.3379838,1688083368.3608708
113,Hardswish,0.0065656188228388,0,0,0,0,2,0,on,0.0001849213446064,78.60681915283203,-0.520554780960083,112,4.001978158950806,4.024225950241089,1688083368.174441,1688083368.19656
114,Mish,0.0171497605946082,2,2,2,4,0,4,on,0.0001250599139552,88.44139862060547,-3.774212121963501,113,4.006162643432617,4.028985977172852,1688083368.1786263,1688083368.201314
115,Mish,0.0703100774256423,2,2,1,1,0,3,on,0.0005068628265361,90.52642822265624,-2.435555458068848,114,4.03758978843689,4.0598907470703125,1688083368.2100525,1688083368.232224
116,Hardswish,0.0695138128469014,0,0,0,1,1,0,off,0.0002011271483156,79.95556640625,-0.3596777319908142,115,4.039171457290649,4.061403512954712,1688083368.211634,1688083368.233739
117,Hardswish,0.0246005250760674,0,4,1,0,1,0,on,0.0004092683283427,77.72920227050781,-0.8110524415969849,116,4.043729305267334,4.065965414047241,1688083368.2161915,1688083368.2382967
118,Hardswish,0.089004962885185,2,0,0,4,1,0,on,0.0002660675869871,86.67323303222656,-1.143166422843933,117,4.100499868392944,4.123091697692871,1688083368.2729623,1688083368.2954245
119,Hardswish,0.0500148083250078,1,0,0,0,1,1,on,0.0002716496382594,82.95722961425781,-0.3612093031406402,118,4.112177848815918,4.135202646255493,1688083368.284643,1688083368.3075275
120,Mish,0.2707898376195948,0,0,0,0,1,0,off,0.0001579831518641,77.22454071044922,-0.7280595898628235,127,4.429085731506348,4.452121734619141,1688083368.6015525,1688083368.624339
121,Mish,0.1052293199969086,2,2,2,1,0,3,on,4.690142182838424e-05,90.1872787475586,-3.1824684143066406,120,4.253503084182739,4.2754504680633545,1688083368.4259653,1688083368.4477727
122,Mish,0.1660166858852798,2,1,2,2,0,4,on,0.000440911325655,90.21669006347656,-3.113889217376709,121,4.2583324909210205,4.280884265899658,1688083368.4307957,1688083368.4532137
123,Mish,0.1138071839427561,2,2,2,2,2,3,on,0.0005027340034278,91.16650390625,-4.683468341827393,122,4.289973020553589,4.312236547470093,1688083368.4624352,1688083368.484568
124,Hardswish,0.0127008858464466,0,1,0,2,1,0,on,0.0009883027940603,87.72787475585938,-0.5597633123397827,123,4.293860673904419,4.315873861312866,1688083368.466323,1688083368.4882092
125,ReLU,0.2005891845385676,2,2,1,4,0,1,on,0.0005245045707646,88.40567016601562,-1.3946975469589231,124,4.298098087310791,4.320204019546509,1688083368.4705603,1688083368.492539
126,Mish,0.1624349845171024,0,2,2,2,0,3,off,0.0004714415335604,89.65640258789062,-3.3104090690612797,125,4.358049631118774,4.380471467971802,1688083368.530512,1688083368.552801
127,Hardswish,0.0300785643570332,1,4,0,0,1,0,on,0.0003987549999758,77.17724609375,-0.8364890217781067,126,4.371737718582153,4.394708871841431,1688083368.5442116,1688083368.5670347
128,Mish,0.0374184822922793,2,2,2,3,2,2,on,0.0005075520688187,91.07291412353516,-4.604342460632324,135,4.694148778915405,4.717175722122192,1688083368.866616,1688083368.889396
129,Mish,0.1928016641827316,1,3,2,1,1,3,on,0.0007412977581359,90.01112365722656,-2.3188960552215576,128,4.506878852844238,4.528639316558838,1688083368.679341,1688083368.7009704
130,Mish,0.1977630716701866,0,1,4,2,1,3,on,0.0005473815732515,87.90007019042969,-2.3188669681549072,129,4.512019872665405,4.534443616867065,1688083368.684482,1688083368.7067745
131,Hardswish,0.8031463672925728,2,1,0,0,1,1,on,0.0004644211123148,86.02721405029297,-0.6877613067626953,130,4.545852184295654,4.5681633949279785,1688083368.7183142,1688083368.7404974
132,Hardswish,0.6681526317913979,3,1,0,1,1,0,on,0.0004653154876716,85.7270278930664,-0.5755529999732971,131,4.549349784851074,4.571307182312012,1688083368.7218115,1688083368.743643
133,Mish,0.0749019880015804,2,2,2,3,2,4,off,0.0009860398493117,89.09021759033203,-4.546164512634277,132,4.55512285232544,4.577377080917358,1688083368.7275853,1688083368.7497077
134,Mish,0.1573288610698304,3,4,2,2,2,3,on,0.0006372485260142,90.5321807861328,-4.395418167114258,133,4.6164281368255615,4.638913154602051,1688083368.7888896,1688083368.8112469
