,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,valid-loss,latency
0,0.9161045918874717,0.0004013123229862066,ReLU,off,1.0,1.0,0.0,1.0,1.0,0.0,17.85082244873047,0.4381166994571686
1,0.7236373613262359,0.0009035888922320856,ReLU,off,1.0,2.0,0.0,2.0,0.0,2.0,14.538688659667969,1.6048985719680786
2,0.515472437538678,0.0007984407299081024,Hardswish,on,1.0,2.0,0.0,1.0,3.0,2.0,10.021049499511719,1.044711709022522
3,0.5717009183210606,0.00042802195024169853,ReLU,on,3.0,1.0,3.0,3.0,0.0,1.0,13.614639282226562,0.8120077848434448
4,0.4452415740503316,0.00047259759232749283,Hardswish,on,2.0,3.0,0.0,1.0,3.0,2.0,9.008918762207031,1.1362437009811401
5,0.8021747756166046,0.0007911258805619238,ReLU,on,1.0,1.0,2.0,1.0,0.0,1.0,15.087600708007812,0.634655773639679
6,0.7788472074608694,0.0005232944383629651,Mish,on,3.0,2.0,2.0,3.0,0.0,2.0,9.324028015136719,3.6343634128570557
7,0.36051623560047436,0.00012684334469982157,ReLU,on,1.0,1.0,0.0,0.0,0.0,3.0,13.989631652832031,0.5414371490478516
8,0.8242195331641856,0.0005177810483829002,ReLU,on,0.0,2.0,3.0,2.0,0.0,3.0,10.900726318359375,1.0218206644058228
9,0.23042964627759951,0.00066437612191501,ReLU,off,1.0,2.0,0.0,0.0,0.0,2.0,9.589324951171875,0.8491382002830505
10,0.578538119490212,0.0004312914454252583,Hardswish,on,2.0,0.0,2.0,2.0,1.0,1.0,11.56402587890625,1.1360526084899902
11,0.6379801587470608,0.00019355329612614244,ReLU,on,3.0,0.0,1.0,0.0,0.0,3.0,12.15740966796875,0.63460773229599
12,0.6762509757206159,0.0006086062711052868,Hardswish,on,3.0,2.0,3.0,2.0,3.0,0.0,11.078598022460938,1.2716867923736572
13,0.3815388474405284,0.0009161820928286279,Mish,on,2.0,3.0,2.0,0.0,3.0,1.0,10.386360168457031,3.000929355621338
14,0.8364286356630373,1.3565606242538683e-05,ReLU,on,1.0,3.0,1.0,2.0,3.0,3.0,16.791000366210938,1.0833966732025146
15,0.9632041368670073,0.0009412895407980525,ReLU,off,2.0,0.0,0.0,2.0,3.0,2.0,12.714889526367188,2.691699981689453
16,0.03770209046942881,0.0008105087504660448,Mish,on,1.0,2.0,3.0,0.0,2.0,3.0,9.826332092285156,2.9474737644195557
17,0.9221584233592276,0.000758909363353708,Mish,on,1.0,3.0,1.0,0.0,0.0,2.0,21.330810546875,2.1498818397521973
18,0.4748448265817798,9.674711803016248e-05,Mish,on,2.0,2.0,1.0,3.0,3.0,3.0,9.491073608398438,3.4205269813537598
19,0.2430164070777139,0.0009888631150279416,ReLU,on,3.0,2.0,2.0,3.0,1.0,2.0,9.942588806152344,1.3219752311706543
20,0.7418135102740847,0.0007406568373728971,ReLU,on,1.0,1.0,2.0,3.0,3.0,2.0,16.55870819091797,1.2430739402770996
21,0.8985076148996645,0.00011064371469311585,Hardswish,on,0.0,0.0,0.0,0.0,0.0,3.0,13.864845275878906,0.4457496702671051
22,0.7861039718156735,3.201707295457073e-05,Hardswish,on,0.0,0.0,1.0,2.0,2.0,0.0,11.774482727050781,0.8869994282722473
23,0.8924948025881831,0.0005854091199828845,ReLU,on,2.0,2.0,2.0,1.0,2.0,2.0,11.414680480957031,1.5005890130996704
24,0.7096330981409323,0.000912145714941554,Hardswish,off,2.0,1.0,1.0,2.0,2.0,2.0,27.23906707763672,1.8829060792922974
25,0.7368807785889604,0.0007169830498838069,Hardswish,on,3.0,2.0,0.0,2.0,1.0,2.0,9.629249572753906,1.2979062795639038
26,0.6611657658599489,0.0007858599695473647,ReLU,on,1.0,1.0,3.0,0.0,0.0,3.0,21.698638916015625,0.6832001209259033
27,0.4229626799070393,0.0006696015653362802,Hardswish,on,2.0,0.0,3.0,3.0,1.0,0.0,11.0364990234375,0.9412280917167664
28,0.7828855771350383,0.0008934139264656246,ReLU,off,3.0,2.0,3.0,3.0,0.0,3.0,21.940963745117188,1.285637378692627
29,0.6732797798786067,0.00033703564432498775,Mish,off,0.0,0.0,1.0,1.0,1.0,0.0,18.1551513671875,0.8253422379493713
30,0.40249101006328675,0.00044223908025512826,Hardswish,off,0.0,2.0,1.0,1.0,2.0,1.0,15.041366577148438,0.8785403370857239
31,0.1362627322581028,0.000278284792220964,ReLU,on,3.0,1.0,2.0,1.0,2.0,2.0,9.663330078125,1.211073875427246
32,0.871923801097926,4.836651991052397e-05,Mish,off,1.0,2.0,1.0,3.0,1.0,0.0,16.011032104492188,1.8120397329330444
33,0.9465585346756842,0.0005553527845223119,Mish,off,0.0,1.0,0.0,0.0,0.0,0.0,24.39044952392578,0.786426305770874
34,0.02624154591285982,0.0005536181544050819,Hardswish,off,3.0,3.0,0.0,3.0,2.0,1.0,11.897163391113281,0.9420650005340576
35,0.6456426296105129,0.0006863924612789355,ReLU,off,1.0,0.0,0.0,0.0,3.0,0.0,24.399490356445312,0.5388221740722656
36,0.06654111056142499,0.0005692223525080809,ReLU,on,2.0,2.0,2.0,1.0,2.0,3.0,8.913490295410156,1.386772871017456
37,0.4785916003419116,5.616689226377188e-05,Hardswish,off,0.0,2.0,2.0,2.0,0.0,3.0,11.217903137207031,1.1060268878936768
38,0.8328862185208609,0.00017817496483573265,Hardswish,on,1.0,2.0,2.0,2.0,0.0,0.0,10.779586791992188,1.074705719947815
