p:x0,p:x1,p:x2,p:x3,p:x4,p:x5,p:x6,p:x7,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
0.3733462036639725,0.25091160596621126,0.943523223449998,0.7371762865435287,0.19059714566031155,0.5382307552798331,0.32342568908261143,0.39565512344599696,"[-527.5487473708055, -219.40340376358034, -379.62342201096953]",2,0.09202790260314941,0.0923612117767334,1682463152.9213293,1682463152.921412
0.8759632719915663,0.3840168784955935,0.5061507947692122,0.2114516041667676,0.9232440076261332,0.7360087490183957,0.2379232544348713,0.3248678944381577,"[-95.5706664563097, -65.83509690732173, -588.0806896516551]",0,0.09195542335510254,0.0923013687133789,1682463152.9212549,1682463152.9213393
0.39223874582572626,0.33709414628659057,0.1260368743671362,0.18830874564624395,0.017966169079898012,0.9757782690022386,0.06611566828031003,0.1966718848812004,"[-379.2172545339579, -221.93839471175897, -311.12162071455055]",1,0.09202098846435548,0.09236454963684082,1682463152.9213195,1682463152.921409
0.8515681593141323,0.4875117609535587,0.1295176127879271,0.0597758170426126,0.8907303479106444,0.461839901395244,0.26020477540305237,0.994861420065148,"[-127.387115545262, -122.48487776034612, -744.1631257187248]",3,0.0920259952545166,0.09237837791442872,1682463152.9213278,1682463152.9214134
0.8906659737390553,0.2103994695861458,0.33260403376089726,0.14238995734783214,0.9113528949743268,0.564516837808252,0.5522465872441679,0.22731546377966289,"[-141.52313856110948, -48.553435239436, -862.6126416613711]",4,0.09213757514953612,0.092789888381958,1682463152.9214635,
0.19171834406421345,0.045415320783866016,0.8491923635121772,0.8568726760518663,0.736289149690802,0.8351223726607123,0.7828691598178102,0.7549270307033048,"[-971.864656360106, -69.44894558654192, -302.628228719273]",5,0.09211015701293944,0.09262490272521973,1682463152.9214172,1682463152.921532
0.6526763465453839,0.2259859211605071,0.1065040632659551,0.8524430593692326,0.7127192091544221,0.6658291369916505,0.9973501743030406,0.90522521496472,"[-231.5408953467601, -85.82756604102175, -406.79234536655287]",6,0.09210443496704102,0.09264063835144044,1682463152.9214096,1682463152.9215574
0.9339867862214074,0.5740130838050908,0.7189734430563302,0.8448585004883629,0.5217588766460494,0.17470444093764673,0.366052086807356,0.4155989851882336,"[-42.88562028653468, -54.227030534281575, -664.3412831938144]",7,0.09209656715393066,0.09267330169677734,1682463152.9214025,1682463152.9215367
0.6590559913942009,0.5200718687393643,0.615470554347953,0.34916297993929896,0.2440465614373833,0.7365172282902481,0.7047958180217282,0.4414748479262668,"[-284.5306950395885, -303.0629697483232, -700.534133208411]",8,0.15143299102783203,0.15169119834899902,1682463152.9807265,1682463152.980791
0.39649389499265086,0.23494494690275564,0.6788508938210132,0.05724311626445112,0.37815213127438785,0.3924404670912679,0.3742041012211809,0.1511129562471675,"[-531.960019329478, -205.74692472296368, -409.6122863506219]",10,0.15180420875549316,0.15206265449523926,1682463152.9810965,
0.3063425819655859,0.599048191757754,0.5436216273841766,0.22944492453321735,0.1898133668705559,0.7282443423661468,0.07721041698524768,0.6911009373477454,"[-316.36254894414947, -434.06946030342954, -280.45326071977206]",11,0.1517925262451172,0.1520545482635498,1682463152.981084,
0.792159528348945,0.36532750129755626,0.913560114272566,0.40924462681375784,0.039507992077103433,0.02832611262738017,0.3088736585520944,0.8128390047341356,"[-127.1583416045984, -82.19781973184985, -447.1837523371211]",9,0.1517128944396973,0.15196895599365234,1682463152.981006,1682463152.981069
0.9459584091227514,0.5823083850893882,0.20286730979072026,0.8653218141533855,0.6395314290115239,0.001984489638225992,0.4956644026772957,0.2679696700105075,"[-27.951545381824545, -36.305985234068785, -538.4632256091759]",18,0.4248175621032715,0.42510318756103516,1682463153.2541163,1682463153.2541835
0.19959610415195855,0.8242016407249422,0.9261503489055912,0.02278750771358107,0.08043555021969374,0.8270357858213611,0.3677725859868272,0.326008700692548,"[-180.98834269093996, -638.6694024209651, -215.22228132210873]",12,0.15331315994262695,0.15356898307800293,1682463152.9826045,1682463152.9826655
0.856174573872598,0.3744453368550484,0.9392849229410466,0.6193983222826028,0.8805843129308885,0.2184666011593235,0.0742859699318157,0.14110865651898033,"[-136.7597299070391, -91.20767894804916, -715.1969161961583]",13,0.1535484790802002,0.1538088321685791,1682463152.982839,1682463152.9828992
0.49941568906664,0.0016141740120397825,0.6743955864518806,0.9623770443772348,0.07538869871304978,0.5400932372038466,0.8279796318357614,0.390781329402102,"[-526.8081406424169, -1.335745242575845, -525.8436731698752]",14,0.1544818878173828,0.1547544002532959,1682463152.9837754,1682463152.9838445
0.6276322270638307,0.4927480085983782,0.28557061866724937,0.23661308534847653,0.23419946014206755,0.14901895177318783,0.1331757577734162,0.7610398959014516,"[-370.23258350552646, -361.89229434664503, -781.8073032305707]",15,0.15603184700012207,0.1563575267791748,1682463152.98533,1682463152.98544
0.9953454836368696,0.6906109424807065,0.794942541470159,0.9208458582513376,0.19374077023164607,0.1046334799183162,0.3490707175893616,0.239724800899627,"[-1.8174973440561888, -3.4406354717861096, -532.2050133739872]",16,0.4157905578613281,0.41605257987976074,1682463153.2450836,1682463153.2451446
0.7111209948841858,0.4121412608533678,0.9750504337542292,0.09447891287571088,0.0,0.0,0.0,0.9810519263385628,"[-107.23294446544791, -81.07820354837384, -275.64201125229346]",17,0.420778751373291,0.42104458808898926,1682463153.2500715,1682463153.2501335
0.9390320788832728,0.7624308621224127,0.8330959110567266,0.8074540328679761,0.0,0.0,0.0,0.9658527921133366,"[-15.062834859138958, -38.47293470143947, -430.1025487966655]",26,0.6615462303161621,0.6618735790252686,1682463153.4908464,1682463153.490914
