p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
ReLU,0.013111367639158,1,3,4,2,2,2,off,0.0004059359865341,145,85.07329559326172,-1.78572416305542,-0.8083398342132568,23,1691698233.667297,1691698828.904034,0.8083398342132568,118846.9765625,1.78572416305542,118.1574249267578,85.07329559326172,99.45951080322266,83.53754425048828,False
ReLU,0.0347499075283299,3,1,2,4,0,1,on,0.0001213487506691,161,88.73214721679688,-1.2864367961883545,-0.3486205339431762,24,1691698233.673988,1691698696.081819,0.3486205339431762,92250.53125,1.2864367961883545,48.157806396484375,88.73214721679688,94.67855834960938,87.87973022460938,False
Hardswish,0.1248721295507235,2,4,3,1,3,4,on,2.928672494438647e-05,64,81.26937103271484,-2.125993013381958,-0.3622858226299286,25,1691698233.166777,1691698516.9313955,0.3622858226299286,56503.27734375,2.125993013381958,50.86433792114258,81.26937103271484,83.87891387939453,80.01934814453125,False
Hardswish,0.004539827048623,1,2,3,1,1,2,on,0.0001030806883378,116,86.88639831542969,-1.0026123523712158,-0.5760689973831177,26,1691698233.6904335,1691698511.382228,0.5760689973831177,55372.703125,1.0026123523712158,82.94053649902344,86.88639831542969,93.05970764160156,86.92906188964844,False
ReLU,0.0064408673528938,2,2,3,3,4,3,off,1.895305102881716e-05,67,81.89806365966797,-1.8217947483062744,-0.6413781046867371,27,1691698233.6939266,1691698520.8091211,0.6413781046867371,57314.75,1.8217947483062744,91.21437072753906,81.89806365966797,92.83372497558594,80.38206481933594,False
Hardswish,0.0175071172034746,4,3,3,1,3,0,off,0.000191919383361,38,76.11572265625,-1.30008065700531,-0.153208389878273,28,1691698233.7047362,1691698347.1496804,0.153208389878273,22546.7109375,1.30008065700531,19.4459228515625,76.11572265625,86.69577026367188,78.41887664794922,False
Hardswish,0.759519928565447,3,0,1,2,4,2,off,3.793075064218521e-05,78,79.50161743164062,-1.615491271018982,-0.5751479268074036,29,1691698233.711764,1691698519.3384783,0.5751479268074036,56918.125,1.615491271018982,82.56407165527344,79.50161743164062,91.27555847167967,81.07808685302734,False
ReLU,0.0068552345327922,3,0,2,2,4,0,off,2.4121862780771643e-05,46,80.70748901367188,-1.5912420749664309,-0.5658290982246399,30,1691698233.7227511,1691698397.2215064,0.5658290982246399,32556.982421875,1.5912420749664309,82.72865295410156,80.70748901367188,90.6133270263672,80.36630249023438,False
Hardswish,0.4542422772171114,2,2,2,3,4,0,off,5.433851753406544e-05,100,81.90277099609375,-1.8567641973495483,-0.8220760226249695,31,1691698233.739117,1691698641.3436532,0.8220760226249695,81327.1328125,1.8567641973495483,118.98333740234376,81.90277099609375,92.50787353515624,82.11650085449219,False
Mish,0.0414216809603919,4,3,1,1,1,0,on,0.0003185239583434,151,83.02213287353516,-1.7385249137878418,-0.1074607744812965,32,1691698233.7455106,1691698745.0659363,0.1074607744812965,102072.5859375,1.7385249137878418,11.483481407165527,83.02213287353516,85.20040893554688,83.92552185058594,False
Mish,0.2575246091418547,3,3,3,3,0,0,on,2.08511704231197e-05,185,87.8705062866211,-2.7635772228240967,-0.179616630077362,33,1691698233.670328,1691699207.7976706,0.179616630077362,194616.84375,2.7635772228240967,24.197093963623047,87.8705062866211,93.34068298339844,87.07279205322266,False
Hardswish,0.0048122754426336,2,4,4,1,4,0,on,0.000440722076547,101,74.4096450805664,-2.41506028175354,-0.3308290839195251,34,1691698233.687781,1691698738.5041962,0.3308290839195251,100817.4453125,2.41506028175354,43.62448120117188,74.4096450805664,75.08103942871094,74.40913391113281,False
ReLU,0.0190789902789343,0,4,4,0,0,4,on,0.0004541005654343,103,45.30817413330078,-2.070497989654541,-0.0611218102276325,35,1691698233.6840274,1691698670.6582923,0.0611218102276325,87171.1796875,2.070497989654541,7.686025142669678,45.30817413330078,46.50718688964844,42.220340728759766,False
ReLU,0.1011061249584716,1,0,3,2,0,1,on,5.964868712912288e-05,64,79.2183609008789,-0.7618446946144104,-0.3477568328380584,36,1691698233.6980035,1691698347.1932805,0.3477568328380584,22463.546875,0.7618446946144104,47.1291389465332,79.2183609008789,80.90724182128906,78.46308135986328,False
ReLU,0.1444980348890255,3,1,1,1,1,3,on,0.0001072211837241,64,18.93083381652832,-0.7451454997062683,-0.1347366869449615,37,1691698233.7085392,1691698345.0573618,0.1347366869449615,22035.826171875,0.7451454997062683,15.571041107177734,18.93083381652832,27.632848739624023,16.390199661254883,False
