p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.0019185669498508057,2,4,2,0,1,2,off,1.0402249319594583e-05,126,82.15464782714844,-1.7210609912872314,-0.7874909043312073,28,0.43624162673950195,494.2118544578552,1692098702.1340673,1692099195.9089546,0.7874909043312073,95875.1875,1.7210609912872314,116.27216339111328,82.15464782714844,97.9920425415039,80.88957977294922
Hardswish,0.009791071214593206,4,2,3,3,2,0,on,2.0120460533381372e-05,5,50.96083450317383,-1.6373534202575684,-0.5853650569915771,0,0.34247517585754395,33.4050190448761,1692098702.0403297,1692098735.1016755,0.5853650569915771,3728.37841796875,1.6373534202575684,88.4541015625,50.96083450317383,48.37054443359375,50.73914337158203
Mish,0.00561456901111917,4,4,1,2,2,3,on,4.72846784642464e-05,18,61.09812545776367,-3.966778755187988,-0.5617691874504089,100,0.5528779029846191,156.95324754714966,1692098702.2507014,1692098858.650602,0.5617691874504089,28423.986328125,3.966778755187988,82.13723754882812,61.09812545776367,57.30549240112305,60.83167266845703
Mish,0.030770298880777956,2,2,2,2,0,3,on,1.0178908355733414e-05,45,85.22859954833984,-4.042136192321777,-1.0467125177383425,101,0.5541155338287354,381.7634198665619,1692098702.2519393,1692099083.4607832,1.0467125177383425,73385.359375,4.042136192321777,140.8749542236328,85.22859954833984,87.78177642822266,84.22107696533203
ReLU,0.005308812172549681,0,1,3,4,3,1,off,0.0003000700687190616,55,75.81507873535156,-1.190235614776611,-0.1317211389541626,103,0.5581271648406982,149.1024911403656,1692098702.2559516,1692098850.799122,0.1317211389541626,26852.55859375,1.190235614776611,15.872628211975098,75.81507873535156,81.32257843017578,75.44297790527344
ReLU,0.009524242969416926,0,4,1,3,0,2,on,0.00011929624124338716,111,83.72086334228516,-1.2403721809387207,-0.3387065529823303,106,0.5636336803436279,320.0810716152191,1692098702.261458,1692099021.7774794,0.3387065529823303,61047.43359375,1.2403721809387207,48.386470794677734,83.72086334228516,86.08303833007812,84.11681365966797
Mish,0.0017481974010807096,1,3,1,4,0,4,off,1.534167576372652e-05,94,69.8974838256836,-2.352220296859741,-0.11096879839897156,107,0.5653347969055176,443.7736713886261,1692098702.263161,1692099145.4711318,0.11096879839897156,85776.328125,2.352220296859741,11.607843399047852,69.8974838256836,76.40682983398438,71.28185272216797
Hardswish,0.14116749386993685,1,1,4,1,0,1,off,1.2401734829893776e-05,140,65.16802978515625,-0.8822728991508484,-0.05703278258442879,108,0.567213773727417,260.11282873153687,1692098702.265041,1692098961.8092716,0.05703278258442879,49053.828125,0.8822728991508484,7.705760478973389,65.16802978515625,75.74166107177734,65.88092803955078
Hardswish,0.4059818124004002,0,3,4,1,3,4,on,4.190795977771236e-05,67,70.83499908447266,-1.7923768758773804,-0.13677024841308594,109,0.5686788558959961,261.1498363018036,1692098702.2665062,1692098962.8471851,0.13677024841308594,49277.45703125,1.7923768758773804,15.853266716003418,70.83499908447266,72.48544311523438,74.29795837402344
Hardswish,0.0703826926771107,0,1,0,0,3,3,on,0.00024303518368725083,43,78.53910064697266,-0.5845519304275513,-0.13108938932418823,110,0.570451021194458,79.53766202926636,1692098702.2682762,1692098781.2350197,0.13108938932418823,12947.3017578125,0.5845519304275513,15.67277717590332,78.53910064697266,78.38671112060547,79.34789276123047
Mish,0.002054840243291092,3,4,0,2,4,1,off,1.6149993086904558e-05,1,28.011587142944336,-3.005558490753174,-0.35363101959228516,112,0.5741620063781738,20.651997566223145,1692098702.2719865,1692098722.348251,0.35363101959228516,1180.168701171875,3.005558490753174,45.88916015625,28.011587142944336,22.01632499694824,27.079389572143555
Mish,0.00535546860776037,4,3,3,2,4,0,off,0.00020476501319605808,19,62.82936096191406,-3.805975914001465,-0.3674532175064087,114,0.5783646106719971,160.71880960464478,1692098702.276192,1692098862.4153514,0.3674532175064087,29175.72265625,3.805975914001465,50.92485809326172,62.82936096191406,74.74519348144531,66.93694305419922
Mish,0.00792353022182909,4,3,1,2,4,3,off,0.0007860147367910708,30,70.45640563964844,-3.610310077667236,-0.3683870732784271,116,0.582237720489502,245.60794711112976,1692098702.2800612,1692098947.3053043,0.3683870732784271,46153.66796875,3.610310077667236,52.159881591796875,70.45640563964844,74.36100769042969,72.7210464477539
ReLU,0.06082534410336984,1,2,1,1,4,0,on,0.0004885390893454947,142,85.57038116455078,-1.214663863182068,-0.3310411870479584,117,0.5846619606018066,375.71900177001953,1692098702.2824893,1692099077.4163504,0.3310411870479584,72187.328125,1.214663863182068,44.8934440612793,85.57038116455078,89.97149658203125,85.86042785644531
Hardswish,0.0785374802006254,1,0,4,1,1,3,on,0.0006957353469409267,170,83.4111099243164,-1.0647084712982178,-0.11328989267349245,120,0.59023118019104,394.808406829834,1692098702.2880616,1692099096.5057068,0.11328989267349245,75993.5703125,1.0647084712982178,11.533082008361816,83.4111099243164,88.57833862304688,82.68307495117188
ReLU,0.8920912444951379,1,2,1,2,3,1,off,0.0002510127477025048,151,11.55318546295166,-1.0945498943328855,-0.5764022469520569,121,0.591374397277832,387.4220006465912,1692098702.2892,1692099089.1193488,0.5764022469520569,74514.6640625,1.0945498943328855,80.84380340576172,11.55318546295166,9.560626029968262,10.24980354309082
Hardswish,0.01144339046999072,1,4,0,1,0,0,off,0.0005018547305646209,138,69.69469451904297,-0.8657062649726868,-0.06578157842159271,122,0.5939161777496338,237.6891689300537,1692098702.2917442,1692098939.3865256,0.06578157842159271,44569.88671875,0.8657062649726868,7.817487716674805,69.69469451904297,79.9134521484375,69.88961791992188
Hardswish,0.003583687806493792,2,1,4,0,3,0,on,1.1208471224090484e-05,117,83.88615417480469,-1.269098162651062,-0.34498855471611023,123,0.594402551651001,349.014098405838,1692098702.2922266,1692099050.7114544,0.34498855471611023,66833.578125,1.269098162651062,47.6401481628418,83.88615417480469,86.00133514404297,83.69877624511719
ReLU,0.001280725409323882,0,0,2,0,3,0,off,6.0815434445859536e-05,17,45.656002044677734,-0.7507449388504028,-0.3320346176624298,124,0.5968801975250244,45.27820324897766,1692098702.2947028,1692098746.974625,0.3320346176624298,6100.88671875,0.7507449388504028,47.42593765258789,45.656002044677734,42.244510650634766,42.126651763916016
ReLU,0.2845475115512692,2,2,1,4,3,0,on,1.841899058435929e-05,61,81.35205078125,-1.611356258392334,-0.5868458151817322,125,0.5997042655944824,221.2226846218109,1692098702.2975316,1692098922.920172,0.5868458151817322,41276.4375,1.611356258392334,83.24423217773438,81.35205078125,84.2598876953125,81.89441680908203
Hardswish,0.437340404615682,2,2,3,0,3,2,on,4.912126716406023e-05,110,86.91390991210938,-1.3077948093414309,-0.8436646461486816,128,0.6048896312713623,380.06785440444946,1692098702.3027134,1692099081.765224,0.8436646461486816,73045.125,1.3077948093414309,120.27337646484376,86.91390991210938,91.63089752197266,87.03553771972656
Hardswish,0.32247365064972966,0,3,2,1,0,4,off,0.0002180765219910872,143,84.30728912353516,-1.2628870010375977,-0.34242793917655945,129,0.6074221134185791,401.45508313179016,1692098702.305249,1692099103.1523771,0.34242793917655945,77322.8515625,1.2628870010375977,46.741329193115234,84.30728912353516,95.64574432373048,84.52668762207031
ReLU,0.08232570149648302,4,3,3,0,1,3,on,7.876544326472364e-05,127,84.50874328613281,-1.3202128410339355,-0.15649358928203583,130,0.609311580657959,392.4505162239074,1692098702.3071356,1692099094.1478732,0.15649358928203583,75520.640625,1.3202128410339355,20.072364807128903,84.50874328613281,89.77339172363281,84.82245635986328
Hardswish,0.04939949980831959,0,3,2,2,2,2,on,2.599568590445693e-05,11,72.78410339355469,-1.4101791381835938,-1.0162508487701416,131,0.6111533641815186,52.35126996040344,1692098702.30898,1692098754.04765,1.0162508487701416,7513.40576171875,1.4101791381835938,145.7458953857422,72.78410339355469,72.1435546875,72.60678100585938
Mish,0.3149480265499321,1,2,3,0,0,0,off,9.116109826612526e-05,99,83.60196685791016,-1.7412705421447754,-0.3398570716381073,133,0.6144368648529053,353.76692509651184,1692098702.3122602,1692099055.4634328,0.3398570716381073,67786.3984375,1.7412705421447754,47.11786651611328,83.60196685791016,93.58381652832033,83.72374725341797
ReLU,0.33813417612853836,2,4,1,0,0,0,off,9.98886193509324e-05,39,72.98426055908203,-1.1871055364608765,-0.34027233719825745,134,0.6159839630126953,99.51574969291688,1692098702.3138092,1692098801.2131205,0.34027233719825745,16937.677734375,1.1871055364608765,43.56410598754883,72.98426055908203,83.19745635986328,74.68694305419922
Hardswish,0.012657857652627828,1,2,3,2,3,2,on,1.3164671431353275e-05,22,79.60227966308594,-1.3593883514404297,-0.8392108678817749,135,0.6178736686706543,87.82360076904297,1692098702.315697,1692098789.520925,0.8392108678817749,14601.171875,1.3593883514404297,124.19171142578124,79.60227966308594,80.42442321777344,79.3447265625
Mish,0.003011458393177578,1,1,1,4,2,4,off,0.0008382643608346866,77,10.19078540802002,-2.2885677814483643,-0.31862491369247437,136,0.6199796199798584,366.61780166625977,1692098702.3178036,1692099068.314286,0.31862491369247437,70354.453125,2.2885677814483643,43.48958587646485,10.19078540802002,11.654858589172363,10.74234104156494
Hardswish,0.0017612930811714334,1,0,3,0,3,4,off,2.3913407382325332e-05,51,65.56268310546875,-1.254823923110962,-0.13448768854141235,138,0.6234166622161865,147.8182315826416,1692098702.321241,1692098849.515587,0.13448768854141235,26596.291015625,1.254823923110962,15.384559631347656,65.56268310546875,71.44319915771484,68.84601593017578
