p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.6001379481130266,4,2,0,1,2,2,on,0.0002168089963941077,192,93.91840362548828,-1.6680001020431519,-0.674471914768219,58,0.5141429901123047,2644.455065011978,1688938630.9588478,1688941274.8987024,93.91840362548828,97.23131561279297,0.674471914768219,89.65267944335938,93.30904388427734,264076.0,1.6680001020431519
Mish,0.47258342961506106,4,1,0,0,0,3,on,0.0008619766571029615,15,59.77653503417969,-1.9868656396865845,-0.09968607872724532,0,0.4040958881378174,149.46678829193115,1688938630.8488028,1688938779.9095874,59.77653503417969,68.54052734375,0.09968607872724532,12.614638328552246,67.14778137207031,14544.7529296875,1.9868656396865845
ReLU,0.9154095340783184,1,0,0,0,0,3,on,0.0006432878697376582,129,74.38948059082031,-1.0419561862945557,-0.12257766723632812,1,0.4060084819793701,659.0370452404022,1688938630.8507152,1688939289.4810529,74.38948059082031,56.080299377441406,0.12257766723632812,9.209945678710938,53.603492736816406,65502.55859375,1.0419561862945557
Hardswish,0.4027266333164515,4,0,1,4,0,1,off,0.0006964862591567427,26,22.980297088623047,-1.6506173610687256,-0.08002369105815887,10,0.43787336349487305,238.8467092514038,1688938630.882574,1688938869.2898123,22.980297088623047,81.34725952148438,0.08002369105815887,9.573809623718262,43.39534759521485,23488.890625,1.6506173610687256
Hardswish,0.1372049312080714,1,1,2,3,4,1,off,0.0002544071605766246,129,92.841552734375,-1.8060001134872437,-0.34339582920074463,100,0.5620546340942383,1293.7990980148315,1688938631.0067596,1688939924.2430272,92.841552734375,96.57662200927734,0.34339582920074463,50.493167877197266,91.0482177734375,128968.9765625,1.8060001134872437
Mish,0.8078615834675884,1,3,0,0,2,3,on,0.00048281571698096553,27,65.99274444580078,-2.5564663410186768,-0.3776361048221588,102,0.5643961429595947,428.47146368026733,1688938631.0090926,1688939058.9154313,65.99274444580078,78.75879669189453,0.3776361048221588,42.716339111328125,63.190155029296875,42460.97265625,2.5564663410186768
Hardswish,0.343063324612263,4,3,1,3,3,3,off,0.00036268422192139386,30,77.55704498291016,-1.5111925601959229,-0.16507859528064728,103,0.5678794384002686,354.9258985519409,1688938631.0125854,1688938985.3698928,77.55704498291016,89.59678649902344,0.16507859528064728,19.21121406555176,73.34275817871094,35087.68359375,1.5111925601959229
Hardswish,0.22916972460316093,0,4,1,1,3,1,off,0.0008270012318773784,60,75.20459747314453,-1.3546078205108645,-0.08887477964162827,104,0.5677635669708252,463.309841632843,1688938631.012466,1688939093.7526648,75.20459747314453,85.87297058105469,0.08887477964162827,11.7778959274292,72.84524536132812,45964.671875,1.3546078205108645
Mish,0.2780765880730925,0,4,4,1,0,0,on,0.0008418991585362932,35,51.19879531860352,-2.2952232360839844,-0.09444098174571992,105,0.5681354999542236,496.64137983322144,1688938631.012844,1688939127.0844018,51.19879531860352,66.88745880126953,0.09444098174571992,10.72364902496338,64.8790054321289,49257.9140625,2.2952232360839844
ReLU,0.8782271023726211,3,3,2,4,0,3,off,0.0001898773237741484,29,73.25756072998047,-1.8877986669540403,-0.35529306530952454,106,0.5698695182800293,294.6877975463867,1688938631.0145774,1688938925.130767,73.25756072998047,90.02436828613281,0.35529306530952454,49.1397819519043,57.54255294799805,29062.076171875,1.8877986669540403
