,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,nepochs,valid-loss,latency,size_MB
0,0.25965655196070564,0.0003889945171933269,Mish,on,0.0,1.0,2.0,0.0,0.0,1.0,113.0,8.889564514160156,2.095974922180176,0.2786877453327179
1,0.4093844692008452,0.0007581145136301162,ReLU,on,2.0,0.0,3.0,2.0,0.0,3.0,100.0,36.6397590637207,1.514609456062317,0.639258086681366
2,0.0985880486844659,0.000605446443785488,ReLU,on,1.0,2.0,0.0,1.0,0.0,2.0,186.0,4.909309387207031,1.0870522260665894,0.6892808079719543
3,0.17785023810791542,0.00019650984856234697,Hardswish,off,0.0,1.0,3.0,0.0,2.0,2.0,148.0,6.4426116943359375,1.3059370517730713,0.6071867942810059
4,0.2929258535350217,0.00029295493936862005,ReLU,off,1.0,3.0,2.0,2.0,2.0,2.0,82.0,10.943244934082031,1.6534889936447144,0.8093377351760864
5,0.3082779971524497,0.0007400656383432565,ReLU,off,0.0,1.0,2.0,3.0,1.0,3.0,86.0,26.2169189453125,1.2356269359588623,0.36211326718330383
6,0.1249055606934177,0.00043026656014018115,ReLU,off,1.0,3.0,0.0,1.0,0.0,0.0,64.0,10.487968444824219,1.042604923248291,0.10195311903953552
7,0.08338896282267631,0.0009172608937464856,ReLU,on,3.0,2.0,0.0,2.0,3.0,0.0,164.0,7.5013885498046875,1.4497590065002441,0.4415507912635803
8,0.018959454769648394,0.0009945176631490286,ReLU,on,2.0,0.0,1.0,2.0,1.0,0.0,108.0,8.400611877441406,1.1099992990493774,0.5870088934898376
9,0.008520298734261161,0.0005447340081698258,ReLU,off,1.0,1.0,3.0,3.0,3.0,0.0,176.0,24.643287658691406,1.0406866073608398,0.14253482222557068
10,0.5646991081809778,0.00010014476826697262,ReLU,on,2.0,1.0,1.0,1.0,1.0,3.0,46.0,13.460067749023438,1.1683582067489624,0.3457467555999756
11,0.3531676078227109,0.0004500843986691781,ReLU,off,1.0,2.0,2.0,2.0,3.0,3.0,182.0,5.8520050048828125,1.4410847425460815,0.5284246802330017
12,0.3650237164659926,0.0009793767069860128,ReLU,on,1.0,0.0,2.0,1.0,1.0,1.0,22.0,38.59223175048828,0.7616690993309021,0.3789355754852295
13,0.9949647837422881,0.00036119474663570076,Hardswish,off,0.0,0.0,0.0,1.0,0.0,3.0,13.0,27.15721893310547,0.8309860825538635,0.08299142122268677
14,0.3477023504651857,0.00024453967508353595,ReLU,on,1.0,0.0,1.0,0.0,0.0,3.0,165.0,10.294837951660156,1.2428064346313477,0.08774206787347794
15,0.5257067221989343,0.0005012792029332698,Mish,off,1.0,1.0,2.0,2.0,2.0,2.0,48.0,50.8390007019043,2.950902223587036,0.774754524230957
16,0.6573317152294856,0.00021882724829761803,Hardswish,on,1.0,2.0,2.0,3.0,1.0,2.0,168.0,7.213592529296875,1.522661805152893,0.6582707166671753
17,0.35923438167245825,0.000946572635728719,Hardswish,on,1.0,0.0,0.0,0.0,0.0,3.0,38.0,61.77263259887695,0.7145243883132935,0.0984497144818306
18,0.5915830227174368,0.0008931119687015274,Mish,on,3.0,1.0,1.0,2.0,3.0,1.0,68.0,63.412288665771484,2.3988723754882812,0.36746013164520264
19,0.06356162658566222,0.00012724056568190942,ReLU,off,0.0,1.0,2.0,1.0,2.0,2.0,192.0,16.50469970703125,1.2368497848510742,0.7867779731750488
20,0.7823627911995441,0.0005397580400118561,ReLU,on,1.0,3.0,2.0,3.0,1.0,1.0,15.0,68.59295654296875,1.157651424407959,0.3861435055732727
21,0.07318418243147785,0.0008032123289189626,Mish,off,3.0,3.0,0.0,2.0,0.0,2.0,125.0,11.525825500488281,2.6959002017974854,0.5827486515045166
22,0.41514966662242847,0.0002652182629764773,ReLU,on,1.0,1.0,1.0,1.0,3.0,2.0,95.0,36.06501007080078,1.3819199800491333,0.36576005816459656
23,0.12784330973932673,0.0009025712157332435,Hardswish,on,3.0,2.0,3.0,2.0,1.0,0.0,158.0,9.993743896484375,1.5283414125442505,0.5603589415550232
24,0.16216279274389261,0.000586676126845293,Mish,off,3.0,0.0,3.0,2.0,2.0,1.0,133.0,15.54156494140625,3.00758957862854,0.5901389122009277
25,0.37832842828412927,0.00032432361732205264,ReLU,off,2.0,3.0,1.0,3.0,2.0,2.0,76.0,8.198013305664062,1.4823145866394043,0.9469871520996094
26,0.2850411233105754,0.00020962219595584491,Hardswish,off,1.0,0.0,0.0,1.0,3.0,3.0,103.0,13.174476623535156,0.8691629767417908,0.12169598788022995
27,0.8608013839962373,5.885579597508817e-05,Mish,off,3.0,1.0,3.0,1.0,3.0,0.0,33.0,19.72496795654297,2.1188714504241943,0.14007006585597992
28,0.1649428823468026,0.000520911416698738,Hardswish,off,1.0,2.0,2.0,0.0,3.0,2.0,156.0,6.112953186035156,1.4057400226593018,0.7048613429069519
29,0.692186453372168,0.000746061724379883,ReLU,on,1.0,0.0,2.0,1.0,3.0,1.0,115.0,73.31021690368652,1.6382529735565186,0.36827248334884644
30,0.9711070391727435,0.00023568289929560359,Hardswish,on,2.0,0.0,2.0,2.0,3.0,0.0,169.0,7.4434356689453125,2.2030677795410156,0.8655875325202942
31,0.9850239498518069,0.0009728928077398639,Mish,off,1.0,1.0,1.0,0.0,0.0,3.0,156.0,42.40951919555664,2.3030104637145996,0.1027897447347641
32,0.7211959261654827,0.00011377785155779885,ReLU,on,3.0,3.0,3.0,0.0,2.0,0.0,137.0,7.925270080566406,1.6802135705947876,0.39465489983558655
33,0.47946455150712,0.000534043230357876,ReLU,on,0.0,3.0,3.0,1.0,2.0,0.0,55.0,23.023635864257812,1.5658844709396362,0.33959296345710754
34,0.8756894956623694,0.00047969943154537755,ReLU,on,3.0,2.0,2.0,3.0,3.0,1.0,19.0,56.314964294433594,1.5389885902404785,0.5731291174888611
35,0.5946561307268372,0.0009582528144474562,Hardswish,on,2.0,1.0,3.0,2.0,0.0,2.0,145.0,28.004669189453125,1.4708988666534424,0.7692495584487915
36,0.03285770058999374,0.0002270475189428525,ReLU,on,2.0,0.0,0.0,1.0,1.0,1.0,117.0,6.270256042480469,0.8758378028869629,0.29993829131126404
