,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,nepochs,valid-loss,latency,size_MB
0,0.26269738746826793,0.0005622108402807552,Mish,off,3.0,2.0,2.0,0.0,3.0,3.0,30.0,19.327468872070312,2.939530849456787,0.5825284123420715
1,0.0668584992019393,0.0003326126432645225,Mish,on,2.0,0.0,1.0,2.0,0.0,2.0,78.0,7.8370208740234375,2.9417433738708496,0.6714919209480286
2,0.20139996630923035,0.0006458334444471393,ReLU,off,3.0,0.0,0.0,0.0,0.0,2.0,10.0,30.049667358398438,1.108471155166626,0.3720434904098511
3,0.7509871133770915,6.782984706475372e-05,ReLU,on,0.0,2.0,3.0,3.0,0.0,3.0,27.0,37.62611389160156,1.4275071620941162,0.5345504283905029
4,0.2535376352514076,4.065128002922136e-05,ReLU,off,3.0,2.0,0.0,1.0,0.0,1.0,183.0,6.3587799072265625,1.012973427772522,0.30300426483154297
5,0.1350017322865736,0.0001861223139153716,Hardswish,off,1.0,3.0,1.0,0.0,1.0,1.0,126.0,58.56636047363281,0.9531130790710449,0.08536887168884277
6,0.4815039006279443,0.0007671149344260452,ReLU,off,1.0,2.0,3.0,3.0,0.0,0.0,120.0,29.80620574951172,1.3280521631240845,0.4076319932937622
7,0.11833461180679346,0.0009067625179372647,Mish,on,2.0,2.0,1.0,0.0,3.0,0.0,41.0,13.675827026367188,2.5133216381073,0.6287998557090759
8,0.6813206490961385,0.00011867338968272278,ReLU,on,3.0,0.0,3.0,2.0,0.0,1.0,148.0,7.3084869384765625,1.542070984840393,0.34724846482276917
9,0.3642735601634543,0.0004894050511992846,Hardswish,on,0.0,3.0,3.0,0.0,3.0,0.0,187.0,19.797523498535156,1.3451285362243652,0.10872745513916016
10,0.2772270230010447,0.0006158840153063028,Mish,off,1.0,0.0,0.0,1.0,1.0,0.0,58.0,38.11064147949219,1.6944177150726318,0.0784432664513588
11,0.2166144252913022,0.0007498370936742598,Mish,off,3.0,0.0,0.0,0.0,1.0,3.0,33.0,30.338531494140625,2.989811897277832,0.13865040242671967
12,0.7942170594929097,0.000694058039927293,ReLU,on,2.0,2.0,2.0,2.0,3.0,2.0,55.0,78.0103530883789,2.052753210067749,0.9105777144432068
13,0.946662141584392,0.00026221753907949814,Hardswish,off,2.0,0.0,3.0,1.0,3.0,0.0,28.0,28.129470825195312,1.5826328992843628,0.4873427450656891
14,0.4721317710846934,0.00043826253395810557,Hardswish,off,2.0,2.0,3.0,1.0,0.0,2.0,13.0,26.589523315429688,1.3998085260391235,0.6828754544258118
15,0.37080531321788684,0.0003515512148772141,ReLU,off,3.0,3.0,2.0,0.0,1.0,1.0,71.0,53.8815803527832,1.1384297609329224,0.3563214838504791
16,0.7835448627702721,0.0009335896136715772,ReLU,on,3.0,3.0,0.0,2.0,3.0,3.0,69.0,81.1585750579834,1.6810832023620605,0.46393540501594543
