,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Hardswish,0.5696520053174939,3,4,0,0,3,2,on,0.00014575795186401783,25,80.12133026123047,-1.6467275619506836,-0.3664041757583618,0,1688968959.0603826,1688969169.5284278,80.12133026123047,89.12989807128906,0.3664041757583618,48.58011245727539,77.3049545288086,20883.322265625,1.6467275619506836
1,ReLU,0.5498589516304545,0,1,1,3,2,0,on,0.00033757307006843177,152,91.62869262695312,-1.0346580743789673,-0.3539942502975464,1,1688968965.652397,1688970493.204874,91.62869262695312,93.17868041992188,0.3539942502975464,59.73231887817383,92.78108215332031,152663.203125,1.0346580743789673
2,ReLU,0.7524192925839283,0,3,1,1,4,4,on,0.00017249246653190157,169,88.123779296875,-2.0394511222839355,-0.03908592835068703,2,1688968965.834977,1688970870.2842836,88.123779296875,92.93862915039062,0.03908592835068703,11.350027084350586,91.43902587890625,190318.375,2.0394511222839355
3,Mish,0.5694729995142791,3,2,4,0,0,1,on,0.0009792736192146781,1,34.93769836425781,-2.270599365234375,-0.43138182163238525,3,1688968966.2596662,1688968982.7959554,34.93769836425781,40.9299201965332,0.43138182163238525,58.53150177001953,43.42434310913086,1614.37255859375,2.270599365234375
4,ReLU,0.5732640988921528,3,1,0,2,2,0,on,0.0006519312223132992,142,74.74666595458984,-1.3280091285705566,-0.5929149389266968,4,1688968965.7985294,1688970362.9548726,74.74666595458984,70.6279296875,0.5929149389266968,83.45475769042969,88.37036895751953,139629.375,1.3280091285705566
5,ReLU,0.07863892132830666,3,4,1,1,3,3,off,0.00044326894874165525,155,93.69283294677734,-1.643204689025879,-0.1439058631658554,5,1688968966.249519,1688970295.9362814,93.69283294677734,95.8329086303711,0.1439058631658554,15.056130409240723,92.82328796386719,132774.484375,1.643204689025879
6,Mish,0.9785095952515345,3,0,0,0,3,4,on,0.00044206732540757364,150,88.77127838134766,-2.3510284423828125,-0.14621903002262115,6,1688968966.3233166,1688970843.4944212,88.77127838134766,93.47688293457031,0.14621903002262115,11.676865577697754,87.14033508300781,187530.4375,2.3510284423828125
7,ReLU,0.83199521249057,4,4,2,3,3,3,on,3.639720423429017e-05,66,82.03619384765625,-2.326244831085205,-0.35164517164230347,7,1688968966.345754,1688969906.521992,82.03619384765625,90.47982788085938,0.35164517164230347,46.39374542236328,86.81365966796875,93833.2109375,2.326244831085205
8,ReLU,0.5575554647540055,4,1,4,3,4,3,on,0.0003471853156291227,23,73.85063171386719,-1.9361755847930908,-0.13144828379154205,8,1688968966.4010193,1688969245.7419546,73.85063171386719,84.87650299072266,0.13144828379154205,14.695052146911621,75.42810821533203,27860.6484375,1.9361755847930908
9,Mish,0.4348194322625391,3,3,2,2,0,1,on,0.0005647030642691505,50,73.43450164794922,-2.5929384231567383,-0.541739284992218,9,1688968965.8862498,1688969737.0736902,73.43450164794922,85.58414459228516,0.541739284992218,83.16203308105469,76.65472412109375,76978.1875,2.5929384231567383
10,ReLU,0.050156295553988026,0,2,0,3,2,3,on,0.0007898183459646339,105,91.2861328125,-1.2548446655273438,-0.5443594455718994,10,1688968966.5033967,1688970075.8956912,91.2861328125,91.90467071533203,0.5443594455718994,82.0418472290039,90.31478118896484,110905.5078125,1.2548446655273438
11,Hardswish,0.7658891706008537,4,4,1,0,0,4,off,0.00039420321118700374,196,92.63111114501953,-2.3059399127960205,-0.07621506601572037,11,1688968966.5383666,1688970834.9272346,92.63111114501953,95.05196380615234,0.07621506601572037,8.253463745117188,89.009765625,186673.171875,2.3059399127960205
12,Hardswish,0.517942236587275,4,0,2,4,0,4,on,9.990359151736934e-05,69,82.30069732666016,-2.1408166885375977,-0.32985544204711914,12,1688968966.544706,1688969772.807894,82.30069732666016,88.29695892333984,0.32985544204711914,40.660667419433594,76.76571655273438,80377.7109375,2.1408166885375977
