p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.1864409909180657,0,2,4,3,1,4,off,0.000943419517112818,1,51.94980239868164,-1.939413785934448,-0.4662368893623352,119,0.5762560367584229,15.535004377365112,1688837083.0050895,1688837097.9627247,51.94980239868164,65.88556671142578,0.4662368893623352,61.42390823364258,44.49728775024414,1097.1312255859375,1.939413785934448
Hardswish,0.9819821129250834,1,3,4,2,0,0,on,0.0006879854404743094,78,67.41963195800781,-1.7886077165603638,-0.3341524302959442,12,0.4280741214752197,777.712940454483,1688837082.856915,1688837860.1413035,67.41963195800781,45.094364166259766,0.3341524302959442,46.62410736083984,61.97345352172851,77312.53125,1.7886077165603638
ReLU,0.3220903948773409,2,0,2,3,2,3,off,0.0004044171012999797,61,78.59322357177734,-1.841973066329956,-0.8596342206001282,121,15.585506439208984,636.9599316120148,1688837098.0143335,1688837719.3883705,78.59322357177734,92.20008850097656,0.8596342206001282,120.38912200927734,87.65664672851562,62125.12109375,1.841973066329956
Hardswish,0.13743214783162733,4,1,1,4,0,1,off,0.00025770522062873143,24,69.40084075927734,-1.6544783115386963,-0.0829857587814331,125,102.17959928512572,335.35666513442993,1688837184.6084268,1688837417.785131,69.40084075927734,82.21365356445312,0.0829857587814331,10.140375137329102,88.84658813476562,23305.41015625,1.6544783115386963
Mish,0.3776420674383657,1,2,0,1,0,4,off,0.00024554888434272454,71,83.01123046875,-1.9752751588821411,-0.29206734895706177,126,158.6807723045349,750.876306772232,1688837241.1096003,1688837833.304783,83.01123046875,90.45205688476562,0.29206734895706177,39.3878173828125,68.8376693725586,59207.203125,1.9752751588821411
Hardswish,0.8227113113746215,3,2,0,4,1,3,on,0.0002963834946635675,59,77.9068603515625,-1.789975643157959,-0.34095296263694763,13,0.4145481586456299,558.1148164272308,1688837082.8433886,1688837640.542425,77.9068603515625,89.33570861816406,0.34095296263694763,54.02461242675781,71.51815032958984,55357.5234375,1.789975643157959
Hardswish,0.583358689410671,4,3,1,2,2,3,off,0.0008298760642267305,42,28.82642364501953,-1.59495747089386,-0.6081589460372925,131,289.24170184135437,839.89568567276,1688837371.6705265,1688837922.3241243,28.82642364501953,64.09513092041016,0.6081589460372925,77.65306854248047,63.35457229614258,55053.0859375,1.59495747089386
Hardswish,0.5980717863930693,1,2,2,4,2,3,on,0.0006552326055374674,21,43.12114334106445,-1.2999577522277832,-0.6807069778442383,132,297.5650613307953,540.8148362636566,1688837379.9938886,1688837623.2433083,43.12114334106445,67.94380187988281,0.6807069778442383,106.8464126586914,66.47427368164062,24312.6875,1.2999577522277832
ReLU,0.3175665499939163,1,1,2,4,4,2,on,0.0008567351484141138,9,50.78326797485352,-1.7294960021972656,-0.5546563863754272,134,328.8779456615448,429.3638420104981,1688837411.3067718,1688837511.7923062,50.78326797485352,70.91524505615234,0.5546563863754272,71.15133666992188,60.64788055419922,10036.2197265625,1.7294960021972656
Mish,0.9697022297839905,3,4,2,3,1,4,off,0.0002853592372423133,29,62.196556091308594,-2.699265956878662,-0.3711513876914978,135,330.0169401168823,776.3012127876282,1688837412.4457653,1688837858.7296965,62.196556091308594,88.86727905273438,0.3711513876914978,50.322364807128906,75.44097137451172,44616.125,2.699265956878662
Hardswish,0.9515565681221668,3,1,3,1,3,0,off,0.0009197974602335098,11,18.040668487548828,-1.2497917413711548,-0.2018676400184631,137,356.1910078525543,446.5102095603943,1688837438.619835,1688837528.9386828,18.040668487548828,74.77467346191406,0.2018676400184631,17.525732040405273,40.47261428833008,9020.5869140625,1.2497917413711548
Mish,0.5267367570032134,0,1,1,1,3,1,off,0.0002361662728297471,6,59.701515197753906,-1.8672912120819092,-0.1194886639714241,138,363.5567169189453,426.5369625091553,1688837445.985544,1688837508.9654374,59.701515197753906,79.64657592773438,0.1194886639714241,12.667686462402344,60.35797500610352,6289.4912109375,1.8672912120819092
Hardswish,0.6932652956646757,3,1,3,3,2,1,on,0.00037797399443058696,31,50.58107376098633,-1.4811158180236816,-0.24407243728637695,14,0.4141666889190674,328.82708382606506,1688837082.8430018,1688837411.2546794,50.58107376098633,87.77052307128906,0.24407243728637695,60.539024353027344,87.19951629638672,32436.333984375,1.4811158180236816
Mish,0.18911513471555597,0,3,2,0,1,3,on,0.0004574966823153075,19,58.6012077331543,-2.457435607910156,-0.3661651015281677,143,446.55968403816223,669.1605787277222,1688837528.9885094,1688837751.589038,58.6012077331543,88.93759155273438,0.3661651015281677,51.531028747558594,78.05294036865234,22247.771484375,2.457435607910156
Hardswish,0.6084488421522554,0,4,1,3,3,1,on,0.0008028008435161281,64,61.744686126708984,-1.766917705535889,-0.1146385595202446,15,0.4249582290649414,505.5873625278473,1688837082.8537953,1688837588.0148752,61.744686126708984,63.70903015136719,0.1146385595202446,14.961958885192873,84.46865844726562,50131.75,1.766917705535889
Mish,0.03131820276663793,1,0,0,2,0,0,off,0.0009904250160531886,35,83.77083587646484,-1.3773236274719238,-0.30089911818504333,153,566.2076587677002,824.1879940032959,1688837648.6364837,1688837906.616475,83.77083587646484,86.59668731689453,0.30089911818504333,46.18336486816406,79.02153778076172,25785.740234375,1.3773236274719238
ReLU,0.6116974313142072,1,0,3,0,1,2,off,0.0008160213540558773,26,59.37640380859375,-0.8325380086898804,-0.36656469106674194,160,669.2108523845673,958.084103822708,1688837751.6396792,1688838040.5125804,59.37640380859375,57.5513801574707,0.36656469106674194,46.1016731262207,54.01451873779297,28875.013671875,0.8325380086898804
ReLU,0.010598936998717789,0,3,1,2,4,1,on,0.00021582235253166197,8,80.28916931152344,-1.6496769189834597,-0.38649436831474304,169,759.6475703716278,824.7425916194916,1688837842.0763988,1688837907.1710663,80.28916931152344,80.96454620361328,0.38649436831474304,49.45845031738281,81.5488510131836,6500.6962890625,1.6496769189834597
Mish,0.1195579334703806,1,0,2,0,4,1,on,6.595067325634114e-05,45,91.56298065185548,-2.260103225708008,-0.35723239183425903,17,0.4146311283111572,476.98313570022583,1688837082.843467,1688837559.410546,91.56298065185548,85.89379119873047,0.35723239183425903,47.37468338012695,88.15201568603516,47230.875,2.260103225708008
Hardswish,0.3625883570444307,3,3,3,3,3,1,on,0.00024824468600732403,47,72.90742492675781,-1.4441287517547607,-0.13972467184066772,19,0.42687177658081055,469.7768814563751,1688837082.8557065,1688837552.2052922,72.90742492675781,89.69277954101562,0.13972467184066772,24.57373809814453,71.57592010498047,46531.03125,1.4441287517547607
Hardswish,0.23105883501266056,0,4,3,4,3,4,on,1.8507928143197475e-05,50,87.48595428466797,-2.4503111839294434,-0.11247526109218596,2,0.4085710048675537,604.0862574577332,1688837082.8374062,1688837686.5146365,87.48595428466797,89.59638977050781,0.11247526109218596,14.317376136779783,88.60423278808594,59961.953125,2.4503111839294434
Mish,0.6801938259083855,4,4,4,1,0,3,off,0.0005694744139318474,27,50.62437438964844,-2.5814573764801025,-0.1057826280593872,20,0.42942285537719727,388.5184743404389,1688837082.8582635,1688837470.9461346,50.62437438964844,72.27045440673828,0.1057826280593872,12.160051345825195,45.603424072265625,38400.78125,2.5814573764801025
ReLU,0.12120568539742022,0,3,3,2,4,3,off,0.0003070942042580566,77,89.940185546875,-1.662861943244934,-0.36791735887527466,22,0.4550795555114746,704.4141409397125,1688837082.8839202,1688837786.8424993,89.940185546875,93.29109191894533,0.36791735887527466,51.95065689086914,90.07599639892578,69976.421875,1.662861943244934
