,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
0,Mish,0.588491143564911,2,4,0,3,1,2,on,0.0002248213324509734,199,94.91967010498047,-2.2805278301239014,-0.5738065838813782,0,1688792786.649946,1688796166.3432,94.91967010498047,97.97523498535156,0.5738065838813782,99.04168701171875,94.21147155761719,337835.21875,2.2805278301239014
1,ReLU,0.20700833323248577,1,0,0,0,0,0,on,0.0007074564308066168,6,57.09114456176758,-0.8961623907089233,-0.09175580739974976,1,1688792786.9590619,1688792826.16123,57.09114456176758,79.20195007324219,0.09175580739974976,8.377555847167969,54.41382598876953,3822.922607421875,0.8961623907089233
2,Hardswish,0.5658067937707009,1,3,1,2,2,2,off,0.0002310192561434537,53,86.54443359375,-1.5481849908828735,-0.6082268357276917,2,1688792786.9685466,1688793378.3143167,86.54443359375,89.52517700195312,0.6082268357276917,83.39476013183594,63.0213623046875,59032.0390625,1.5481849908828735
3,ReLU,0.34083447520697263,0,2,3,3,2,0,on,0.0007669895881056163,53,53.10318374633789,-1.6201391220092773,-0.7132321000099182,3,1688792786.9710865,1688793385.429461,53.10318374633789,69.5548095703125,0.7132321000099182,91.55519104003906,53.45940399169922,59743.62109375,1.6201391220092773
4,Hardswish,0.43984645163024594,0,3,1,3,1,3,off,0.0004601426435379223,73,76.6395492553711,-1.2483479976654053,-0.11480297893285751,4,1688792788.369726,1688793330.4646878,76.6395492553711,76.81201171875,0.11480297893285751,17.409751892089844,81.25971221923828,54083.7890625,1.2483479976654053
5,ReLU,0.5070492565831622,4,3,3,3,3,3,off,0.00022311447833786875,200,94.65361785888672,-2.044919013977051,-0.21984465420246124,5,1688792788.379409,1688795118.012257,94.65361785888672,98.69930267333984,0.21984465420246124,23.81443977355957,92.71471405029297,232838.515625,2.044919013977051
6,Hardswish,0.8884432603111674,4,2,4,2,1,2,off,0.0004833461634712346,165,86.86554718017578,-2.6650781631469727,-0.6174165606498718,6,1688792788.4407766,1688794920.9134254,86.86554718017578,96.87123107910156,0.6174165606498718,80.99992370605469,80.5222396850586,213128.875,2.6650781631469727
7,Hardswish,0.6151344503469812,0,4,0,2,2,3,off,0.0005394280691518642,5,60.939964294433594,-1.3144736289978027,-0.5703316330909729,7,1688792788.4472299,1688792838.495026,60.939964294433594,76.11465454101562,0.5703316330909729,72.13740539550781,43.66103744506836,4891.8779296875,1.3144736289978027
8,Mish,0.039182532825960265,0,0,2,1,0,3,off,0.0005486947922502848,40,80.56027221679688,-2.539121627807617,-0.3100142776966095,8,1688792788.4509883,1688793210.9753723,80.56027221679688,92.16275787353516,0.3100142776966095,47.053443908691406,82.84548950195312,42126.76953125,2.539121627807617
9,ReLU,0.747227405576354,0,0,2,0,3,3,on,0.0005534696590250906,10,51.71187210083008,-1.2447006702423096,-0.3820038437843323,9,1688792788.4611394,1688792871.7619736,51.71187210083008,87.85562133789062,0.3820038437843323,42.98427963256836,28.965646743774414,8207.07421875,1.2447006702423096
10,Hardswish,0.6008261448233078,4,3,3,0,3,3,on,0.000791382372662005,91,46.16435623168945,-1.6444436311721802,-0.1560993641614914,10,1688792788.4639866,1688793765.9656663,46.16435623168945,79.54536437988281,0.1560993641614914,20.234851837158203,72.88219451904297,97625.5546875,1.6444436311721802
11,ReLU,0.7528809225980295,1,0,1,1,2,0,on,0.0002712773673021249,151,79.58306121826172,-1.345712423324585,-0.2721950113773346,11,1688792788.4667282,1688794366.9653814,79.58306121826172,88.40533447265625,0.2721950113773346,48.60222625732422,84.01795959472656,157726.84375,1.345712423324585
12,Mish,0.8741034193158349,0,3,3,2,1,2,on,0.00016084891858503692,123,85.74480438232422,-5.0295939445495605,-0.5598408579826355,12,1688792788.470958,1688794979.5486221,85.74480438232422,93.60035705566406,0.5598408579826355,77.24301147460938,89.75239562988281,218984.328125,5.0295939445495605
13,Mish,0.6219633568502856,4,0,3,2,0,2,on,0.0008383413769675721,151,58.224613189697266,-4.60042142868042,-0.5654810070991516,13,1688792788.4812832,1688795365.7686927,58.224613189697266,83.74004364013672,0.5654810070991516,76.6654052734375,88.49530029296875,257606.34375,4.60042142868042
14,ReLU,0.14657918629526245,0,4,2,1,2,3,off,0.0009950610040553199,121,75.14643859863281,-1.740517258644104,-0.6658079028129578,14,1688792788.4883723,1688794155.489128,75.14643859863281,93.01252746582031,0.6658079028129578,78.3782730102539,88.56105041503906,136578.578125,1.740517258644104
