,LearningRate,WeightDecay,Activation,TrivialAugment,Op1,Op2,Op3,Op4,Op5,Op6,nepochs,valid-loss,latency,size_MB
0,0.21819816852047738,0.0003634530455875708,ReLU,on,3.0,2.0,3.0,3.0,2.0,0.0,182.0,5.371513366699219,1.5788066387176514,0.7078138589859009
1,0.43371062359665574,0.00024017249395346635,ReLU,on,1.0,2.0,3.0,0.0,3.0,0.0,119.0,14.232742309570312,1.353873610496521,0.4151974022388458
2,0.6441151921370335,0.0006674278967028123,ReLU,on,3.0,1.0,2.0,3.0,2.0,2.0,198.0,8.41876220703125,1.686748743057251,0.8333976864814758
3,0.6175773669277421,0.000961860829539333,Mish,off,3.0,0.0,0.0,0.0,3.0,1.0,89.0,63.08017349243164,2.168471574783325,0.10980518907308578
4,0.9368455289839919,0.0004410722021112781,Hardswish,off,3.0,1.0,1.0,2.0,0.0,2.0,105.0,27.960655212402344,2.200417995452881,0.5589933395385742
5,0.7260762802627052,0.0007476902838823294,ReLU,off,3.0,1.0,2.0,2.0,0.0,2.0,15.0,76.66064262390137,1.2398523092269897,0.7461118102073669
6,0.4928477334721965,0.00025053316547114145,Hardswish,on,2.0,1.0,0.0,1.0,0.0,1.0,180.0,6.836395263671875,1.3980613946914673,0.2951200306415558
7,0.3419688861498194,0.00011386066703842386,Mish,off,1.0,0.0,1.0,2.0,2.0,0.0,77.0,11.437362670898438,3.3925232887268066,0.4777820110321045
8,0.5610719232576404,0.0006239146364065798,ReLU,off,2.0,2.0,2.0,2.0,0.0,0.0,23.0,62.763587951660156,1.5833543539047241,0.8077189922332764
9,0.17316181977650813,0.00014949683430170625,ReLU,on,3.0,3.0,3.0,2.0,2.0,0.0,1.0,23.782241821289062,1.72383451461792,0.6408244967460632
10,0.4485981021674791,0.0007293487699810992,Mish,off,3.0,0.0,0.0,0.0,3.0,2.0,112.0,16.712852478027344,2.4546353816986084,0.3425062596797943
11,0.7858284139340113,0.000652944379373204,ReLU,off,2.0,2.0,0.0,3.0,0.0,2.0,48.0,79.78742980957031,1.8223389387130737,0.6828417181968689
12,0.0578773265259952,0.0005660537616468774,ReLU,on,0.0,1.0,0.0,1.0,0.0,1.0,73.0,28.18598175048828,0.7607848644256592,0.032278019934892654
13,0.28301669942590885,0.0004987448778444706,ReLU,on,0.0,3.0,2.0,0.0,0.0,3.0,166.0,28.27837371826172,1.062329649925232,0.36487895250320435
14,0.7052819413461108,0.0009087013874398461,ReLU,on,2.0,0.0,1.0,0.0,1.0,0.0,117.0,47.48792266845703,1.3343278169631958,0.1860918253660202
15,0.8371963983870262,0.000989869639028373,ReLU,on,3.0,0.0,2.0,0.0,3.0,1.0,24.0,68.86926460266113,1.1792421340942383,0.38670313358306885
16,0.5344547424422347,0.0007851284914266273,ReLU,off,2.0,1.0,3.0,0.0,0.0,0.0,145.0,45.71173858642578,1.0714954137802124,0.43026530742645264
