p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end
Hardswish,0.001,2,0,0,0,1,0,on,1e-05,"[63.64657974243164, -0.5723322629928589]","[63.64657974243164, -0.5723322629928589]",56,3.517982006072998,3.5405282974243164,1684196710.32625,1684196710.3486826
Hardswish,0.49671031526935466,0,1,0,1,2,0,off,0.0007355564148185413,"[86.57035064697266, -0.5997714996337891]","[86.57035064697266, -0.5997714996337891]",57,3.528392553329468,3.550303220748902,1684196710.3366594,1684196710.3584566
Mish,0.5369546713057876,0,0,0,1,2,2,off,0.0004120533746559137,"[89.30318450927734, -1.9546637535095217]","[89.30318450927734, -1.9546637535095217]",58,3.5287251472473145,3.5510120391845703,1684196710.3369937,1684196710.359166
Hardswish,0.001,1,0,0,0,1,1,on,0.0004976748694713515,"[67.57144927978516, -0.3600459098815918]","[67.57144927978516, -0.3600459098815918]",59,3.5287842750549316,3.5515666007995605,1684196710.3370545,1684196710.359717
ReLU,0.33290482978645447,0,0,1,1,3,1,off,0.001,"[79.94609832763672, -0.5853824019432068]","[79.94609832763672, -0.5853824019432068]",60,3.5476369857788086,3.570054292678833,1684196710.3559055,1684196710.3782089
Hardswish,0.001,0,0,0,0,0,2,on,0.00042555803837659154,"[71.29984283447266, -0.49438005685806274]","[71.29984283447266, -0.49438005685806274]",61,3.572816848754883,3.5959508419036865,1684196710.381086,1684196710.4040966
Hardswish,0.5191615284435503,0,3,0,1,2,1,on,0.0007417269638979288,"[88.54634857177734, -0.7408685684204102]","[88.54634857177734, -0.7408685684204102]",62,3.577702283859253,3.600876808166504,1684196710.3859713,1684196710.409027
ReLU,0.2635411228408204,0,0,0,0,4,0,on,0.00070927515038755,69.84172058105469,-0.9422528147697449,71,3.884922981262207,3.907872438430786,1684196710.6931996,1684196710.7158945
Hardswish,0.3029730021341677,1,0,1,0,3,3,on,0.00011848939567567884,"[85.71363830566406, -0.6677162051200867]","[85.71363830566406, -0.6677162051200867]",64,3.790491342544556,3.812809944152832,1684196710.5987592,1684196710.6209643
ReLU,0.967241185418644,0,0,0,1,3,2,off,0.0007926172771223594,"[84.68773651123047, -0.8210897445678711]","[84.68773651123047, -0.8210897445678711]",65,3.800442695617676,3.823089361190796,1684196710.6087115,1684196710.6312406
Hardswish,0.05368154386283208,1,0,0,0,1,4,on,0.0002637943465225856,"[74.24029541015625, -0.9027195572853088]","[74.24029541015625, -0.9027195572853088]",66,3.802169799804687,3.824049472808838,1684196710.6104355,1684196710.632206
Hardswish,0.7244994753860163,1,0,4,0,0,3,on,1e-05,"[81.81075286865234, -1.0078833103179932]","[81.81075286865234, -1.0078833103179932]",67,3.804037570953369,3.826048851013184,1684196710.6123056,1684196710.6342063
Hardswish,0.04019141408384153,1,0,0,0,0,3,on,0.0003447862251365792,"[87.16249084472656, -0.4812859296798706]","[87.16249084472656, -0.4812859296798706]",68,3.8226840496063232,3.845076560974121,1684196710.630952,1684196710.6532314
Hardswish,0.6668775557800497,1,1,0,0,2,3,on,0.00020751313735028028,"[86.17916107177734, -0.7185723781585693]","[86.17916107177734, -0.7185723781585693]",69,3.8499550819396977,3.87262749671936,1684196710.6582236,1684196710.6807787
ReLU,0.35638723524593524,0,0,0,1,2,3,off,0.0007668103091454652,"[88.58794403076172, -0.7214921712875366]","[88.58794403076172, -0.7214921712875366]",70,3.855550765991211,3.8780012130737305,1684196710.6638193,1684196710.6861572
Hardswish,0.9440859778964442,0,1,0,0,1,1,on,0.0007274688258963608,80.53699493408203,-0.3788442015647888,79,4.168517827987671,4.191638946533203,1684196710.9767888,1684196710.9996626
Hardswish,0.5525950109009048,3,0,0,0,1,3,on,0.00048323781973847574,"[88.02365112304688, -0.6065436601638794]","[88.02365112304688, -0.6065436601638794]",72,4.0673394203186035,4.089592456817627,1684196710.875607,1684196710.8977463
Mish,0.2582994118434836,0,4,0,0,1,0,on,0.0007382995198898327,"[77.4891586303711, -1.2942752838134766]","[77.4891586303711, -1.2942752838134766]",73,4.076322555541992,4.098186731338501,1684196710.8845892,1684196710.9063416
Hardswish,0.37132530963036625,0,0,0,1,2,0,off,1e-05,"[82.26954650878906, -0.5984047055244446]","[82.26954650878906, -0.5984047055244446]",74,4.076632738113403,4.098973751068115,1684196710.8849013,1684196710.9071286
Mish,0.3170817129919896,4,3,0,0,1,2,on,0.0003054559733523434,"[89.63115692138672, -2.2586874961853027]","[89.63115692138672, -2.2586874961853027]",75,4.0831968784332275,4.105073928833008,1684196710.8914647,1684196710.9132292
Hardswish,0.5092081821652531,2,2,0,0,0,2,on,0.0003633961522486641,"[91.07315063476562, -0.9912617802619934]","[91.07315063476562, -0.9912617802619934]",76,4.104411363601685,4.126839637756348,1684196710.9126797,1684196710.9349906
Hardswish,1.0,1,2,1,0,1,2,on,0.0003292852196241328,"[85.13410186767578, -1.0228770971298218]","[85.13410186767578, -1.0228770971298218]",77,4.134185552597046,4.156898498535156,1684196710.942454,1684196710.9650512
Hardswish,1.0,1,3,0,0,1,2,on,0.00023076870637962115,"[89.87506866455078, -0.8444172143936157]","[89.87506866455078, -0.8444172143936157]",78,4.14039158821106,4.163193702697754,1684196710.94866,1684196710.971343
Hardswish,0.3543985731859946,1,0,0,1,1,2,on,0.00036485387429282916,89.71112823486328,-0.6607539057731628,87,4.458828449249268,4.481902599334717,1684196711.2671006,1684196711.2899392
Hardswish,0.001,1,2,0,0,0,3,on,0.000490492487342176,"[80.94892120361328, -0.708493173122406]","[80.94892120361328, -0.708493173122406]",80,4.346757411956787,4.369080305099487,1684196711.1550255,1684196711.1772332
Hardswish,0.001,1,0,0,0,0,4,on,0.001,"[56.62396240234375, -0.8808330297470093]","[56.62396240234375, -0.8808330297470093]",81,4.352538585662842,4.374395847320557,1684196711.1608047,1684196711.1825492
Hardswish,0.3809674466181165,0,0,0,1,0,0,on,0.0007037889489745164,"[75.3870620727539, -0.3775310218334198]","[75.3870620727539, -0.3775310218334198]",82,4.35529351234436,4.37752628326416,1684196711.1635623,1684196711.1856778
Hardswish,0.001,3,2,0,1,0,3,on,0.0003593220857519289,"[79.54074096679688, -0.8270962834358215]","[79.54074096679688, -0.8270962834358215]",83,4.361124753952026,4.3831071853637695,1684196711.169394,1684196711.1912646
Hardswish,0.7567149660084271,4,2,0,1,0,3,on,0.00030601797343523705,"[85.01528930664062, -1.3735182285308838]","[85.01528930664062, -1.3735182285308838]",84,4.387484788894653,4.4096479415893555,1684196711.195753,1684196711.2178009
Hardswish,0.4504357830691428,2,4,1,0,0,4,on,0.0004080488922298461,"[85.70279693603516, -1.7037343978881836]","[85.70279693603516, -1.7037343978881836]",85,4.422001123428345,4.44456148147583,1684196711.230269,1684196711.2527134
Hardswish,0.5231990639238503,4,4,0,0,0,4,on,0.00012942918052177903,"[49.426231384277344, -2.1259829998016357]","[49.426231384277344, -2.1259829998016357]",86,4.429370164871216,4.452134847640991,1684196711.2376387,1684196711.2602878
Mish,0.08054715265522415,1,0,0,1,0,4,off,0.00017114445521887814,72.84012603759766,-1.2382713556289673,95,4.74783992767334,4.770685434341431,1684196711.5561144,1684196711.5787141
Hardswish,0.04689657893803941,2,0,0,0,0,4,on,0.0007602671919445777,"[85.43927764892578, -1.1675857305526731]","[85.43927764892578, -1.1675857305526731]",88,4.62904691696167,4.651194095611572,1684196711.4373178,1684196711.4593475
Mish,0.3651815150545535,2,0,0,0,0,3,on,9.935060559159478e-05,"[89.96942901611328, -1.7322450876235962]","[89.96942901611328, -1.7322450876235962]",89,4.633857250213623,4.655707120895386,1684196711.4421232,1684196711.4638624
Hardswish,0.029337238236420815,3,0,1,2,0,3,off,0.00031990861488616476,"[87.38089752197266, -0.8300860524177551]","[87.38089752197266, -0.8300860524177551]",90,4.638759613037109,4.661047697067261,1684196711.4470274,1684196711.4691992
Hardswish,0.05234677631564143,0,0,2,0,1,1,on,0.0007490232519839201,"[89.2417984008789, -0.5679718852043152]","[89.2417984008789, -0.5679718852043152]",91,4.643481254577637,4.665311336517334,1684196711.4517496,1684196711.473468
Hardswish,0.5819849566136894,3,0,0,0,1,2,on,0.00023893316291271764,"[90.3206787109375, -0.6933446526527405]","[90.3206787109375, -0.6933446526527405]",92,4.673635005950928,4.695728778839111,1684196711.4819028,1684196711.5038826
Hardswish,0.334255182865534,0,0,0,3,0,3,on,4.4039055946600925e-05,"[84.86042785644531, -0.6162406802177429]","[84.86042785644531, -0.6162406802177429]",93,4.708667516708374,4.731015682220459,1684196711.5169358,1684196711.5391655
ReLU,0.0632269448775143,1,0,1,0,0,3,on,0.0001560185723873133,"[85.09173583984375, -0.5169473886489868]","[85.09173583984375, -0.5169473886489868]",94,4.717158317565918,4.7397661209106445,1684196711.525428,1684196711.5479193
Hardswish,0.018029927133867314,2,0,0,0,0,3,on,0.0003662960360420501,89.39361572265625,-0.6369839310646057,103,5.1715922355651855,5.196124076843262,1684196711.9798796,1684196712.0041144
Hardswish,0.0769780905826637,2,0,3,0,0,3,on,1e-05,"[88.94322204589844, -0.7690922617912292]","[88.94322204589844, -0.7690922617912292]",100,5.082903146743774,5.106370687484741,1684196711.8911743,1684196711.9145136
Hardswish,0.02363448953044403,0,0,4,1,2,1,on,0.000804433655491864,"[86.90241241455078, -1.1298190355300903]","[86.90241241455078, -1.1298190355300903]",101,5.121721267700195,5.145731687545776,1684196711.9299965,1684196711.953864
Mish,0.001,1,2,0,0,0,3,on,0.00033378970961351956,"[81.69515228271484, -1.755468726158142]","[81.69515228271484, -1.755468726158142]",102,5.131839752197266,5.156036615371704,1684196711.9401145,1684196711.96417
Hardswish,0.10389330596656424,0,0,4,0,2,0,on,0.0009150732290696748,"[81.24576568603516, -1.178134202957153]","[81.24576568603516, -1.178134202957153]",96,5.039163112640381,5.062622785568237,1684196711.8474326,1684196711.870767
Hardswish,0.8206719218749426,1,0,3,0,2,2,on,0.00030467180604915387,"[89.54049682617188, -0.9723126888275146]","[89.54049682617188, -0.9723126888275146]",97,5.041154623031616,5.064857482910156,1684196711.8494315,1684196711.8729882
ReLU,0.013298767557827634,1,0,0,0,0,3,off,1e-05,"[82.9938735961914, -0.4915395677089691]","[82.9938735961914, -0.4915395677089691]",98,5.051862955093384,5.074958562850952,1684196711.860137,1684196711.883098
Hardswish,0.7570631172943394,2,3,4,0,0,2,on,0.00029115355559371545,"[89.89891815185547, -1.5288264751434326]","[89.89891815185547, -1.5288264751434326]",99,5.0549702644348145,5.078541278839111,1684196711.8632452,1684196711.8866794
